Verkiezing;;Gemeenteraad Krimpen aan den IJssel 2022;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Krimpen aan den IJssel;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0542;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Raadhuis Krimpen aan den IJssel;Gymzaal Tuinstraat;Pannenkoe;Sionskerk;Immanuelkerk;Sociëteit Gouden Regen;Wijkcentrum De Sperwer;Basisschool Het Mozaïek;Kerk De Wingerd;Kinderboerderij Klein Boveneind;DCV Krimpen;Sportzaal De Populier;Comenius College;GBS Jacobus Koelman School;ckv KOAG-korfbalvereniging;Ontmoetingscentrum De Tuyter;Wijkcentrum Vijverhoek;De Bron;Raadhuis Krimpen aan den IJssel;Raadhuis Krimpen aan den IJssel;Wijkcentrum Vijverhoek;Wijkcentrum Vijverhoek
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
Postcode;;;;;2922 AD;2921 XH;2923 AT;2922 EN;2924 VB;2923 EK;2926 TA;2925 BX;2925 CV;2924 AS;2921 AT;2925 CP;2922 BA;2925 VH;2922 CX;2922 VL;2923 TP;2923 XT;2922 AD;2922 AD;2923 TP;2923 TP
;opgeroepenen;;;23103;1478;1469;1238;1179;1154;1260;1400;1124;1440;1254;1253;1494;1312;1363;1270;1023;1356;1036;0;0;0;0
;geldige stempas;;;12979;769;537;394;631;512;471;1232;783;320;978;289;1068;619;398;450;683;403;474;589;732;254;393
;geldig volmachtbewijs;;;1790;114;74;70;110;62;56;179;107;41;97;50;113;108;55;64;90;47;79;91;114;25;44
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;14769;883;611;464;741;574;527;1411;890;361;1075;339;1181;727;453;514;773;450;553;680;846;279;437
;geldige stembiljetten;;;14712;880;607;464;741;573;521;1409;888;360;1072;339;1169;724;452;511;767;449;553;678;840;279;436
;blanco stembiljetten;;;25;1;2;0;0;1;4;0;0;1;0;0;4;3;1;3;1;1;0;0;3;0;0
;ongeldige stembiljetten;;;32;2;2;0;0;0;2;2;2;0;3;0;8;0;0;0;5;0;0;2;3;0;1
;aangetroffen stembiljetten;;;14769;883;611;464;741;574;527;1411;890;361;1075;339;1181;727;453;514;773;450;553;680;846;279;437
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Stem van Krimpen;;;2213;130;81;60;61;93;78;228;149;65;209;47;224;67;55;73;141;72;75;86;89;53;77
;;1;Slotboom-Zeedijk, W.L.C.;750;45;22;24;26;29;20;69;60;20;66;13;83;26;11;19;47;32;22;38;30;22;26
;;2;Oudshoorn-van der Meulen, S.M.N.;589;40;21;10;21;26;27;74;45;11;55;12;50;17;16;28;32;16;21;19;19;16;13
;;3;Lingen-Breedveld, W.;218;10;10;6;5;13;15;27;10;7;21;2;11;6;9;12;20;2;8;5;10;0;9
;;4;Wekker, M.J.M.;134;7;2;2;2;1;2;12;6;7;10;1;13;5;6;4;11;2;9;8;8;3;13
;;5;van der Steeg, S.H.;67;2;4;0;0;2;1;3;2;4;8;4;14;1;2;0;2;4;3;0;1;5;5
;;6;Bartelse, E.;105;3;7;4;1;2;4;4;8;2;16;2;6;4;2;2;10;8;3;8;7;0;2
