Verkiezing;;Gemeenteraad Krimpenerwaard 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Krimpenerwaard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1931;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Amicitia;Gymzaal bij Het Schateiland;Speellokaal nabij CBS  Eben-Haëzer;Sporthal De Bakwetering;Ichthuskerk;Het Cultuurhuis;Het Koetshuis (ingang schoolstraat);Sporthal De Walvis;De Dertienhuizen;St. Laurentiuskerk;De Schakel;Bibliotheek Bergambacht;Ammerstolse SV (voetbalvereniging);Cultureel Centrum De Zwaan;Voetbalvereniging Bergambacht;HHG Kerk;Rozenlaankerk;Oosterkerk;Dorpshuis Gouderak;De Bron;Zalencentrum de Overkant;Openbare Bibliotheek Schoonhoven;Het Huis van Noord;Pasteurzaal nabij PCBS De Rank;P.G. de Hoeksteen;Dienstencentrum Hof van Stein;Theater en Grand Cafe Concordia;Rehoboth;Het Kwartier;De Vlisterstee;Voetbalvereniging Stolwijk;Sporthal De Bakwetering (maandag);Sporthal De Bakwetering (dinsdag);Sporthal De Walvis (maandag);Sporthal De Walvis (dinsdag);De Schakel (maandag);De Schakel (dinsdag);HHG Kerk (maandag);HHG Kerk (dinsdag);Openbare Bibliotheek Schoonhoven (maandag);Openbare Bibliotheek Schoonhoven (dinsdag);Theater en Grand Cafe Concordia (maandag);Theater en Grand Cafe Concordia (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43
Postcode;;;;;2941 BR;2941 SE;2941 VE;2941 TN;2941 BM;2931 EC;2931 AG;2931 RA;2931 XZ;2861 AG;2861 XD;2861 XH;2865 AH;2825 BS;2861 GJ;2935 SB;2935 SV;2935 CD;2831 XV;2871 AH;2871 BC;2871 TN;2871 WG;2871 JM;2871 LD;2851 TD;2851 VV;2821 AP;2821 VB;2855 AK;2821 XC;2941 TN;2941 TN;2931 RA;2931 RA;2861 XD;2861 XD;2935 SB;2935 SB;2871 TN;2871 TN;2851 VV;2851 VV
;opgeroepenen;;;45328;1553;1229;1326;1100;1107;1246;1438;1362;1348;1224;1356;1568;1515;1280;1313;1812;1730;1116;1830;2111;1854;1753;1704;1663;1601;1753;1728;1470;1492;500;1246;0;0;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;24072;822;442;542;335;582;665;593;580;549;304;620;798;702;843;482;540;1042;520;984;982;818;706;502;723;765;636;813;777;954;298;600;238;371;192;279;292;508;140;212;303;531;177;310
;geldig volmachtbewijs;;;3085;55;51;73;47;83;94;59;57;50;38;89;134;65;161;73;102;162;89;142;124;93;103;57;68;88;70;100;152;128;41;90;28;0;22;17;38;59;14;31;32;52;26;28
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;27157;877;493;615;382;665;759;652;637;599;342;709;932;767;1004;555;642;1204;609;1126;1106;911;809;559;791;853;706;913;929;1082;339;690;266;371;214;296;330;567;154;243;335;583;203;338
;geldige stembiljetten;;;27039;874;491;613;380;660;755;646;634;596;341;708;930;762;1004;554;640;1199;609;1123;1101;906;803;552;785;848;704;906;925;1082;337;688;265;369;212;293;330;566;152;242;334;582;202;336
;blanco stembiljetten;;;49;2;1;1;1;2;0;0;1;1;0;0;1;4;0;0;2;3;0;1;0;3;4;1;1;4;2;2;0;0;0;2;0;1;2;0;0;0;1;1;1;1;1;2
;ongeldige stembiljetten;;;61;0;1;1;1;3;4;6;1;2;1;1;1;1;0;1;0;3;0;0;6;2;0;6;2;1;0;3;3;0;2;0;1;1;0;3;0;1;1;0;0;1;0;1
;aangetroffen stembiljetten;;;27149;876;493;615;382;665;759;652;636;599;342;709;932;767;1004;555;642;1205;609;1124;1107;911;807;559;788;853;706;911;928;1082;339;690;266;371;214;296;330;567;154;243;335;584;203;339
;meer stembiljetten dan toegelaten kiezers;;;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
;minder stembiljetten dan toegelaten kiezers;;;12;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;2;0;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Gemeente Belang Krimpenerwaard (VGBK);;;5378;154;69;79;56;109;77;79;81;99;85;215;196;295;126;173;35;77;31;104;201;205;162;125;173;184;261;262;202;376;68;221;43;62;25;49;94;142;3;14;71;123;55;117
