Verkiezing;;Gemeenteraad Lisse 2022;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Lisse;;;;;;;;;;;;;;;;;;
Nummer;;0553;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Lisse;De Waterkanten (1);Floralis;De Waterkanten (2);Polderman BV;Hotel-Restaurant De Engel;De Beukenhof;'t Poelhuys 1;'t Poelhuys 2;'t Speelkwartier;De Poort;Buurthuis Salvatori;Gemeentehuis 14 maart;Gemeentehuis 15 maart;De Poort 14 maart;De Poort 15 maart
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
;opgeroepenen;;;18504;1341;1507;2102;1726;1737;1227;1361;1112;1389;1836;1768;1398;0;0;0;0
;geldige stempas;;;9139;600;657;961;386;853;505;645;489;641;714;559;555;517;601;197;259
;geldig volmachtbewijs;;;1098;79;95;126;44;110;62;53;50;63;103;76;43;55;104;16;19
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;10237;679;752;1087;430;963;567;698;539;704;817;635;598;572;705;213;278
;geldige stembiljetten;;;10172;678;750;1083;430;956;565;692;535;698;812;625;591;569;698;213;277
;blanco stembiljetten;;;42;2;0;4;0;3;0;2;2;6;5;9;3;0;5;0;1
;ongeldige stembiljetten;;;24;0;2;1;0;3;2;4;2;0;0;1;4;3;2;0;0
;aangetroffen stembiljetten;;;10238;680;752;1088;430;962;567;698;539;704;817;635;598;572;705;213;278
;meer stembiljetten dan toegelaten kiezers;;;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;3;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;CDA;;;1835;98;109;162;69;158;146;175;94;132;146;88;134;123;124;34;43
;;1;van der Zwet, C.P.M.;810;38;47;60;33;79;52;117;42;48;45;23;56;68;61;22;19
;;2;Mélotte, F.E.;96;6;2;9;3;4;5;6;12;7;10;7;6;8;6;3;2
;;3;Loos-Trompert, J.J.M.;241;20;13;28;7;20;14;18;12;18;12;11;16;16;20;5;11
;;4;Meiland, G.M.J.;193;3;14;14;9;19;26;14;4;13;23;13;21;9;6;1;4
;;5;Allard, H.A.J.;17;2;1;1;1;0;1;1;3;2;0;1;3;0;1;0;0
;;6;Bergman-Bijlsma, M.W.J.;51;5;8;3;0;5;6;3;0;6;0;2;3;6;3;1;0
;;7;van den Berg-van Reisen, S.M.A.;124;7;10;16;6;5;10;6;8;16;17;8;3;6;2;1;3
;;8;Heemskerk, M.;49;1;3;14;3;5;1;1;2;4;6;2;4;0;2;1;0
;;9;Aangeenbrug-Daudeij, D.M.;28;1;1;2;3;3;0;3;2;2;0;3;3;2;3;0;0
;;10;Kooij, B.N.;26;2;5;5;0;3;0;0;1;1;2;2;1;0;2;0;2
;;11;Aangeenbrug, A.G.B.;20;3;3;0;0;2;0;0;1;4;0;3;4;0;0;0;0
