Verkiezing;;Gemeenteraad Midden-Delfland 2022;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Midden-Delfland;;;;;;;;;;;;;;;;;;
Nummer;;1842;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;De Hoornbloem (14/3);Sporthal de Hofstede (14/3);De Dorpshoeve (14/3);De Hoornbloem (15/3);Sporthal de Hofstede (15/3);De Dorpshoeve (15/3);De Hoornbloem 1;De Hoornbloem 2;Dienstencentrum Kickerthoek;De Eénhoorn;Sporthal de Hofstede;Singelhof;Trefpunt;De Dorpshoeve 1;De Dorpshoeve 2;Dienstencentrum Korpershoek
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
Postcode;;;;;2635 HD;3155 AL;2636 GM;2635 HD;3155 AL;2636 GM;2635 GM;2635 HD;2635 JM;2636 CM;3155 AL;3155 AL;3155 AM;2636 GM;2636 GM;2636 JA
;opgeroepenen;;;15343;0;0;0;0;0;0;1572;1571;1648;1924;2148;1430;1719;1638;1638;55
;geldige stempas;;;8833;413;256;210;622;349;447;792;838;692;326;826;879;773;658;625;127
;geldig volmachtbewijs;;;1062;32;27;22;58;41;48;117;134;60;28;114;102;78;95;96;10
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;9895;445;283;232;680;390;495;909;972;752;354;940;981;851;753;721;137
;geldige stembiljetten;;;9839;438;283;232;674;390;493;907;967;747;353;932;977;843;748;718;137
;blanco stembiljetten;;;33;0;0;0;4;0;1;1;5;5;0;3;1;6;4;3;0
;ongeldige stembiljetten;;;23;7;0;0;2;0;1;1;0;0;1;6;2;2;1;0;0
;aangetroffen stembiljetten;;;9895;445;283;232;680;390;495;909;972;752;354;941;980;851;753;721;137
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
