Verkiezing;;Gemeenteraad Nieuwkoop 2022;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Nieuwkoop;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0569;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Kaleidoskoop De Verbinding;Stembureau De Rank;Stembureau Ipse de Bruggen;Stembureau Kaleidoskoop theaterzaal;Stembureau De Rietzanger;Stembureau De Schutse;Stembureau IKC de Vaart;Stembureau Parola;Stembureau Koeleman Potplanten B.V.;Stembureau Gemeentekantoor Ter Aar;Stembureau De Ringkant;Stembureau Gemeentehuis Nieuwveen;Stembureau Party-Centrum 't Trefpunt;Stembureau Mobiel stembureau;Stembureau Kaleidoskoop Nieuwkoop;Stembureau Kaleidoskoop Nieuwkoop;Stembureau Gemeentekantoor Ter Aar;Stembureau Gemeentekantoor Ter Aar;Stembureau Gemeentehuis Nieuwveen;Stembureau Gemeentehuis Nieuwveen
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;13;14;16;21;114;115;214;215;314;315
Postcode;;;;;2421 EX;2421 BE;2441 CP;2421 EX;2431 AD;3652 LH;2461 BT;2461 CE;2461 TZ;2461 CC;2441 AD;2441 LE;2435 XP;;2421 EX;2421 EX;2461 CC;2421 CC;2441 LE;2441 LE
;opgeroepenen;;;23684;2334;2436;162;2700;1444;931;601;2366;2021;2731;1231;2248;2479;0;0;0;0;0;0;0
;geldige stempas;;;11950;1014;786;124;683;800;463;897;1126;471;582;444;661;784;295;586;794;315;422;276;427
;geldig volmachtbewijs;;;1510;150;122;17;88;113;76;84;117;55;68;56;91;94;39;81;84;40;41;41;53
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;13460;1164;908;141;771;913;539;981;1243;526;650;500;752;878;334;667;878;355;463;317;480
;geldige stembiljetten;;;13396;1157;905;140;767;907;538;976;1236;525;645;500;741;870;333;666;877;354;463;316;480
;blanco stembiljetten;;;29;4;2;1;2;2;1;2;2;0;0;0;3;8;1;1;0;0;0;0;0
;ongeldige stembiljetten;;;31;3;2;0;1;1;0;3;5;1;5;0;7;0;0;0;1;1;0;1;0
;aangetroffen stembiljetten;;;13456;1164;909;141;770;910;539;981;1243;526;650;500;751;878;334;667;878;355;463;317;480
;meer stembiljetten dan toegelaten kiezers;;;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;5;0;0;0;1;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;4;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Samen Beter Nieuwkoop;;;3535;396;282;23;246;341;113;240;277;103;118;80;166;262;82;165;295;84;119;56;87
;;1;Keijzers, E.C.M.;815;64;35;8;34;91;19;33;75;25;21;15;33;148;36;35;55;23;17;16;32
;;2;Elkhuizen, G.A.H.;180;10;18;1;11;26;22;5;14;4;4;2;5;3;0;12;17;1;13;6;6
;;3;de Ridder, R.J.G.;250;65;46;2;37;8;4;1;1;0;3;2;6;3;4;23;37;0;1;3;4
;;4;de Romijn, M.;228;0;3;4;4;1;0;76;17;12;41;0;3;1;0;2;1;24;38;0;1
;;5;Geerlof, W.P.J.;149;8;3;0;1;111;8;1;3;2;0;0;0;2;1;3;5;0;1;0;0
;;6;Visser, L.J.J.;298;56;49;0;27;17;9;8;3;5;2;0;6;6;2;27;60;3;10;3;5
;;7;Hendriks, M.M.;237;50;30;0;39;6;9;5;20;8;0;5;7;4;0;12;35;1;1;4;1
;;8;Kroes, L.M.;152;4;2;0;3;2;1;15;68;16;8;0;10;7;5;3;1;5;2;0;0
;;9;Verhage, B.;39;6;4;0;8;0;0;2;0;2;0;0;3;1;0;3;7;0;1;0;2
;;10;Abd Alnour, Y.;18;0;0;0;0;0;0;6;1;1;1;0;6;0;0;0;0;0;1;1;1
;;11;Domburg-Rietveld, C.M.;59;1;4;0;1;0;0;2;1;0;2;0;0;35;5;2;0;3;0;1;2
;;12;Boers, J.M.F.;34;4;6;0;6;8;0;1;2;0;0;0;0;1;1;1;4;0;0;0;0
;;13;Metzelaar, D.A.E.;32;1;1;1;1;0;0;0;0;0;1;2;13;4;1;0;0;0;1;3;3
;;14;Verhaar, C.P.M.;70;1;0;2;0;0;0;5;2;1;2;11;25;3;0;2;2;1;0;5;8
;;15;Mourits, A.H.;22;1;1;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;van der Jagt, R.C.M.;15;0;0;0;0;0;0;0;9;1;0;0;0;0;0;1;0;2;2;0;0
;;17;Scholte, M.P.;26;1;0;0;0;0;0;15;2;2;0;0;0;0;0;0;0;2;4;0;0
;;18;van der Meulen, W.H.;39;12;20;0;1;0;0;0;1;0;0;0;0;0;0;1;4;0;0;0;0
;;19;Kwakkenbos, J.M.J.;11;0;1;0;4;0;1;0;0;0;0;1;2;0;0;0;2;0;0;0;0
;;20;Wijfjes, J.;30;0;0;0;0;0;0;1;2;0;0;8;5;1;5;0;1;0;0;1;6
;;21;Verlooij, A.W.;9;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0
;;22;Malik, N.I.;32;6;4;0;6;3;2;1;0;0;0;0;3;0;0;2;5;0;0;0;0
;;23;Zornig-Stolk, B.A.;29;0;0;0;1;0;0;14;2;2;3;1;0;0;2;0;0;1;2;1;0
;;24;van den Helder, S.H.G.;43;4;5;0;3;5;0;0;2;0;0;8;5;3;1;1;1;1;0;2;2
;;25;Sinnige, R.;26;10;3;0;10;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
;;26;Beijeman, W.J.;49;4;18;0;1;3;0;2;0;0;0;0;1;0;1;6;11;0;0;2;0
;;27;van der Zwaan, R.J.A.;13;0;0;1;0;0;0;1;0;0;0;2;7;0;0;0;0;0;0;1;1
;;28;Poen, S.;12;0;0;0;0;2;6;0;1;0;0;0;0;1;0;0;1;0;1;0;0
;;29;Kroon, L.;68;1;0;0;2;0;2;17;0;5;16;0;2;0;0;4;0;4;14;0;1
;;30;Keijzer, R.H.;21;4;0;0;5;0;0;0;0;0;0;0;0;1;0;7;4;0;0;0;0
;;31;van der Hoorn, M.A.;51;0;0;0;1;2;0;16;11;9;3;1;0;1;0;0;1;4;2;0;0
;;32;Griffioen, W.;38;2;0;1;3;6;22;1;0;0;1;0;0;2;0;0;0;0;0;0;0
;;33;van Weeren-Vermeulen, C.M.;49;0;0;0;0;0;0;4;29;6;2;0;1;0;0;0;0;4;3;0;0
;;34;Balvert, A.W.M.;18;6;1;0;3;0;0;0;0;1;0;1;0;0;0;1;5;0;0;0;0
;;35;Eijs, P.C.G.;18;0;0;0;1;0;0;0;0;1;0;0;1;14;1;0;0;0;0;0;0
;;36;Hoogervorst-Schellingerhout, C.;9;0;0;0;0;0;0;0;0;0;0;2;3;0;2;0;0;0;1;1;0
;;37;Geerlof, E.A.;5;0;0;0;0;3;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
;;38;Budding, J.;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;39;van Lith, A.J.;17;1;0;0;0;13;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0
;;40;van Lammeren, M.;11;0;2;0;0;0;0;2;1;0;0;0;0;0;0;0;0;5;0;0;1
;;41;de Groot, A.A.;25;2;0;1;0;1;0;1;0;0;0;7;4;4;1;0;1;0;0;2;1
;;42;Langerak-Bot, J.W.;4;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Kuijf, R.R.J.;45;18;6;0;6;1;1;0;0;0;1;0;3;0;0;3;4;0;0;0;2
;;44;Hendriks, J.T.;70;14;3;1;9;4;1;1;6;0;3;3;3;4;1;7;6;0;0;0;4
;;45;Filippo, R.;34;16;2;0;6;1;0;1;0;0;0;0;0;1;0;2;5;0;0;0;0
;;46;Luijben, J.A.;9;2;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0
;;47;Domburg, G.;5;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;1;0;0;0;0
;;48;van Engelen, J.A.;31;10;8;0;5;0;0;0;0;0;0;1;0;0;0;1;6;0;0;0;0
;;49;Wahl, J.;20;1;0;0;1;5;2;0;0;0;2;0;1;4;0;0;1;0;1;1;1
;;50;Plat, J.;68;7;3;1;4;1;0;3;2;0;2;8;6;5;13;2;4;0;1;3;3
2;CDA;;;2345;149;106;37;88;108;72;186;310;116;110;168;204;121;31;104;117;57;90;66;105
;;1;Ingwersen, J.A.;1341;102;76;23;57;70;50;95;114;51;48;106;137;60;20;66;78;24;46;55;63
;;2;Zoet, L.J.;215;2;3;3;0;2;2;13;118;26;9;5;4;3;1;3;3;10;3;1;4
;;3;van Dijk, R.G.A.;152;2;0;3;6;1;1;28;15;5;17;19;16;6;0;5;2;9;9;1;7
;;4;van Leeuwen, R.;104;5;0;5;3;2;0;6;7;2;9;20;22;1;0;1;5;0;1;3;12
;;5;Egberts, C.A.G.M.;89;1;3;0;1;2;1;14;11;11;7;0;3;5;0;2;2;8;17;0;1
;;6;van Vliet-Splinter, E.C.;82;3;2;1;2;4;9;4;2;3;3;4;9;23;4;0;3;2;0;2;2
;;7;Kempenaar, C.;54;2;1;0;2;22;8;0;1;4;0;0;1;2;3;2;1;0;1;1;3
;;8;Bakker, H.G.;25;10;3;0;3;0;0;0;0;0;0;0;1;0;0;5;3;0;0;0;0
;;9;Wijshijer, B.;25;1;1;0;0;0;0;8;0;0;4;0;1;3;1;0;0;2;3;0;1
;;10;van Wijk, A.A.;49;12;7;0;7;1;0;3;1;0;0;0;1;2;0;5;8;1;0;0;1
;;11;Draper, D.A.G.;8;0;2;0;0;1;0;0;0;0;0;0;0;0;0;1;3;0;0;0;1
;;12;van Tol, J.A.;15;0;1;0;0;1;0;0;4;0;2;4;2;1;0;0;0;0;0;0;0
;;13;Kooijman, L.J.;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0
;;14;Versluis-Hölscher, A.E.M.;36;0;0;0;0;0;0;3;20;1;3;1;0;1;1;2;0;0;4;0;0
;;15;Oosterhof-Heemskerk, N.H.M.;11;0;0;0;0;0;0;0;3;0;0;0;1;5;0;0;0;0;0;0;2
;;16;van Heusden, S.I.;14;0;2;1;1;0;0;6;0;0;0;0;0;1;0;0;0;0;2;1;0
;;17;van der Meer, C.C.;4;0;0;0;0;0;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0
;;18;Jonker, N.;9;0;0;0;1;0;0;3;1;1;1;0;0;0;0;0;0;0;2;0;0
;;19;Mac-Lean, A.;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;20;Lek, F.G.;4;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0
;;21;van der Zwaan, J.J.M.;16;0;0;0;0;0;0;0;2;2;0;4;4;0;0;0;0;0;0;1;3
;;22;Verhage, S.R.H.;14;3;1;0;3;0;0;0;0;0;0;0;1;1;0;4;1;0;0;0;0
;;23;Leliveld, J.T.C.;6;0;0;0;0;0;0;0;0;1;0;2;1;1;0;0;0;0;0;0;1
;;24;van Tol, M.L.;30;0;0;1;0;0;0;3;5;5;5;0;0;4;1;0;0;1;2;0;3
;;25;Vollebregt, M.M.J.A.H.;4;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0
;;26;Veninga, G.;7;0;0;0;1;1;0;0;2;0;0;0;0;2;0;1;0;0;0;0;0
;;27;Disch, H.C.P.M.;10;1;3;0;1;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;1
;;28;Modderaar-Prins, G.;15;5;0;0;0;1;0;0;1;0;0;2;0;0;0;3;3;0;0;0;0
3;VVD;;;3106;235;258;38;154;202;94;298;302;179;207;100;148;169;62;134;169;81;108;58;110
;;1;de Kleer, T.C.J.;1476;68;94;12;57;72;36;197;189;121;131;37;58;52;19;46;74;66;76;29;42
