Verkiezing;;Gemeenteraad Pijnacker-Nootdorp 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Pijnacker-Nootdorp;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1926;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentekantoor Pijnacker;Sporthal 't Baken;Buurt & Zo (bibliotheek Oostland);Gymzaal  Goudenregen;Sporthal De Viergang;Gymzaal Daltonschool  De Tweemaster;Ontmoetingskerk;Wijkcentrum Tolhek (Gymzaal);Sporthal 't Nest;Wijkcentrum Tolhek;Buurtcentrum Het Oude Laarsje;Meersma Holding BV;Sporthal 't Nest;Kerkgebouw Delfgauw;Sporthal Emerald;Sporthal Emerald;Jan Janssen Sporthal;Jan Janssen Sporthal;"Sporthal ""s-Gravenhout";Sporthal 's-Gravenhout;Parochiehuis;Nové Kerkelijk centrum;Mobiel stembureau Veenhage en Welzijnscentrum Keijzershof;Stembureau voor de telling stembureau 31/32/33/34;Stembureau voor de telling stembureau 41/42/43/44
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;18;19;20;21;22;23;24;30;40
Postcode;;;;;2641 ED;2641 JN;2641 HB;2641 AV;2641 AZ;2641 MM;2642 RA;2642 JK;2643 MC;2642 JK;2641 NS;2641 PE;2643 MC;2645 BD;2645 HH;2645 HH;2631 GA;2631 GA;2631 PT;2631 PT;2631 CL;2631 CR;2631 GC;;
;opgeroepenen;;;42469;1485;1514;1873;1851;2414;1858;2585;1452;1794;1451;540;845;1793;2596;2073;2072;2884;2885;2600;2601;1851;1349;103;0;0
;geldige stempas;;;20866;786;676;940;869;793;658;1161;565;547;552;314;360;489;1091;868;842;458;479;872;906;885;1157;92;1834;2672
;geldig volmachtbewijs;;;2518;80;55;108;93;86;100;142;84;63;57;49;52;55;106;114;118;64;63;145;124;131;163;6;171;289
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;23384;866;731;1048;962;879;758;1303;649;610;609;363;412;544;1197;982;960;522;542;1017;1030;1016;1320;98;2005;2961
;geldige stembiljetten;;;23280;863;725;1046;956;873;757;1299;645;608;604;360;409;540;1192;976;953;520;535;1011;1028;1011;1314;98;2004;2953
;blanco stembiljetten;;;76;2;4;3;5;5;0;3;3;1;3;2;3;2;5;2;4;2;6;4;1;2;5;0;1;8
;ongeldige stembiljetten;;;34;1;2;1;1;1;1;1;1;1;2;1;0;1;1;4;3;1;1;2;1;5;1;0;0;1
;aangetroffen stembiljetten;;;23390;866;731;1050;962;879;758;1303;649;610;609;363;412;543;1198;982;960;523;542;1017;1030;1018;1320;98;2005;2962
;meer stembiljetten dan toegelaten kiezers;;;7;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;2;0;0;0;1
;minder stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
