Verkiezing;;Gemeenteraad Rijswijk 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Rijswijk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0603;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;OBS Nicolaas Beets;Amicitia;Wijkcentrum Het Oude Raadhuis;Wijkcentrum Oud Rijswijk;Sportcentrum De Schilp;Woonzorgcentrum Vredenburch;speeltuinvereniging Inter Amicos;Amateurspalet;Stadhuis;Belvédère Rijswijk;De Rijswijkse Schouwburg;Nieuwe Kerk;Informatiecentrum in de Bogaard;Sportcentrum De Schilp;Centrum voor Jeugd en gezin;Basisschool Steenvoorde (gymzaal);Basisschool Wethouder Brederode;Petrusschool;Basisschool Het Kristal;Stervoorde;Gemeenschappelijke ruimte  t Hoekje;CBS Melodie;Buurthuis De Drassige Driehoek;Kunstgebouw;Bibliotheek Rijswijk;Rijswijks Lyceum;Best Western;Groepswonen voor Ouderen;Informatiecentrum RijswijkBuiten;Amicitia;Stadhuis;Sporthal de Schilp;Informatiecentrum RijswijkBuiten;Amicitia;Stadhuis;Sporthal de Schilp;Montessorischool Parkrijk;Informatiecentrum RijswijkBuiten
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;15;16;17;18;19;20;21;22;24;25;26;28;30;32;43;44;50;51;52;54;60;61;62;64;65
Postcode;;;;;2281 TH;2281 GA;2282 AL;2282 RZ;2285 SP;2282 SK;2282 KV;2282 HM;2284 DP;2283 XM;2283 GM;2284 EH;2284 DE;2285 SP;2285 XM;2285 VD;2286 MV;2286 RL;2286 GE;2286 BA;2286 GA;2287 BS;2288 CN;2289 BE;2288 AG;2284 GA;;2287 EE;2286 KC;2281 GA;2284 DP;2285 SP;2286 KC;2281 GA;2284 DP;2285 SP;2288 HR;2286 KC
;opgeroepenen;;;44543;1718;1997;1528;2151;1692;87;1893;1802;718;2220;2075;1969;989;2135;1366;1558;1543;1318;1179;1552;1289;1296;568;1270;677;1009;2048;1646;2128;0;0;0;0;0;0;0;1122;0
;geldige stempas;;;18403;721;859;695;1041;615;10;665;558;586;670;727;736;138;582;317;382;584;488;514;591;375;308;364;577;363;212;174;399;745;341;483;384;166;458;568;479;309;219
;geldig volmachtbewijs;;;2250;75;115;72;121;80;0;83;59;79;73;67;71;18;83;21;42;84;63;98;79;58;42;39;60;29;21;25;39;136;33;58;48;22;49;65;50;65;28
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;20653;796;974;767;1162;695;10;748;617;665;743;794;807;156;665;338;424;668;551;612;670;433;350;403;637;392;233;199;438;881;374;541;432;188;507;633;529;374;247
;geldige stembiljetten;;;20525;792;966;758;1157;689;10;745;612;659;738;792;807;153;666;336;422;663;546;606;669;431;341;401;628;392;231;199;434;877;374;538;428;188;505;626;526;373;247
;blanco stembiljetten;;;67;5;4;2;3;3;0;1;1;3;3;0;0;0;0;2;1;1;1;2;1;2;5;2;5;0;2;0;3;4;1;1;2;0;2;1;3;1;0
;ongeldige stembiljetten;;;58;0;0;7;2;3;0;2;3;3;2;2;0;3;0;0;1;4;4;4;0;0;4;1;2;0;0;0;1;0;0;2;2;0;0;6;0;0;0
