Verkiezing;;Gemeenteraad Schiedam 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Schiedam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0606;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Theater aan de Schie I;Stembureau Julianapark;Stembureau Distillateursbuurt;Stembureau Bachplein I;Stembureau Bachplein II;Stembureau Göteborg I;Stembureau Göteborg II;Stembureau Mobiel Stembureau;Stembureau Drive-in;Stembureau Theater aan de Schie I;Stembureau Julianapark;Stembureau Distillateursbuurt;Stembureau Bachplein I;Stembureau Bachplein II;Stembureau Göteborg I;Stembureau Göteborg II;Stembureau Mobiel Stembureau;Stembureau Drive-in;Stembureau Theater aan de Schie I;Stembureau Stationsplein;Stembureau Buurthuis Huis van de Wijk Oost;Stembureau Sportzaal Oost;Stembureau Sportzaal Zuid;Stembureau Bewonersvereniging Schiedam-Zuid;Stembureau Wijkcentrum De Erker;Stembureau Julianapark;Stembureau Distillateursbuurt;Stembureau Pronova College;Stembureau MAVO Schravenlant XL;Stembureau Wijkcentrum Dreesplein;Stembureau Bachplein I;Stembureau Bachplein II;Stembureau Göteborg I;Stembureau Recreatiezaal Beethovenflat;Stembureau Wijkcentrum De Brug;Stembureau Zwaluwlaan;Stembureau Verzetsheldenbuurt;Stembureau Mobiel Stembureau;Stembureau Bibliotheek Korenbeurs;Stembureau Kasteelweg;Stembureau Wijk- en Bewonersvereniging Tuindorp;Stembureau Drive-in;Stembureau Ontmoetingscentrum De Werf;Stembureau Hof in Zuid;Stembureau DSW Zorgverzekeraar;Stembureau HC Schiedam
Gebiednummer;;;;;101;109;110;115;116;117;118;124;128;201;209;210;215;216;217;218;224;228;301;303;304;305;306;307;308;309;310;311;312;314;315;316;317;319;320;321;322;324;325;326;327;328;330;331;332;333
Postcode;;;;;3112 DZ;;;;;;;;3125 BP;3112 DZ;;;;;;;;;3112 DZ;3112 HB;3112 LD;3112 VA;3114 GH;3114 NK;3117 PR;;;3118 BB;3118 LG;3119 CW;;;;3122 VL;3123 LA;;;;3111 CD;;3121 AM;3125 BP;3124 KE;3114 TM;3119 XT;3118 JD
;opgeroepenen;;;63420;1378;1378;1378;1378;1378;1378;1378;1378;1378;1378;1378;1378;1378;1378;1379;1379;1379;1379;1379;1379;1379;1379;1379;1379;1379;1379;1379;1379;1379;1379;1379;1379;1379;1379;1379;1379;1379;1379;1379;1379;1379;1379;1379;1379;1379;1379
;geldige stempas;;;23577;531;522;163;412;249;172;248;320;64;872;762;217;504;364;318;258;265;76;1363;744;570;209;242;598;567;1294;490;764;177;1039;652;510;1436;623;484;943;1078;421;723;398;348;137;279;724;216;231
;geldig volmachtbewijs;;;3162;81;71;15;48;14;25;22;46;11;130;101;39;44;39;39;30;24;6;192;65;73;41;32;91;83;147;82;144;36;275;77;77;193;64;44;137;136;48;44;44;37;18;46;88;30;33
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;26739;612;593;178;460;263;197;270;366;75;1002;863;256;548;403;357;288;289;82;1555;809;643;250;274;689;650;1441;572;908;213;1314;729;587;1629;687;528;1080;1214;469;767;442;385;155;325;812;246;264
;geldige stembiljetten;;;26495;607;589;178;459;260;195;269;361;74;990;860;254;546;398;357;286;289;80;1538;789;633;249;272;685;643;1435;565;900;213;1298;721;578;1623;675;525;1072;1192;466;758;440;383;154;325;804;245;262
;blanco stembiljetten;;;117;2;3;0;0;0;2;0;0;1;6;2;1;2;2;0;0;0;0;9;10;6;0;1;2;4;3;1;0;0;6;3;4;3;2;2;6;17;2;9;0;1;1;0;3;0;1
;ongeldige stembiljetten;;;119;2;1;0;2;2;0;1;3;0;6;1;1;0;2;0;2;0;0;8;10;4;1;1;2;3;2;6;8;0;10;5;5;3;10;1;2;4;1;0;2;1;0;0;5;1;1
