Verkiezing;;Gemeenteraad Teylingen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Teylingen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Julianakerk;Gemeentekantoor Teylingen;Het Onderdak;De Coy (Stichting Oud Sassenheim);Sportcentrum De Wasbeek;De Molen van Sassenheim;Sassembourg;Bibliotheek Bollenstreek Sassenheim;"Soc. Cultureel Centrum ""Het Trefpunt 1""";"Soc. Cultureel Centrum ""Het Trefpunt 2""";Bestuurscentrum Voorhout 1;Sportcafe De Eijck;Bestuurscentrum Voorhout 2;De Roef (bij St. Bartholomeuskerk);"Jeugdcentrum ""De Spelewey""";Jongerencentrum @hok;Historische Kring Voorhout;"Cluster ""Hoogh Teylingen""";TH. Sport & Fitness;Bestuurscentrum 1 14 mrt;Bestuurscentrum 1 15 mrt;Bestuurscentrum 2 14 maart;Bestuurscentrum 2 15 maart;Trefpunt 1 14 maart;Trefpunt 1 15 maart;Gemeentekantoor Teylingen 14 maart;Gemeentekantoor Teylingen 15 maart;Mobiel stembureau Warmond Buiten/BC
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
;opgeroepenen;;;30181;1844;1818;1832;1796;1862;1885;1611;0;2138;2030;1604;1146;1444;1990;1893;1876;1712;1700;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;15206;766;638;699;687;657;739;660;242;719;670;599;557;566;867;714;401;616;676;226;309;396;290;438;300;465;500;735;74
;geldig volmachtbewijs;;;1729;79;71;84;77;69;71;73;32;96;89;72;68;88;97;68;51;78;79;25;28;36;31;43;31;39;69;71;14
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;16935;845;709;783;764;726;810;733;274;815;759;671;625;654;964;782;452;694;755;251;337;432;321;481;331;504;569;806;88
;geldige stembiljetten;;;16838;840;701;779;761;719;808;728;273;803;755;669;623;647;961;775;450;689;753;249;337;432;320;479;330;501;567;802;87
;blanco stembiljetten;;;56;1;5;4;1;6;0;0;0;8;4;0;1;2;2;4;2;4;2;2;0;0;1;0;1;1;2;3;0
;ongeldige stembiljetten;;;42;4;3;0;2;1;2;5;1;3;1;2;1;6;1;3;0;1;0;0;0;0;0;2;0;2;0;1;1
;aangetroffen stembiljetten;;;16936;845;709;783;764;726;810;733;274;814;760;671;625;655;964;782;452;694;755;251;337;432;321;481;331;504;569;806;88
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;VVD;;;3125;119;151;144;121;140;157;153;48;148;144;119;130;120;191;102;105;107;154;54;54;90;70;91;59;91;112;145;6
;;1;de Werker, K.;1216;56;76;56;54;61;78;83;24;42;41;46;42;54;65;37;25;38;54;15;21;29;22;33;15;20;58;69;2
;;2;de la Rie, M.;455;23;29;34;23;29;35;30;15;10;8;11;12;14;14;9;17;18;18;8;7;14;8;10;1;3;26;29;0
;;3;de Voogd, S.D.;297;1;3;4;1;5;5;9;0;72;60;3;4;3;12;6;5;0;15;3;1;3;3;3;27;45;0;3;1
;;4;Verhoeve, H.S.;345;3;3;4;4;3;1;0;3;0;3;26;38;22;48;26;26;24;36;9;8;18;17;23;0;0;0;0;0
;;5;Beijk, F.A.M.;112;22;8;8;16;11;8;5;0;2;2;2;1;3;4;0;0;0;1;0;1;0;1;0;0;1;6;10;0
;;6;de Ruiter, M.D.;95;0;1;1;1;1;0;1;1;0;0;12;6;6;24;7;7;5;8;2;5;2;2;1;0;0;1;1;0
;;7;Steens-Stam, H.D.A.;59;2;8;2;2;4;2;4;0;0;0;3;1;1;2;0;0;2;4;2;1;1;0;1;0;4;5;8;0
;;8;Prins, G.W.P.;140;4;3;4;2;7;7;4;0;1;0;8;12;5;11;13;8;4;5;8;0;7;6;13;1;0;6;1;0
;;9;Appels, W.S.;23;0;0;1;0;2;0;0;0;0;0;3;2;2;1;1;3;2;1;0;0;1;1;2;0;0;0;1;0
;;10;Duivenvoorden, D.;42;1;1;0;3;2;1;0;1;0;0;1;4;3;3;2;7;1;6;1;2;1;2;0;0;0;0;0;0
;;11;Beck, W.P.;14;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;1;3;0;0;1;1;2;1;0;0;0;1;0
;;12;van Steensel, C.H.C.;56;1;3;12;7;3;4;2;1;1;0;2;2;3;0;0;1;1;1;0;3;1;1;1;0;0;4;2;0
;;13;Rikkers, A.H.;9;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;1;0;0
;;14;Oudshoorn, J.P.;65;0;2;0;1;1;4;2;0;8;22;0;1;0;0;1;0;3;1;0;0;1;0;0;9;7;0;0;2
;;15;van der Ploeg, C.J.;27;0;5;0;1;4;1;1;0;1;0;0;1;0;0;0;2;3;1;2;0;0;0;0;0;0;1;4;0
;;16;Wagemakers, A.J.M.;27;1;3;7;4;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;0
;;17;van der Steur, G.A.;60;2;0;3;1;0;4;3;0;7;4;1;2;3;4;0;1;1;0;1;4;4;2;1;5;3;2;2;0
;;18;Volten, M.E.I.;83;3;5;8;1;4;6;7;2;3;3;1;2;0;1;0;2;2;3;3;0;7;3;2;1;4;1;8;1
2;CDA;;;3124;177;123;165;150;85;115;223;50;130;152;85;92;85;242;182;71;101;103;35;58;71;41;74;54;88;160;167;45
;;1;Hilverda- van Leeuwen, C.A.H.;1200;37;42;53;54;34;30;73;8;27;26;43;61;33;134;108;23;63;56;16;26;39;28;35;12;19;41;58;21
;;2;van den Nouland, T.P.M.;305;46;19;35;31;19;33;27;10;2;1;2;5;1;7;3;7;2;0;3;1;1;0;0;0;0;22;28;0
;;3;Loos, G.J.M.;146;2;2;2;2;2;4;3;2;30;39;3;0;1;1;1;3;3;4;2;1;1;0;2;12;14;4;2;4
;;4;Derksen, J.J.B.;228;2;7;4;2;2;2;8;1;0;0;8;6;23;46;29;10;10;11;2;16;14;7;17;0;0;0;1;0
;;5;de Vries- van den Beukel, S.C.;566;61;41;49;40;16;33;77;21;12;4;6;2;4;15;5;13;2;4;5;1;1;1;3;1;4;71;56;18
;;6;Dijkstra, G.C.;71;0;1;2;0;0;1;1;1;12;15;0;0;2;0;0;4;2;0;0;1;1;0;0;10;15;0;1;2
;;7;de Winter, W.J.;169;1;2;0;0;3;2;4;0;37;61;0;1;1;4;1;0;1;1;1;0;1;0;0;16;31;1;0;0
;;8;van Doeveren, N.A.J.M.;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;van den Nouland, M.A.;30;2;0;0;2;1;5;4;2;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;6;5;0
;;10;Wietsma- Biesbroek, R.G.E.;223;3;1;4;3;3;0;4;2;1;0;18;15;16;30;29;5;17;24;5;11;10;4;16;0;0;1;1;0
;;11;van Ek, H.C.H.;10;0;0;0;0;0;0;0;0;3;4;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0
;;12;van de Velde, J.I.;16;0;0;1;1;0;0;0;0;0;0;2;1;2;1;2;2;0;0;1;1;1;0;1;0;0;0;0;0
;;13;van den Berg, A.H.A.;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0
;;14;van Ruiten, L.P.;3;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;15;de Vlieger, C.L.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;16;van der Salm, P.J.M.;8;1;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0
;;17;Koomen, N.C.A.;19;3;1;1;1;0;0;4;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;4;0
;;18;van Vliet, W.P.M.;25;3;5;0;1;0;2;8;1;1;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0
;;19;Bakker, M.;14;4;2;1;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;20;Pronk, C.P.;20;3;0;4;1;0;0;3;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;2;3;0
;;21;Noordzij, K.J.;13;0;0;1;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;2;0;0
;;22;Scholten, P.H.;12;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;4;0
;;23;Zandbergen, M.;38;6;0;7;8;4;3;5;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
3;Trilokaal;;;2498;134;84;121;145;109;142;90;40;119;122;101;96;79;109;137;65;112;101;34;49;60;56;82;49;70;76;109;7
;;1;van Duijvenbode, M.C.;933;48;30;47;45;32;49;31;17;28;21;47;44;33;50;47;30;49;58;14;25;25;28;41;8;21;28;36;1
;;2;Jasperse, S.A.B.;400;17;12;13;18;14;18;9;5;11;6;27;33;15;21;36;12;27;17;8;12;19;8;12;3;7;10;10;0
;;3;van Velzen, C.L.C.;211;5;3;6;5;5;12;6;2;4;4;11;11;14;16;13;11;19;10;3;4;3;12;12;4;3;7;6;0
;;4;Welters, A.W.;39;1;0;2;0;0;1;1;0;0;0;4;0;4;5;5;1;2;1;0;2;5;1;3;0;0;1;0;0
;;5;van Loon, T.;198;18;10;17;25;21;28;18;5;2;0;0;1;1;4;4;0;2;1;2;0;2;1;2;2;0;11;21;0
;;6;Bezembinder, R.;21;1;3;0;0;0;0;0;1;0;1;0;3;0;0;7;1;2;0;0;0;0;1;0;0;0;0;1;0
;;7;Ouwehand, N.C.J.;248;1;2;1;1;1;8;1;0;71;76;0;0;1;0;3;3;0;3;0;0;0;1;1;30;33;2;3;6
