Verkiezing;;Gemeenteraad Vlaardingen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Vlaardingen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0622;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadskantoor;Stadhuis Burgerzaal;Stadsgehoorzaal;Kerkgebouw De Fontein;Rehobothkerk;CBS Het Visnet;Wooncentrum De Bolder;Johannes Calvijnschool;OBS De Wereldwijzer;Wijkcentrum West;Voormalig schoolgebouw;Pannekoekenhuis 't Hof;GBS Het Christal;Kerkgenootschap Leger des Heils;Bethelkerk;Begraafplaats Emaus;Hotel Restaurant Campanile;Vaartland;Het Zonnehuis;'t Palet Holy;Kerk van de Nazarener;Drieën-Huysen Zuid;Gymzaal Lissabonweg;De Wouthof;Begraafplaats Holy;KBS De Hoeksteen;Gymzaal Kruidenpad;Stadswerf Stemstraat (vanuit de auto stemmen);Stadskantoor 14 maart 2022;Stadsgehoorzaal 14 maart 2022;Voormalig Schoolgebouw 14 maart 2022;Kerkgenootschap Leger des Heils 14 maart 2022;Kerk van de Nazarener 14 maart 2022;Gymzaal Kruidenpad 14 maart 2022;Stadskantoor 15 maart 2022;Stadsgehoorzaal 15 maart 2022;Voormalig Schoolgebouw 15 maart 2022;Kerkgenootschap Leger des Heils 15 maart 2022;Kerk van de Nazarener 15 maart 2022;Gymzaal Kruidenpad 15 maart 2022
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;19;20;21;22;23;25;26;27;28;29;30;1401;1403;1411;1414;1422;1429;1501;1503;1511;1514;1522;1529
Postcode;;;;;3131 VX;3131 CR;3134 BB;3131 HA;3131 LL;3131 PS;3133 BA;3132 JB;3132 EL;3132 AZ;3132 XT;3134 VH;3135 PS;3135 VR;3135 KZ;3135 JC;3135 GP;3136 EA;3136 EA;3136 JB;3136 GZ;3136 CZ;3137 LR;3137 RL;3137 CR;3137 CR;3137 WD;3135 DA;3131 VX;3134 BB;3132 XT;3135 VR;3136 GZ;3137 WD;3131 VX;3134 BB;3132 XT;3135 VR;3136 GZ;3137 WD
;opgeroepenen;;;58898;2352;2041;2282;2493;2808;2964;1744;1987;2710;2546;2641;2344;2165;2396;2297;1616;1666;1809;1222;2246;2172;1609;2422;2215;1881;2329;1941;0;0;0;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;22536;917;383;1183;481;1118;471;378;320;658;749;457;547;448;692;1340;612;317;526;400;801;513;697;653;775;761;952;663;70;436;304;217;369;360;296;567;512;320;461;452;360
;geldig volmachtbewijs;;;2354;136;43;1;60;112;65;37;38;74;93;55;82;56;83;162;61;41;60;38;113;55;58;0;86;94;65;85;12;31;28;22;40;44;33;58;47;51;54;48;33
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;24890;1053;426;1184;541;1230;536;415;358;732;842;512;629;504;775;1502;673;358;586;438;914;568;755;653;861;855;1017;748;82;467;332;239;409;404;329;625;559;371;515;500;393
;geldige stembiljetten;;;24765;1046;425;1179;539;1224;534;412;354;725;829;512;628;497;768;1496;671;358;585;434;905;562;755;651;860;854;1019;743;81;464;331;237;407;400;327;622;557;368;513;500;393
;blanco stembiljetten;;;66;4;1;3;2;3;2;1;0;5;2;0;0;1;7;4;1;0;2;1;4;4;0;2;1;0;1;5;1;1;1;0;0;2;1;2;1;0;1;0;0
;ongeldige stembiljetten;;;62;3;0;1;0;3;2;2;4;2;11;0;0;6;0;1;1;0;0;3;4;1;1;0;0;3;0;0;0;2;0;2;2;2;1;1;1;2;1;0;0
;aangetroffen stembiljetten;;;24893;1053;426;1183;541;1230;538;415;358;732;842;512;628;504;775;1501;673;358;587;438;913;567;756;653;861;857;1020;748;82;467;332;239;409;404;329;625;559;370;515;500;393
;meer stembiljetten dan toegelaten kiezers;;;9;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;6;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;15;0;0;1;0;0;2;0;0;0;0;0;1;0;0;1;0;0;1;0;1;1;1;0;0;2;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;ONS.Vlaardingen;;;2470;118;37;102;53;140;38;62;42;90;103;52;44;42;57;105;54;27;46;53;101;80;67;75;104;82;105;69;1;41;25;38;43;45;28;58;65;49;50;50;29
;;1;Hoogendijk, F.G.C.;1200;49;23;47;16;79;25;29;19;44;41;27;13;22;30;57;22;13;30;31;45;37;32;38;56;36;56;37;1;16;10;13;19;31;10;31;26;26;25;21;17
;;2;Hogewoning, J.W.;389;12;1;14;7;13;9;6;8;20;22;8;7;6;17;17;11;2;4;7;18;6;13;14;13;13;17;13;0;7;5;9;10;5;6;11;4;8;8;12;6
;;3;Vuijk, B.;235;11;6;18;7;20;1;8;4;3;14;9;4;8;3;6;6;2;2;4;6;10;2;1;5;9;8;5;0;8;5;0;1;2;2;4;17;2;5;3;4
;;4;van Haren, R.;70;1;0;1;3;0;0;2;2;1;1;0;1;1;0;6;1;0;2;4;5;1;5;1;1;4;8;5;0;1;0;3;0;2;0;0;3;1;4;0;0
