Verkiezing;;Gemeenteraad Voorschoten 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Voorschoten;;;;;;;;;;;;;;;;;;;;;
Nummer;;0626;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Kerk Het Kruispunt (A);Stembureau Kerk Het Kruispunt (B);Stembureau Voorhuis Dorpskerk;Stembureau Alettahof (A);Stembureau Alettahof (B);Stembureau Intratuin;Stembureau De Boschbloem (A);Stembureau De Boschbloem (B);Stembureau Bondsgebouw (A);Stembureau Bondsgebouw (B);Stembureau Sporthal De Vliethorst;Stembureau Hotel De Gouden Leeuw;Stembureau BplusC (A);Stembureau BplusC (B);Stembureau Cultureel Centrum;Stembureau De Boschbloem (ma);Stembureau Bondsgebouw (ma);Stembureau De Boschbloem (di);Stembureau Bondsgebouw (di)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
Postcode;;;;;2251 BH;2251 BH;2251 BS;2253 RP;2253 RP;2253 JP;2252 EA;2252 EA;2251 LG;2251 LG;2251 CT;2252 AG;2253 CE;2253 CE;2252 HH;2252 EA;2251 LG;2252 EA;2251 LG
;opgeroepenen;;;19804;1371;1371;1862;1277;1277;2137;1090;1090;940;940;1450;1740;1103;1103;1053;0;0;0;0
;geldige stempas;;;10771;517;454;602;595;666;699;454;562;496;441;758;481;336;423;915;460;635;571;706
;geldig volmachtbewijs;;;1105;49;46;69;46;49;55;36;28;77;63;107;83;35;51;85;54;46;48;78
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;11876;566;500;671;641;715;754;490;590;573;504;865;564;371;474;1000;514;681;619;784
;geldige stembiljetten;;;11814;562;491;665;638;711;752;487;590;569;501;861;563;370;472;991;510;679;619;783
;blanco stembiljetten;;;37;3;4;4;2;2;0;2;1;2;2;2;1;1;1;7;1;0;0;2
;ongeldige stembiljetten;;;26;1;5;2;1;2;1;1;0;2;1;2;0;0;1;2;3;2;0;0
;aangetroffen stembiljetten;;;11877;566;500;671;641;715;753;490;591;573;504;865;564;371;474;1000;514;681;619;785
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
