Verkiezing;;Gemeenteraad Waddinxveen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Waddinxveen;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0627;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Gemeentehuis;Stembureau Wijkgebouw Zonnig Zuid;Stembureau Cultuurhuys De Kroon;Stembureau De Hoeksteen;Stembureau Sleutelkwartier (SK Lab);Stembureau Bethelkerk;Stembureau Kleurrijk;Stembureau Anne Frankcentrum;Stembureau De Ontmoetingskerk;Stembureau Voormailig schoolgebouw Wingerd 45;Stembureau Rehobotschool;Stembureau Wijkgebouw Zuidhonk A;Stembureau Wijkgebouw Zuidhonk B;Stembureau De Morgenster;Stembureau speeltuin De Overkant;Stembureau Projectbureau Triangel;Stembureau Gemeentewerf Coenecoop;Stembureau Dick Bruna school;Stembureau M1 Gemeentehuis;Stembureau M10 Voormalig schoolgebouw Wingerd 45;Stembureau M14 De Morgenster;Stembureau D1 Gemeentehuis;Stembureau D10 Voormalig schoolgebouw Wingerd 45;Stembureau D14 De Morgenster
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
Postcode;;;;;2741 HS;2741 JR;2741 MW;2742 XG;2741 GS;2741 AP;2741 XL;2741 DS;2742 DJ;2742 SC;2743 GC;2743 KD;2743 KD;2743 LW;2741 KP;2742 KK;2741 PH;2742 MG;2741 HS;2742 SC;2743 LW;2741 HS;2742 SC;2743 LW
;opgeroepenen;;;24277;1012;1471;1846;1630;1397;1049;1611;1386;1580;1608;1426;1483;1417;1671;869;1249;677;895;0;0;0;0;0;0
;geldige stempas;;;11284;718;489;669;669;305;440;423;547;827;431;412;450;398;725;272;308;100;518;411;237;446;671;302;516
;geldig volmachtbewijs;;;1397;90;56;84;92;40;47;47;64;111;49;51;37;50;96;36;49;15;89;44;31;47;74;31;67
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;12681;808;545;753;761;345;487;470;611;938;480;463;487;448;821;308;357;115;607;455;268;493;745;333;583
;geldige stembiljetten;;;12574;795;537;750;756;341;483;467;605;932;478;460;480;445;810;306;351;115;601;452;267;492;741;330;580
;blanco stembiljetten;;;66;6;3;2;5;3;4;3;1;4;2;0;5;3;8;0;5;0;4;1;0;2;2;2;1
;ongeldige stembiljetten;;;42;7;6;1;0;1;0;0;4;2;0;3;2;1;3;2;1;0;2;2;1;0;1;1;2
;aangetroffen stembiljetten;;;12682;808;546;753;761;345;487;470;610;938;480;463;487;449;821;308;357;115;607;455;268;494;744;333;583
;meer stembiljetten dan toegelaten kiezers;;;3;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;kiezers met stembiljet hebben niet gestemd;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;geen verklaring;;;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1;PCW | www.kiespcw.nl;;;3674;234;133;150;307;122;209;171;171;341;148;156;87;100;231;93;108;37;118;106;64;115;190;98;185
;;1;Berghout, J.;1906;115;53;78;152;61;123;93;106;193;89;72;41;56;92;45;61;15;63;57;29;53;87;62;110
;;2;Verduijn, E.C.;208;20;16;7;22;11;8;8;1;12;7;9;5;6;16;17;2;3;3;5;2;4;14;3;7
;;3;den Dekker, L.H.;251;15;9;8;38;4;13;11;10;26;6;11;5;1;18;7;6;2;2;12;4;10;13;4;16
;;4;van de Krol-den Ouden, S.;388;30;11;16;31;21;20;19;19;34;8;18;12;11;24;6;10;6;14;7;12;9;25;10;15
;;5;Waterman, H.;62;4;1;0;5;1;4;2;0;2;2;1;2;6;11;1;2;0;2;2;2;7;1;2;2
;;6;van Mourik, J.C.;110;6;2;2;9;0;2;0;4;4;1;18;5;3;21;1;2;3;3;1;2;10;2;0;9
;;7;Kerssies, A.;100;6;6;9;6;1;2;4;7;8;2;3;6;1;12;1;3;1;0;1;7;1;4;2;7
;;8;Drost, B.W.;17;1;1;0;3;0;1;0;0;1;1;0;0;0;0;0;3;0;2;0;0;1;0;0;3
;;9;Oosterom, T.;62;1;1;2;3;2;8;4;3;6;6;3;2;1;3;0;1;1;2;0;3;1;8;1;0
;;10;Hart, N.F.;21;0;0;1;1;1;0;0;1;4;0;0;2;0;0;1;0;5;1;1;0;0;3;0;0
;;11;Beekman, H.C.;53;2;14;2;2;0;1;1;4;3;4;1;0;0;0;3;2;0;7;1;0;1;4;0;1
;;12;Schep, A.E.;13;2;1;0;1;1;1;1;0;2;0;1;0;1;0;0;0;0;0;0;0;2;0;0;0
;;13;Prins, P.;10;0;0;1;0;0;0;0;0;3;0;0;1;1;2;0;0;0;0;2;0;0;0;0;0
;;14;Rijfers, J.;13;3;0;0;0;0;0;0;0;0;0;2;0;0;1;3;0;0;2;0;0;2;0;0;0
;;15;Anker-van Harten, M.H.;43;1;1;5;2;0;4;2;1;2;4;3;2;3;5;2;0;0;1;1;0;2;1;1;0
;;16;van Haeften, K.S.;13;1;0;0;2;0;2;0;2;2;0;0;1;0;1;0;0;0;0;0;0;0;2;0;0
;;17;Pas, G.D.;27;0;0;1;4;2;3;0;2;0;3;0;1;0;1;1;4;0;1;0;0;0;2;1;1
;;18;van den Berg-Korevaar, M.J.;40;3;2;2;5;2;5;2;1;4;0;3;0;0;3;1;1;0;2;0;0;1;1;0;2
;;19;de Kool-van der Woude, J.W.;29;1;3;0;4;0;3;3;1;3;0;1;0;2;0;0;1;0;1;3;1;1;0;0;1
;;20;van Bodegraven, G.J.;36;1;1;3;2;2;4;3;1;4;0;2;0;0;0;2;1;0;2;0;0;3;3;2;0
;;21;den Haan, C.;22;0;0;2;0;0;0;1;0;3;0;3;0;2;5;0;0;0;1;0;0;3;0;0;2
;;22;van Harten, M.G.;56;5;1;1;1;1;1;6;1;6;2;0;0;3;6;0;3;1;3;4;0;0;2;7;2
;;23;Vollmuller, A.M.;22;1;0;1;1;2;2;2;0;1;5;0;0;0;0;0;1;0;0;1;1;0;4;0;0
;;24;de Bruin, J.;4;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0
;;25;Timmermans, H.;12;1;0;1;0;0;0;1;0;0;0;0;0;1;5;0;0;0;2;0;0;0;1;0;0
;;26;Roggeveen, M.;14;1;0;0;0;2;0;0;0;5;1;0;0;0;0;0;1;0;2;0;0;1;1;0;0
;;27;van Klaveren, A.J.L.;28;5;1;1;1;1;0;2;3;1;0;0;0;0;2;2;1;0;0;4;0;0;4;0;0
;;28;Foekens, P.;13;0;1;1;0;0;0;0;0;1;1;0;1;0;1;0;2;0;2;0;0;1;1;0;1
;;29;Hak, J.;26;2;2;3;6;1;1;0;2;3;2;1;0;0;0;0;1;0;0;0;0;0;1;1;0
;;30;de Bas, H.C.J.;47;3;4;1;5;4;1;5;2;4;2;1;0;2;1;0;0;0;0;2;1;0;4;2;3
;;31;Oosterom, B.C.;28;3;2;2;1;2;0;1;0;4;2;2;0;0;0;0;0;0;0;2;0;2;2;0;3
2;VVD;;;1929;143;59;153;85;32;49;50;53;115;63;39;90;88;166;53;67;18;133;87;24;94;115;44;109
;;1;Vleij, F.;1166;85;40;95;46;27;31;32;39;71;45;26;44;49;96;27;44;11;79;45;16;62;62;26;68
;;2;Jongkind, R.;200;14;1;12;11;1;5;9;4;8;2;4;14;14;21;15;5;1;8;14;3;9;11;6;8
;;3;Schepers - van der Rest, P.;141;8;2;16;7;1;2;1;4;10;0;3;7;4;13;4;4;2;9;11;0;8;10;4;11
;;4;van der Ploeg, A.M.;88;13;2;6;6;1;1;1;1;4;4;0;2;2;8;3;0;0;3;7;4;4;10;2;4
;;5;Wiekart, A.A.;39;1;0;2;1;0;7;0;3;0;3;1;4;0;2;1;0;1;1;3;0;1;5;0;3
;;6;Zoethoutmaar, N.;48;2;1;8;0;1;1;0;1;4;1;2;1;4;1;2;4;0;3;3;0;2;2;3;2
;;7;Kreefft, M.A.;22;2;0;1;1;0;0;2;0;0;0;0;2;0;1;0;1;0;9;0;1;0;1;0;1
;;8;de Vreede, T.A.L.;40;2;1;0;4;0;1;1;1;3;0;0;4;7;7;0;1;0;1;2;0;0;2;1;2
;;9;Buitenhek, J.K.;14;0;2;1;0;0;0;0;0;0;0;0;2;1;0;0;3;0;2;0;0;1;1;0;1
;;10;Schut, M.J.;46;3;2;3;1;0;0;0;0;4;0;2;6;3;4;0;2;0;6;1;0;5;0;1;3
;;11;Pellekooren, D.;13;1;0;0;0;0;0;0;0;3;2;0;1;1;0;0;0;0;3;0;0;0;0;0;2
;;12;Hijkoop, D.T.J.;46;4;7;5;2;0;1;0;0;2;0;1;3;2;2;0;2;1;3;1;0;0;5;1;4
;;13;Soonius, G.A.;12;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;6;0;0
;;14;van der Vis, P.;54;3;1;4;6;1;0;4;0;6;6;0;0;1;10;1;1;2;6;0;0;2;0;0;0
3;CDA;;;2268;117;167;109;112;66;79;77;120;167;57;86;69;81;166;37;60;18;112;104;65;103;144;53;99
;;1;Prins-van den Boomgaard, B.;857;34;29;36;39;26;38;34;69;71;28;36;28;27;56;16;26;2;38;38;28;42;61;21;34
;;2;Schwiebbe, F.J.M.;713;41;98;36;37;23;15;21;30;45;11;27;24;27;37;14;19;7;23;37;16;28;48;18;31
;;3;Besuijen, P.A.;83;0;3;0;5;1;2;0;2;7;3;3;0;10;18;1;1;0;2;4;0;10;4;0;7
;;4;Sattaur, R.H.;96;8;13;5;2;4;0;0;5;7;5;4;5;1;4;0;0;2;11;5;1;1;8;4;1
;;5;Mnatzakanian, A.;39;2;9;5;0;2;2;0;2;0;0;1;1;1;6;0;0;0;4;2;0;1;1;0;0
