Verkiezing;;Gemeenteraad Zoeterwoude 2022;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;
Gebied;;Gemeente Zoeterwoude;;;;;;;;;;;;;
Nummer;;0638;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Clubhuis Scouting;De Klaverhal;Muziekcentrum;Buurthuis De Weipoort;De Eendenkooi;Goede Herderkerk;Gemeentelijk Stem Bureau;De Eendenkooi maandag 14-03-2022;De Eendenkooi dinsdag 15-03-2022;De Klaverhal maandag 14-03-2022;De Klaverhal dinsdag 15-03-2022
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11
Postcode;;;;;2381 GE;2381 BZ;2381 AN;2381 NJ;2382 EG;2382 AS;;2382 AA;2382 AD;2381 AD;2381 BZ
;opgeroepenen;;;7509;1401;1691;1295;394;1451;1277;0;0;0;0;0
;geldige stempas;;;3908;599;1014;0;270;545;338;0;182;268;313;379
;geldig volmachtbewijs;;;379;69;103;0;27;49;35;0;15;22;24;35
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;4287;668;1117;0;297;594;373;0;197;290;337;414
;geldige stembiljetten;;;4250;659;1107;0;296;585;372;0;197;289;334;411
;blanco stembiljetten;;;27;8;7;0;0;6;1;0;0;0;2;3
;ongeldige stembiljetten;;;9;1;2;0;1;3;0;0;0;1;1;0
;aangetroffen stembiljetten;;;4286;668;1116;0;297;594;373;0;197;290;337;414
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;1;0;1;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;1;0;1;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0
1;Progressief Zoeterwoude (PZ);;;1697;261;368;0;56;306;208;0;89;151;125;133
;;1;van der Poel, M.J.;948;130;204;0;27;190;100;0;54;97;72;74
;;2;Goossen, K.P.;89;16;26;0;5;17;4;0;3;5;8;5
;;3;Oppe, M.;196;30;55;0;13;26;25;0;12;12;8;15
;;4;van Es, M.;132;7;10;0;1;31;47;0;13;16;4;3
;;5;Valk, J.M.;39;12;5;0;0;7;0;0;1;5;4;5
;;6;Rietdijk, C.H.;111;37;19;0;5;8;9;0;0;6;14;13
;;7;Agema, J.A.;14;1;8;0;0;3;0;0;0;2;0;0
;;8;Hendrikx, G.D.D.;14;0;2;0;0;8;3;0;1;0;0;0
;;9;Beekhuizen, J.D.;18;7;2;0;0;0;3;0;1;0;0;5
;;10;van der Laan, Y.J.M.;48;7;11;0;3;6;9;0;1;2;2;7
;;11;Pannebakker, M.C.J.;37;3;15;0;1;4;6;0;1;2;2;3
