Verkiezing;;Gemeenteraad Zuidplas 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Zuidplas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1892;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Gemeentehuis;Stembureau De Batavier;Stembureau Comenius College;Stembureau Essehof (aula);Stembureau Elim School;Stembureau Ringvaartkerk (voorheen de Bron);Stembureau Walk in Dorrestein;Stembureau Walk In Esse;Stembureau De Vierkap (Oud Verlaat);Stembureau Hervormd Centrum;Stembureau Drive in (lLa Baraque);Stembureau Christelijke basisschool de Eendragt;Stembureau Dorpshuis Swanla  (Catgeszaal);Stembureau Leontienhuis;Stembureau Zorgcentrum  Beth-San;Stembureau Dorpshuis  Op Moer;Stembureau Westhage (aula);Stembureau Brede School het Turfhuis ingang St Jozef;Stembureau Voetbalvereniging Moordrecht;Stembureau Vivere Verzorgd Wonen ingang dijk;Stembureau Moordrechtse IJsvereniging;Stembureau JWF gebouw;Stembureau Gemeentehuis 14 maart;Stembureau Swanla 14 maart;Stembureau Op Moer 14 maart;Stembureau Voetbalvereniging Moordrecht 14 maart;Stembureau Gemeentehuis 15 maart;Stembureau Swanla 15 maart;Stembureau Op Moer 15 maart;Stembureau Voetbalvereniging Moordrecht 15 maart
Gebiednummer;;;;;1;2;3;4;6;8;13;14;15;16;17;18;19;20;21;22;25;31;32;33;34;35;1401;1419;1422;1432;1501;1519;1522;1532
Postcode;;;;;2914 KM;2912 SG;2914 PN;2911 CB;2912 VK;2914 VJ;;2911 RG;2761 DT;2761 AJ;2761 JL;2761 VL;2761 BJ;2761 JK;2751 EE;2751 AW;2751 CP;2841 LN;2841 EB;2841 BN;2841 BB;2841 TK;2914 KM;2761 BJ;2751 AW;2841 EB;2914 KM;2761 BJ;2751 AW;2841 EB
;opgeroepenen;;;35497;1624;1613;1613;1613;1613;1613;1613;1613;1613;1613;1613;1613;1613;1613;1613;1613;1613;1613;1613;1613;1613;1613;0;0;0;0;0;0;0;0
;geldige stempas;;;15918;1366;494;635;415;275;887;1360;553;169;551;340;255;798;183;381;843;164;640;587;444;490;88;891;277;208;337;1107;436;357;387
;geldig volmachtbewijs;;;2073;213;71;81;79;35;110;186;80;22;71;55;26;90;34;64;142;31;0;86;54;69;12;102;30;28;40;112;50;50;50
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;17991;1579;565;716;494;310;997;1546;633;191;622;395;281;888;217;445;985;195;640;673;498;559;100;993;307;236;377;1219;486;407;437
;geldige stembiljetten;;;17875;1558;562;714;484;308;991;1534;629;191;619;391;279;883;216;441;983;195;638;669;495;556;96;986;305;236;373;1218;484;407;434
;blanco stembiljetten;;;66;14;2;1;7;0;4;5;1;0;2;1;2;2;0;1;1;0;2;2;3;0;3;5;0;0;3;0;1;0;4
;ongeldige stembiljetten;;;53;7;1;1;3;2;2;7;3;0;1;3;0;3;1;3;1;0;2;2;0;3;1;2;2;0;1;1;1;0;0
