Verkiezing;;Gemeenteraad Borsele 2022;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Borsele;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0654;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Heinkenszand, De Stenge;Stembureau Heinkenszand, Dijkstede;Stembureau Lewedorp;Stembureau Nieuwdorp;Stembureau 's-Heerenhoek;Stembureau Borssele;Stembureau Driewegen;Stembureau Ellewoutsdijk;Stembureau Ovezande;Stembureau Oudelande;Stembureau Baarland;Stembureau Hoedekenskerke;Stembureau Kwadendamme;Stembureau Nisse;Stembureau 's-Heer Abtskerke;Stembureau 's-Gravenpolder, Dorpshuis;Stembureau 's-Gravenpolder, De Zwake;Stembureau Heinkenszand, De Stenge (maandag);Stembureau Heinkenszand, De Stenge (dinsdag);Stembureau 's-Gravenpolder, Dorpshuis (maandag);Stembureau 's-Gravenpolder, Dorpshuis (dinsdag)
Gebiednummer;;;;;1;3;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;30;31;32;33
Postcode;;;;;4451 CZ;4451 LA;4456 AL;4455 TL;4453 BE;4454 AS;4438 AH;4437 AE;4441 AE;4436 AC;4435 AD;4433 AL;4434 AC;4443 AE;4444 AG;4431 BP;4431 EP;4451 CZ;4451 CZ;4431 BP;4431 BP
;opgeroepenen;;;18187;2249;2196;1455;951;1606;1073;472;330;983;560;494;570;805;519;422;1715;1787;0;0;0;0
;geldige stempas;;;9512;863;601;649;469;687;573;243;159;520;285;270;317;470;326;233;753;777;352;454;218;293
;geldig volmachtbewijs;;;1387;111;87;74;82;106;116;34;19;74;33;29;38;0;30;25;154;159;52;56;44;64
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;10899;974;688;723;551;793;689;277;178;594;318;299;355;470;356;258;907;936;404;510;262;357
;geldige stembiljetten;;;10858;970;686;721;549;791;686;277;178;591;318;299;353;468;354;257;906;932;403;503;262;354
;blanco stembiljetten;;;19;0;0;1;0;1;1;0;0;3;0;0;1;1;0;0;0;2;1;5;0;3
;ongeldige stembiljetten;;;19;4;2;1;1;1;2;0;0;0;0;0;1;1;0;1;1;2;0;2;0;0
;aangetroffen stembiljetten;;;10896;974;688;723;550;793;689;277;178;594;318;299;355;470;354;258;907;936;404;510;262;357
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;3;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;3;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;SGP-ChristenUnie;;;2717;44;28;79;224;12;439;23;11;6;17;65;91;19;74;29;569;617;16;13;133;208
;;1;Weststrate, C.;1717;22;11;49;162;10;323;10;3;3;14;29;46;7;51;12;331;395;9;5;78;147
;;2;de Jong, B.;193;0;3;5;4;0;14;0;0;0;0;5;2;1;0;2;61;65;1;0;13;17
;;3;Verkuil, G.G.T.;113;5;5;3;11;1;4;8;2;1;1;0;17;2;1;5;14;18;2;5;4;4
;;4;Gunter, G.A.;104;3;0;5;25;1;22;3;0;0;0;7;0;2;7;3;14;8;1;0;3;0
;;5;Weststrate, C.;42;2;2;3;6;0;17;0;0;0;0;0;2;0;0;1;3;2;2;0;1;1
;;6;van Hartingsveldt, H.;51;1;1;0;0;0;0;0;0;0;0;1;6;1;0;0;20;16;0;0;4;1
;;7;van Vliet, J.C.IJ.;15;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;6;1;1;0;2;3
;;8;van den Bos, E.M.A.;20;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;2;8;0;0;2;4
;;9;de Kraker, A.J.;99;1;0;0;0;0;0;0;1;0;2;0;2;0;1;0;37;33;0;0;7;15
;;10;Adriaanse, C.;54;0;0;2;0;0;1;0;1;0;0;0;5;1;2;1;13;12;0;0;11;5
;;11;Nieuwenhuijse, A.P.;32;0;0;1;0;0;23;0;3;0;0;0;1;0;1;1;2;0;0;0;0;0
;;12;de Lange, P.M.;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;12;0;0;2;1
;;13;van Ginkel, J.J.;29;5;3;0;2;0;0;0;0;0;0;4;2;0;0;0;5;3;0;2;0;3
;;14;van der Hart, C.;41;0;0;0;2;0;1;2;0;0;0;15;6;0;0;0;7;7;0;0;0;1
;;15;de Visser, P.;13;1;0;6;4;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
;;16;Flipse, A.;9;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;4;0;0;0;0
;;17;Heijboer, I.L.;37;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;17;15;0;0;0;1
;;18;Krijger, J.M.;20;0;2;0;0;0;16;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;19;Wullschleger, J.G.;8;0;0;0;0;0;5;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1
;;20;Eckhardt, H.M.;9;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
;;21;Baan, G.J.;7;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
;;22;Jacobusse, M.;38;1;0;0;0;0;2;0;0;0;0;3;0;0;1;1;17;6;0;0;5;2
;;23;Hage, J.;3;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;van Damme, R.;45;1;1;0;0;0;3;0;0;0;0;1;1;5;9;0;12;9;0;0;1;2
2;CDA;;;2671;291;222;241;58;194;51;61;32;325;58;34;111;239;97;88;108;108;106;153;44;50
;;1;van de Plasse- Nagelkerke, M.C.J.;1131;109;113;89;40;87;31;19;11;30;21;12;25;173;58;22;54;50;66;78;26;17
;;2;Kampstra, N;309;82;59;14;4;6;2;0;0;2;2;6;1;10;14;9;16;17;18;32;6;9
;;3;van 't Westeinde, P.B.J.;92;19;9;6;2;5;2;2;0;3;4;0;1;1;2;19;0;2;3;8;0;4
;;4;Vermeulen, M;167;15;5;5;3;5;5;0;1;1;3;4;74;12;7;0;10;2;3;5;3;4
;;5;Koeleman, M.M.;30;2;0;5;1;3;0;0;0;0;0;4;1;0;2;2;3;1;0;2;1;3
;;6;Schenk, F.M.C.;469;13;7;15;4;8;2;37;17;282;16;4;6;19;7;4;7;4;7;6;1;3
;;7;Boogert, N.A.;53;3;2;0;0;0;1;0;0;0;1;0;0;1;1;27;3;8;0;0;4;2
;;8;Nelen, M.C.F.;29;8;8;2;0;4;0;0;1;0;0;0;0;0;0;0;0;0;4;2;0;0
;;9;van de Swaluw, A.P.J.;57;13;2;0;0;5;1;1;1;2;8;2;0;6;2;0;2;2;1;7;1;1
;;10;van Oosten, R.A.;30;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;14;0;0;2;4
