Verkiezing;;Gemeenteraad Goes 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Goes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0664;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;het Omnium;Bethelkerk;gymzaal de Krul;Wijkcentrum Jan Ligthart;Stadskantoor;de Zuidwester;Wijkcentrum de Spinne 1;Wooncentrum Erasmuspark;Wijkcentrum de Spinne 2;Wijkcentrum de Pit;'t Beest;Serviceflat de Horst;Amicitia, Kloetinge;het Wilhelminahuis, Wilhelminadorp;'t Katshuis, Kattendijke;De Griffioen, Wolphaartsdijk;Heer Hendrikhuis, s-Hr Hendrikskinderen;Heer Arendhuis, s-Hr Arendskerke;Ontmoetingskerk;Mobiele stembus 1 (wo 16-03);Mobiele stembus 2 (wo 16-03);het Omnium (ma 14-03);het Omnium (di 15-03);Wijkcentrum Jan Ligthart (ma 14-03);Wijkcentrum Jan Ligthart (di 15-03);Wijkcentrum de Pit (ma 14-03);Wijkcentrum de Pit (di 15-03);Stadskantoor (ma 15-03);Stadskantoor (di 15-03);Mobiele stembus 1 (ma 14-03);Mobiele stembus 1 (di 15-03);Mobiele stembus 2 (ma 14-03);Mobiele stembus 2 (di 15-03);Ontmoetingskerk (ma 14-03);Ontmoetingskerk (di 15-03)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;13;14;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
Postcode;;;;;4463 AB;4461 NZ;4461 JA;4461 NB;4462 GE;4461 ET;4463 CV;4463 XZ;4463 CV;4462 TL;4461 CS;4461 WZ;4481 AH;4475 AR;4474 AT;4471 BB;4472 AN;4458 BC;4462 RA;;;4463 AB;4463 AB;4461 NB;4461 NB;4462 TL;4462 TL;4461 GE;4461 GE;;;;;;4462 RA
;opgeroepenen;;;31869;1834;1350;1538;1414;1378;1959;1953;1627;1532;3051;1356;1204;2079;1444;450;1766;1063;1325;2720;826;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;14705;486;400;739;296;676;233;443;774;390;1109;625;680;804;584;229;847;495;588;519;22;182;309;351;142;156;350;432;330;400;165;221;101;215;176;236
;geldig volmachtbewijs;;;1870;65;38;87;48;98;36;50;94;49;160;68;87;116;66;31;123;70;79;89;5;24;39;57;17;17;29;33;29;55;25;24;8;14;17;23
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;16575;551;438;826;344;774;269;493;868;439;1269;693;767;920;650;260;970;565;667;608;27;206;348;408;159;173;379;465;359;455;190;245;109;229;193;259
;geldige stembiljetten;;;16507;545;438;821;343;764;269;492;864;435;1266;689;763;917;649;260;964;564;661;608;27;206;348;408;159;173;377;464;357;452;189;245;109;229;193;259
;blanco stembiljetten;;;46;4;0;4;2;6;0;1;3;4;3;3;1;2;1;0;3;1;4;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0
;ongeldige stembiljetten;;;23;2;0;1;0;4;0;0;1;0;1;1;2;1;0;0;2;1;2;0;0;0;0;0;0;0;2;1;1;1;0;0;0;0;0;0
;aangetroffen stembiljetten;;;16576;551;438;826;345;774;269;493;868;439;1270;693;766;920;650;260;969;566;667;608;27;206;348;408;159;173;379;465;359;455;190;245;109;229;193;259
;meer stembiljetten dan toegelaten kiezers;;;3;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;CDA;;;2675;86;53;153;41;106;46;59;149;63;195;75;124;172;105;39;142;94;129;142;1;29;56;52;23;18;73;64;52;66;26;54;22;59;49;58
;;1;de Goffau, J.;1428;34;28;98;18;54;13;27;87;41;103;34;80;97;65;14;64;50;52;71;1;17;33;31;8;8;42;37;26;31;21;34;12;39;31;27
;;2;van der Knaap, F.C.;84;4;1;1;0;7;1;4;2;2;12;2;6;3;6;1;3;0;3;4;0;0;1;0;0;1;3;4;0;2;0;3;1;2;4;1
