Verkiezing;;Gemeenteraad Veere 2022;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Veere;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0717;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Verenigingsgebouw het Akkoord;Stembureau Verenigingsgebouw de Spil;Stembureau Verenigingsgebouw Vrouwenpolder;Stembureau Verenigingsgebouw de Zandput;Stembureau Verenigingsgebouw Amicitia;Stembureau Dorpshuis Nimmerdor;Stembureau Verenigingsgebouw Ons Huis;Stembureau Sportcentrum de Couburg;Stembureau WoZoCo de Brouwerij;Stembureau MFA Onderdak;Stembureau MFA de Soute Schakel;Stembureau Gemeentehuis Domburg;Stembureau Sporthal de Halve Maan 1;Stembureau Sporthal de Halve Maan 2;Stembureau Sportzaal de Bellink;Stembureau Verenigingsgebouw Westkapelle Herrijst;Stembureau Sportcentrum de Couburg ma;Stembureau Gemeentehuis Domburg ma;Stembureau Sporthal de Halve Maan ma;Stembureau Sportcentrum de Couburg di;Stembureau Gemeentehuis Domburg di;Stembureau Sporthal de Halve Maan di;Stembureau Mobiel: Wkp Zout Veere;Stembureau Mobiel: Okp Dom
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
Postcode;;;;;4351 AS;4352 AH;4354 AD;4353 BA;4363 BC;4364 BL;4365 AH;4371 AZ;4371 EB;4373 DA;4374 BB;4357 ET;4356 BX;4356 BX;4361 CG;4361 AE;4371 AZ;4357 ET;4356 BX;4371 AZ;4357 ET;4356 BX;;
;opgeroepenen;;;17807;1361;430;865;1457;1088;1136;1037;1392;1418;721;1409;1239;1064;1020;1027;1143;0;0;0;0;0;0;0;0
;geldige stempas;;;11150;728;272;525;897;723;721;716;690;421;434;855;548;414;414;552;737;233;158;223;301;212;293;50;33
;geldig volmachtbewijs;;;1568;122;38;64;103;138;75;124;74;54;63;140;86;56;62;79;130;21;26;27;34;23;22;5;2
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;12718;850;310;589;1000;861;796;840;764;475;497;995;634;470;476;631;867;254;184;250;335;235;315;55;35
;geldige stembiljetten;;;12678;846;310;586;995;861;794;839;757;475;496;992;633;469;476;629;862;254;184;249;335;233;313;55;35
;blanco stembiljetten;;;17;2;0;0;3;0;2;1;0;0;1;1;1;1;0;0;3;0;0;1;0;1;0;0;0
;ongeldige stembiljetten;;;21;1;0;3;2;0;0;0;6;1;0;1;0;0;0;2;2;0;0;0;0;1;2;0;0
;aangetroffen stembiljetten;;;12716;849;310;589;1000;861;796;840;763;476;497;994;634;470;476;631;867;254;184;250;335;235;315;55;35
