Verkiezing;;Gemeenteraad Vlissingen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Vlissingen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0718;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Hal Stadhuis;Speelzaal lokaal De Combinatie;Bioscoop CineCity;Atrium  Zorgcentrum Ter Reede;Gymzaal basisschool Louise de Coligny;Lokaal Apostolisch Genootschap;Stichting ROAT;Het Bolwerk;Adventkerk;Lokaal wijkcentrum De Burgerij;Gymzaal Theo Thijssenschool;Activiteitencentrum De Kwikstaart;Lokaal Het Kroonjuweel;Kantine Korfbalvereniging Atlas;Van Duijvenvoorde Sportzaal;Gymzaal basisschool De Omnibus;Kantine VC Vlissingen;Aula Begraafplaats;Historische Kerk Oost-Souburg;Zorgcentrum Scheldehof;Uitvaartcentrum Overtoom Groen;v/m Bibliotheek 't Spui;Mobiel Stembureau;Hal Stadhuis;Hal Stadhuis;Lokaal Apostolisch Genootschap;Lokaal Apostolisch Genootschap;Stichting ROAT;Stichting ROAT;Historische Kerk Oost-Souburg;Historische Kerk Oost-Souburg
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
Postcode;;;;;4382 LG;4382 KB;4381 LZ;4382 CJ;4384 EV;4386 GZ;4385 AM;4386 EA;4386 AL;4384 HA;4384 PA;4388 KK;4388 MD;4389 TT;4388 VL;4385 HT;4383 VV;4388 NB;4388 AH;4381 EN;4382 XW;4381 HR;4382 MA;4382 LG;4382 LG;4386 GZ;4386 GZ;4385 AM;4385 AM;4388 AH;4388 AH
;opgeroepenen;;;36565;2566;2410;1786;1665;1673;1750;1324;1273;1366;1378;1390;1767;1387;433;1327;1881;1972;1732;1876;1901;2438;1270;0;0;0;0;0;0;0;0;0
;geldige stempas;;;14671;983;538;631;755;823;769;394;523;606;716;443;491;625;234;292;339;389;207;770;580;304;429;161;470;647;237;312;95;163;325;420
;geldig volmachtbewijs;;;1642;97;49;71;78;88;96;46;56;83;84;46;43;84;30;38;40;43;16;94;62;29;40;17;59;75;30;51;10;0;44;43
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;16313;1080;587;702;833;911;865;440;579;689;800;489;534;709;264;330;379;432;223;864;642;333;469;178;529;722;267;363;105;163;369;463
;geldige stembiljetten;;;16240;1071;579;699;830;910;864;439;579;686;797;489;530;707;264;330;376;431;223;856;642;331;465;174;527;715;267;363;104;163;367;462
;blanco stembiljetten;;;32;3;6;2;1;1;1;0;0;2;0;0;3;1;0;0;0;1;0;2;0;2;1;3;0;2;0;0;1;0;0;0
;ongeldige stembiljetten;;;41;6;2;1;2;0;0;1;0;1;3;0;1;1;0;0;4;0;0;5;0;0;3;1;2;5;0;0;0;0;2;1
;aangetroffen stembiljetten;;;16313;1080;587;702;833;911;865;440;579;689;800;489;534;709;264;330;380;432;223;863;642;333;469;178;529;722;267;363;105;163;369;463
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
