Verkiezing;;Gemeenteraad Altena 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Altena;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1959;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Zalencentrum het Verlaat;Kantine VV Almkerk;Hervormd Centrum De Ark;'t Buitenhoff Zalen & Partycentrum;Gerefomeerde Kerk De Hoeksteen;De Dussenaar;Dorpshuis Eethen;Dorpshuis Genderen;Het Brabantse Land;Steunpunt De Dotter;Gymzaal Basisschool de Bolderik;Dorpshuis Meeuwen;Tavenu;Kantine VV Altena;Gereformeerde Kerk Giessen-Rijswijk;Het Trefpunt ingang Ontmoetingskerk;De Koren-Aar;De Bolderik;Gemeentecentrum De Hoogt;Hervormd Centrum Veen;Dorpshuis Veen;MFA Vlechtwerk;Zorgcentrum Goezate;Buurthuis de Burcht (ingang via Hofje);Grote zaal Chr. Ger. kerk;Wooncomplex d'Altenaer;Sport en Cultureel centrum 't Rondeel (1);Sport en Cultureel centrum 't Rondeel (2);OVO Oudendijk;Voormalig gemeentehuis Aalburg;Hervormde Kerk Aalburg;Zorgplein Maaswaarden, Wijkestein;Zalencentrum het Verlaat;Sport en Cultureel centrum 't Rondeel;Steunpunt De Dotter;MFA Vlechtwerk;Dorpshuis Veen;Zalencentrum het Verlaat;Sport en Cultureel centrum 't Rondeel;Steunpunt De Dotter;MFA Vlechtwerk;Dorpshuis Veen
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;101;102;103;104;105;201;202;203;204;205
Postcode;;;;;4286 DB;4286 ES;4281 LH;4281 NX;4271 AN;4271 AX;4266 ER;4265 JG;4283 GM;4273 CG;4273 ET;4268 GJ;4255 HD;4255 GR;4284 EX;4254 CC;4254 AV;4254 EP;4288 JJ;4264 RH;4264 RN;4251 BZ;4251 VS;4251 BJ;4251 DG;4251 TW;4285 DE;4285 DE;4285 WL;4261 BE;4261 BL;4261 CW;4286 DB;4285 DE;4273 CG;4251 BZ;4264 RN;4286 DB;4285 DE;4273 CG;4251 BZ;4264 RN
;opgeroepenen;;;44987;1676;1348;1050;988;897;1152;1049;1381;1264;1702;1885;948;1542;1428;1507;1196;1665;1809;517;1511;1569;1855;1762;1659;1651;1765;1446;1277;1067;1490;1551;1380;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;21878;815;329;635;383;369;479;508;783;678;463;696;505;964;362;571;737;736;1054;300;581;577;664;781;372;682;670;638;370;260;863;694;667;249;260;165;268;118;339;393;201;482;217
;geldig volmachtbewijs;;;3454;134;46;83;64;48;64;72;114;86;66;103;80;132;54;74;110;96;0;53;117;142;176;161;79;163;131;89;48;38;163;115;106;32;40;19;70;34;30;32;31;114;45
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;25332;949;375;718;447;417;543;580;897;764;529;799;585;1096;416;645;847;832;1054;353;698;719;840;942;451;845;801;727;418;298;1026;809;773;281;300;184;338;152;369;425;232;596;262
;geldige stembiljetten;;;25266;947;375;717;447;417;542;579;895;761;528;796;581;1088;413;644;847;830;1052;352;696;719;840;941;450;845;800;725;416;298;1023;807;767;281;298;184;337;152;368;424;232;590;262
;blanco stembiljetten;;;26;0;0;0;0;0;0;0;2;1;1;2;3;4;2;0;0;1;1;0;0;0;0;0;1;0;0;2;0;0;1;0;4;0;0;0;0;0;1;0;0;0;0
;ongeldige stembiljetten;;;42;2;0;1;0;0;0;1;0;2;0;1;1;4;1;1;0;1;1;2;2;0;0;1;0;0;1;0;2;0;2;2;2;0;2;0;1;0;0;1;0;8;0
;aangetroffen stembiljetten;;;25334;949;375;718;447;417;542;580;897;764;529;799;585;1096;416;645;847;832;1054;354;698;719;840;942;451;845;801;727;418;298;1026;809;773;281;300;184;338;152;369;425;232;598;262
;meer stembiljetten dan toegelaten kiezers;;;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;minder stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;CDA;;;5850;327;144;245;188;98;125;177;421;164;89;148;137;506;182;147;190;175;197;112;82;90;86;124;54;120;117;119;89;52;194;165;141;104;55;47;40;26;118;66;55;89;45
;;1;van Vugt, R.J.;2001;89;27;154;122;38;42;27;37;72;17;22;52;53;11;73;89;76;95;50;48;50;36;46;27;49;49;66;51;26;59;48;57;24;30;12;20;18;25;40;11;39;24
;;2;Zaal-van der Steen, C.;615;150;77;5;6;2;5;2;4;15;4;5;11;17;3;8;11;18;16;13;2;1;8;18;6;21;19;11;7;5;4;5;5;51;4;3;2;0;58;2;2;9;0
;;3;Bouman, A.A.;556;8;3;3;18;0;3;36;345;2;1;0;15;3;2;12;0;0;2;4;4;8;0;1;0;1;1;0;0;1;23;21;19;2;2;1;1;2;3;1;2;0;6
;;4;Buchholtz, J.;164;4;2;2;3;24;38;5;5;1;1;3;2;3;2;4;5;15;8;2;1;0;2;2;0;2;0;6;0;4;6;2;2;0;0;1;0;0;3;0;1;3;0
;;5;van Breugel, O.A.;712;25;6;1;2;5;4;0;0;12;4;6;2;381;145;6;1;10;6;10;2;0;5;11;1;12;3;3;1;1;2;0;3;14;3;0;3;0;8;0;3;11;0
;;6;van Ooijen-van Breugel, N.G.;228;11;8;1;5;5;3;1;1;37;0;0;3;14;4;26;3;0;8;2;1;0;1;0;0;1;0;23;22;10;1;0;1;1;12;0;1;0;4;16;1;1;0
;;7;Roovers, A.A.W.M.;153;0;0;1;1;0;2;1;2;1;0;1;0;3;2;0;44;24;40;0;0;0;1;6;3;3;4;0;0;0;0;0;0;0;3;0;3;0;0;4;1;2;1
;;8;Vos, G.C.A.;222;13;4;1;2;15;15;86;11;0;5;5;38;0;3;0;0;0;0;1;1;0;0;3;0;5;0;3;0;0;1;0;1;0;0;2;0;0;7;0;0;0;0
;;9;Schipper-Heijmans, C.W.E.M.;206;0;0;0;0;2;1;1;0;0;42;85;2;4;0;2;0;0;1;0;0;2;1;2;0;0;3;0;0;0;1;0;0;0;0;25;0;0;0;1;31;0;0
;;10;Verdoorn, A.P.;221;0;0;1;0;3;1;9;0;0;0;0;1;0;0;0;0;0;0;0;1;7;0;1;0;1;3;0;0;0;74;67;46;0;0;0;0;2;0;0;0;0;4
;;11;Visser-Kieboom, J.;135;1;1;1;0;0;0;0;0;2;0;2;0;3;1;2;3;8;0;0;0;0;19;19;11;7;26;2;0;1;0;0;0;0;0;1;7;0;0;0;0;18;0
;;12;Pelle, J.P.;123;2;1;61;21;0;0;3;4;0;1;1;3;0;0;5;3;0;0;1;0;0;2;0;0;0;0;0;5;1;1;3;2;1;0;0;0;0;1;0;0;0;1
;;13;Boll, J.P.J.;46;1;2;2;0;2;2;2;1;0;0;0;3;1;0;0;1;1;0;1;4;2;0;0;0;0;0;0;0;1;10;8;2;0;0;0;0;0;0;0;0;0;0
;;14;van Haaften, G.J.;53;0;0;2;1;0;2;0;0;10;0;2;0;0;0;5;1;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0
;;15;Rentrop, K.D.;15;6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;2;0
;;16;Rousse, J.F.G.;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;5;3;1;10;4;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0
;;17;van Vliet, W.;37;0;0;2;2;0;0;0;0;5;0;0;0;0;0;1;0;3;0;0;4;5;0;0;0;1;0;0;0;0;2;4;0;0;0;0;0;3;0;0;0;0;5
;;18;van der Pluijm, P.G.;28;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;6;10;7;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
