Verkiezing;;Gemeenteraad Bergeijk 2022;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;
Gebied;;Gemeente Bergeijk;;;;;;;;;;;;;;
Nummer;;1724;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Gymzaal de Zonnesteen;Buurthuis Samen 't Loo;Buurthuis 't Sant;Sporthal De Drie Eiken;Ontmoetingscentrum De Buitengaander;Gemeenschapscentrum Den Eijkholt;Gemeenschapshuis De Rietstek;Gemeentehuis;Gemeenschapscentrum Den Eijkholt;Gemeentehuis;Gemeenschapshuis De Rietstek
Gebiednummer;;;;;1;2;3;4;5;6;7;8;20;21;22;23
Postcode;;;;;5571 HB;5571 HS;5571 KW;5571 XJ;5571 EJ;5563 BC;5575 BG;5561 AC;5571 HB;5575 BG;5571 HB;5561 AC
;opgeroepenen;;;15496;2610;2402;1426;582;2143;1727;2548;2058;0;0;0;0
;geldige stempas;;;7801;1309;140;617;307;820;814;975;752;608;317;778;364
;geldig volmachtbewijs;;;1089;201;17;93;43;107;139;123;120;63;43;92;48
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;8890;1510;157;710;350;927;953;1098;872;671;360;870;412
;geldige stembiljetten;;;8853;1507;157;708;348;923;947;1095;868;667;359;865;409
;blanco stembiljetten;;;23;1;0;1;2;3;3;3;5;3;0;2;0
;ongeldige stembiljetten;;;12;0;0;1;0;1;3;0;0;1;0;3;3
;aangetroffen stembiljetten;;;8888;1508;157;710;350;927;953;1098;873;671;359;870;412
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;1;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;3;2;0;0;0;0;0;0;0;0;1;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;1;1;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;1;1;0;0;0;0;0;0;0;0;0;0;0
1;CDA;;;3594;580;67;357;189;351;371;556;287;250;144;317;125
;;1;Luijten, S.C.A.;1379;285;39;87;36;191;97;166;65;157;55;171;30
;;2;Wijnen-Koenen, L.J.J.M.;151;26;4;54;5;17;3;5;7;7;5;17;1
;;3;Groenen, B.A.;108;13;2;48;5;9;0;10;3;6;3;8;1
;;4;van Hoof, P.C.H.J.;64;21;3;5;2;11;0;4;0;4;0;13;1
;;5;Aarts, W.P.M.;100;28;1;5;2;14;6;4;0;15;1;24;0
;;6;Couturier-van Beek, T.B.M.;178;4;0;3;0;2;158;1;1;1;3;3;2
;;7;Groenen, R.F.H.;116;6;2;0;0;3;0;78;0;0;27;0;0
;;8;Heesters, M.P.J.L.;170;25;2;24;59;16;2;21;1;4;4;10;2
;;9;van Riemsdijk, M.C.S.;91;28;3;3;2;20;1;3;3;10;2;16;0
;;10;van Beek, M.C.W.;141;5;0;0;11;5;4;0;66;2;0;2;46
;;11;van Hout-Roest, C.C.J.;146;11;2;7;2;5;0;93;0;5;19;2;0
;;12;Vosters, B.A.J.;91;6;0;9;4;1;5;52;0;0;9;3;2
;;13;van Montfort-van Ekert, E.H.F.M.;55;10;1;16;4;9;4;2;1;2;0;6;0
;;14;Stultiens, M.L.G.;55;1;0;2;0;0;0;0;31;2;0;0;19
;;15;Pasmans, F.C.J.;57;18;2;8;0;7;0;1;1;14;0;6;0
;;16;Poldervaart, B.B.H.;12;5;0;0;0;3;0;0;0;2;0;2;0
;;17;van Dommelen, J.N.H.;183;5;1;19;15;4;16;22;70;3;5;7;16
;;18;van Heeswijk, M.H.E.;45;16;0;6;3;6;0;10;0;2;1;1;0
;;19;D'Haens, A.P.;28;5;0;1;17;2;0;1;0;0;1;1;0
;;20;Kwinten, F.J.C.C.;73;2;0;0;2;2;59;6;1;0;0;1;0
;;21;Peeters, S.F.E.;20;3;0;0;0;0;2;13;1;0;1;0;0
;;22;Jansen-van Ham, I.M.F.A.;25;2;0;0;19;2;0;1;0;1;0;0;0
;;23;van der Mierden, G.H.W.P.J.;55;5;1;0;0;2;5;4;33;0;0;0;5
;;24;Sengers, H.C.J.H.;45;3;0;7;0;3;2;27;0;1;2;0;0
;;25;Kuijken, M.M.;206;47;4;53;1;17;7;32;3;12;6;24;0
2;Lokale Partij Bergeijk;;;2345;353;32;175;85;188;301;375;192;166;161;211;106
;;1;Verhoeven, M.J.;1168;179;12;107;41;98;67;256;58;86;121;105;38
;;2;van den Putte - Verrijt, A.;239;57;9;21;10;34;19;3;6;34;3;39;4
;;3;van der Hout, A.J.;56;26;1;3;0;9;1;0;1;3;5;7;0
;;4;van Beek, J.J.C.;129;5;2;3;1;2;100;0;0;2;1;9;4
;;5;Geldens, J.;29;7;0;1;5;1;1;11;0;0;1;2;0
;;6;van Hulsel, T.G.M.H.;98;13;0;3;1;7;56;2;5;1;0;8;2
;;7;van Poppel, A.M.M.;96;4;0;2;0;0;0;0;43;5;2;5;35
;;8;Kaptheijns, J.J.H.;61;11;3;1;2;11;13;8;0;6;1;4;1
;;9;Kirkels, J.H.M.M.;27;6;0;0;1;1;14;1;3;0;0;1;0
;;10;Cremers, J.C.J.;30;2;0;0;0;1;3;0;23;0;0;0;1
;;11;van Beijsterveld - van Gerwen, E.M.M.;34;8;0;4;2;2;8;1;0;3;0;6;0
;;12;van der Hout, C.;21;1;0;0;1;2;1;10;0;3;1;2;0
;;13;Antonis, G.J.;17;3;0;3;1;0;1;5;3;0;1;0;0
;;14;van Eijndhoven, M.A.E.J.;42;2;0;0;0;0;2;1;20;2;0;1;14
;;15;Verhoeven, S.A.J.;26;3;0;4;0;1;0;12;0;0;5;1;0
;;16;Antonis, G.P.F.;47;0;1;4;2;0;5;0;23;4;0;2;6
;;17;Wagemans, S.C.G.;225;26;4;19;18;19;10;65;7;17;20;19;1
3;GROENLINKS / Partij van de Arbeid;;;1738;352;34;86;40;229;193;90;172;171;44;220;107
;;1;Sonnenberg, T.;521;104;18;33;20;73;32;22;32;70;20;68;29
;;2;Froentjes, I.;273;32;1;15;3;39;26;9;59;22;4;22;41
;;3;van Hees, M.F.M.;78;19;0;3;1;16;2;3;4;14;1;13;2
;;4;van Onna, E.;96;27;1;5;1;8;9;15;0;9;7;10;4
;;5;Vermeulen, G.C.J.M.;41;1;0;0;0;0;1;1;26;1;0;0;11
;;6;Bessems, J.G.M.;25;1;0;1;0;0;5;0;14;0;0;1;3
;;7;Nieuwenhuizen, B.;28;4;0;1;2;1;1;8;1;4;2;4;0
;;8;Voets, C.W.;48;13;3;1;0;7;0;0;11;2;0;5;6
;;9;Lohman-Verrijt, I.G.A.;73;4;0;1;0;8;44;3;3;2;0;5;3
;;10;Kaptheijns, B.T.M.;54;1;1;2;0;3;40;0;3;0;0;3;1
;;11;Cox, J.J.C.;45;18;1;2;0;7;0;3;0;4;0;9;1
;;12;van Weert, C.H.;29;8;0;2;0;4;9;2;1;1;0;2;0
;;13;Kleemans, S.;29;8;0;2;2;4;2;0;2;0;0;9;0
;;14;Theuws, K.P.H.;32;13;0;1;3;4;0;2;1;1;0;7;0
;;15;Sengers, S.M.H.;50;13;1;2;1;20;1;1;1;4;0;6;0
;;16;Theus, B.;18;8;2;2;0;3;0;0;0;1;0;2;0
;;17;van Wezel, H.;11;0;0;1;0;0;1;6;1;0;2;0;0
;;18;Donders, M.P.;27;4;0;4;0;0;0;3;8;2;0;4;2
;;19;van Veen, G.N.A.;1;0;0;0;0;0;0;0;0;0;0;0;1
;;20;Veen-Brom, A.J.A.M.;5;0;2;1;0;0;0;0;2;0;0;0;0
;;21;Willems-Geboers, M.G.W.;29;18;0;0;0;2;0;0;0;3;0;6;0
;;22;van Dorst, A.F.R.;5;0;0;0;1;0;0;4;0;0;0;0;0
;;23;Tils, M.J.B.;8;0;0;0;0;0;0;2;0;0;5;1;0
;;24;Boudewijns, M.W.E.;10;2;0;0;0;3;0;0;0;2;0;3;0
;;25;Eden, M.;1;0;0;0;1;0;0;0;0;0;0;0;0
;;26;Rodrigues de Miranda, F.P.J.;5;1;0;0;1;0;0;1;0;0;1;0;1
;;27;Van den Berghe, C.G.M.;5;0;0;0;0;0;1;0;0;1;0;3;0
;;28;Godschalk, C.J.C.M.;9;4;0;0;0;1;0;0;0;3;0;1;0
;;29;Sesink, J.G.C.M.;12;6;0;1;2;2;0;0;0;1;0;0;0
;;30;Timmerman, J.W.M.S.;11;0;0;1;0;7;1;0;0;2;0;0;0
;;31;van Baalen, C.M.J.;5;3;0;0;0;0;0;0;0;2;0;0;0
;;32;Ruwe, F.J.L.;6;2;0;0;0;2;1;0;0;1;0;0;0
;;33;Tils, J.M.M.;21;8;0;0;0;2;0;2;1;4;2;1;1
;;34;Rombouts, W.S.H.M.;127;30;4;5;2;13;17;3;2;15;0;35;1
4;VVD;;;1176;222;24;90;34;155;82;74;217;80;10;117;71
;;1;Jansen, T.M.A.;503;114;6;53;23;70;41;32;45;48;4;59;8
;;2;Bergmans, H.C.J.;160;23;2;9;4;12;11;5;47;9;0;12;26
;;3;Das, R.W.J.P.;176;10;1;3;4;7;3;5;105;6;0;1;31
;;4;Hurkmans, A.A.G.;155;37;10;17;1;37;14;3;2;2;0;29;3
;;5;van Dalen, M.W.;52;9;1;1;0;15;3;4;4;4;0;11;0
;;6;Kuijken, P.M.A.;53;6;2;2;2;1;5;23;2;3;5;1;1
;;7;de Kloe, J.G.;3;0;0;0;0;1;0;0;2;0;0;0;0
;;8;Martens, F.H.J.;6;1;0;0;0;0;1;2;1;0;1;0;0
;;9;Engelman, F.E.;7;4;0;0;0;1;0;0;0;2;0;0;0
;;10;van Beek, W.T.;26;9;1;2;0;7;2;0;0;4;0;1;0
;;11;Oldenburg, M.;1;0;0;0;0;0;1;0;0;0;0;0;0
;;12;Theuws, M.;14;6;0;2;0;2;1;0;0;1;0;2;0
;;13;de Wit, M.A.A.;6;0;0;0;0;0;0;0;4;1;0;0;1
;;14;Smaling, H.J.M.;7;3;1;1;0;1;0;0;0;0;0;1;0
;;15;Portheine, P.;7;0;0;0;0;1;0;0;5;0;0;0;1
