Verkiezing;;Gemeenteraad Boekel 2022;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;
Gebied;;Gemeente Boekel;;;;;;;;;;;
Nummer;;0755;;;;;;;;;;;
;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis (16 maart);Zorgcentrum Sint Petrus;GGZ Huize Padua;Zalencentrum Nia Domo;Gemeenschapshuis De Horst;Sporthal De Burcht;Ontmoetingcentrum Boszicht;Gemeentehuis (14 maart);Gemeentehuis (15 maart)
Gebiednummer;;;;;1;2;3;4;5;6;7;9;10
Postcode;;;;;5427 AB;5427 AJ;5427 EM;5427 AB;5428 GL;5427 AM;5427 AN;5427 AB;5427 AB
;opgeroepenen;;;8864;1608;87;702;1546;1371;1779;1771;0;0
;geldige stempas;;;4153;803;51;227;548;726;547;591;250;410
;geldig volmachtbewijs;;;626;132;0;29;88;117;104;59;36;61
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;4779;935;51;256;636;843;651;650;286;471
;geldige stembiljetten;;;4746;925;49;253;633;838;649;648;283;468
;blanco stembiljetten;;;16;2;2;3;1;2;1;1;2;2
;ongeldige stembiljetten;;;17;8;0;0;2;3;1;1;1;1
;aangetroffen stembiljetten;;;4779;935;51;256;636;843;651;650;286;471
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0
1;CDA;;;1413;310;29;93;192;120;259;219;77;114
;;1;Tielemans, M.J.A.;535;97;9;39;75;31;81;110;39;54
;;2;Gruijters, R.M.;187;50;1;2;34;3;46;24;10;17
;;3;van Mensvoort-Penninx, G.W.M.;87;21;2;5;10;2;15;21;4;7
;;4;de Bruin, H.H.A.;64;27;0;4;3;5;12;8;1;4
;;5;van den Broek, M.A.T.;46;6;0;19;5;1;3;7;4;1
;;6;Cornelissen, M.J.C.G.;14;0;0;5;1;3;0;3;2;0
;;7;van den Broek, W.J.A.;50;10;2;2;2;2;18;7;4;3
;;8;Donkers, E.G.J.;75;21;0;3;15;4;17;11;1;3
;;9;van Sleeuwen, A.J.;30;2;0;3;3;17;4;1;0;0
;;10;Bevers, E.P.M.;9;4;0;0;0;1;1;1;1;1
;;11;van der Burgt, H.M.A.;27;4;0;2;4;2;8;6;0;1
;;12;van Schaick, P.G.W.;44;5;11;1;7;1;3;6;3;7
;;13;van den Elzen, P.J.G.;42;1;0;2;7;25;5;0;0;2
;;14;Melis-van den Boogaard, W.P.M.;5;1;0;0;2;0;2;0;0;0
;;15;Czlapa, M.L.;34;23;0;0;5;0;2;0;0;4
;;16;Rooijackers, T.T.P.J.;15;0;0;0;1;13;1;0;0;0
;;17;van Lankvelt, P.J.W.;15;7;0;0;2;2;2;2;0;0
;;18;van Grinsven, L.H.;29;3;0;0;9;3;8;5;0;1
;;19;Straatman, H.W.J.M;22;3;4;3;2;2;5;0;1;2
;;20;van Sleeuwen, J.A.;8;0;0;0;0;0;7;1;0;0
;;21;van der Horst, C.A.B.;9;0;0;0;0;3;3;3;0;0
;;22;Nijhuis, E.M.G.M.;8;2;0;0;1;0;5;0;0;0
;;23;Frenken, J.P.W.;4;0;0;0;0;0;0;0;3;1
;;24;van Sleeuwen-van Uden, A.C.M.;12;9;0;0;1;0;1;0;0;1
;;25;Tielemans, M.P.J.M.;13;1;0;2;1;0;6;1;1;1
;;26;Kuipers, J.J.A.;8;5;0;0;1;0;2;0;0;0
;;27;Verbruggen-Derks, W.M.;9;4;0;1;1;0;1;1;0;1
;;28;Hanenberg, J.R.M.;12;4;0;0;0;0;1;1;3;3
2;Gemeenschapsbelang Venhorst - Boekel;;;1333;193;3;51;125;586;108;99;68;100
;;1;van Eert- van de Ven, A.J.P.M.;676;83;0;24;53;333;44;52;44;43
;;2;Willems, H.A.J.;150;26;2;5;8;62;16;13;10;8
;;3;de Bruin, S.A.H.M.;116;30;1;6;26;7;16;8;4;18
;;4;van den Hoogen, L.A.;40;2;0;0;0;35;0;0;0;3
;;5;Jacobs, R.R.M.;17;5;0;1;5;0;2;3;0;1
;;6;Braam- van Son, J.M.;5;0;0;0;2;3;0;0;0;0
;;7;van den Elzen- van der Aa, J.M.M.;22;2;0;0;0;14;2;1;1;2
;;8;Kanters, K.M.J.;34;1;0;1;3;24;2;1;0;2
;;9;Strik - van Hout, L.;13;7;0;0;3;1;0;0;0;2
;;10;Rovers, T.A.M.;24;3;0;8;0;5;4;2;1;1
;;11;0omen- Meulenbroeks, J.P.A.E.;14;2;0;1;2;8;0;0;0;1
;;12;Gerrits, W.J.;33;2;0;0;2;26;0;1;0;2
;;13;Jacobs- Schaap, M.A.J.;14;3;0;0;4;1;1;4;0;1
;;14;Willems, M.I.M.;30;4;0;1;1;8;8;1;1;6
;;15;van Lieshout, A.P.B.;14;1;0;0;1;10;0;1;0;1
;;16;Maas, A.J.A.;13;0;0;0;2;10;1;0;0;0
;;17;van Alphen, H.G.M.;12;3;0;0;3;0;1;2;3;0
;;18;Kuipers, S.F.M.J.;18;6;0;3;2;0;2;5;0;0
;;19;Althuizen, M.L.G.;15;0;0;0;1;11;0;2;0;1
;;20;van Eert, A.J.A.;15;4;0;0;1;5;5;0;0;0
;;21;van der Heijden, L.A.M.B.;13;1;0;0;1;1;3;2;1;4
;;22;van de Wetering, M.P.J.;14;1;0;0;2;10;0;0;0;1
;;23;van Grinsven, J.M.;10;1;0;0;0;9;0;0;0;0
;;24;Vermeer- Vissers, M.H.M.M.;12;2;0;0;3;2;1;0;3;1
;;25;van Duijnhoven, J.M.;9;4;0;1;0;1;0;1;0;2
3;D.O.P.;;;1536;296;13;73;262;92;203;281;111;205
;;1;Kanters, M.G.W.;856;166;5;35;151;53;107;155;67;117
;;2;Jansen, G.L.C.W.;221;40;5;11;41;9;25;49;15;26
;;3;van der Kolk-Hegtermans, B.M.H.;58;14;1;4;5;1;9;10;7;7
;;4;Bos, J.R.M.;23;7;0;1;1;9;3;1;1;0
;;5;van Lanen, J.M.M.;36;5;0;4;5;1;2;7;4;8
;;6;Timmermans-van Lankveld, M.J.M.;20;1;0;0;4;0;6;4;0;5
;;7;van der Aa, H.J.M.;27;5;0;0;9;0;2;3;3;5
;;8;Röben, E.W.M.;48;9;0;6;9;0;11;8;1;4
;;9;Pepers, N.S.;9;3;0;0;0;2;2;1;1;0
;;10;van de Ven, G.;15;5;0;0;0;0;3;2;0;5
;;11;Leenders, R.H.F.;16;3;0;0;0;0;5;5;1;2
;;12;Franssen-van Berkel, J.G.M.;6;0;0;1;2;0;0;1;0;2
;;13;van Moorsel, J.C.P.J.;37;8;0;3;7;3;5;5;3;3
;;14;Kamyab Rad, F.;22;3;0;0;5;0;3;5;0;6
;;15;Reijnen-van Zutven, W.M.;17;1;0;2;5;1;5;1;2;0
;;16;Vogels, S.;11;3;0;0;1;2;1;4;0;0
;;17;van den Broek-Hotke, W.;9;2;0;0;1;0;0;4;1;1
;;18;Megens, J.H.G.;15;4;0;1;0;0;5;3;1;1
;;19;Smits-van der Burgt, A.J.J.M.;3;1;0;1;0;0;0;1;0;0
;;20;van Hoof, A.A.M.;3;0;1;0;0;0;0;1;0;1
;;21;van Alphen-van den Bosch, L.A.W.;12;4;0;3;0;0;1;2;0;2
;;22;Knuvers, C.G.C.;10;3;0;0;1;0;2;4;0;0
;;23;van der Heijden, H.L.L.;0;0;0;0;0;0;0;0;0;0
;;24;Verkuijlen, W.J.M.;3;0;0;1;2;0;0;0;0;0
;;25;van Soest, M.C.F.A.;3;1;0;0;0;0;0;1;0;1
;;26;Bullens, H.A.B.;5;1;0;0;1;0;0;2;1;0
;;27;Berkenbosch, C.Th.D.;1;0;0;0;1;0;0;0;0;0
;;28;Oerlemans, J.C.S.M.;4;0;0;0;2;0;0;0;0;2
;;29;van Boxtel-Arts, H.M.W.;12;3;0;0;4;0;3;0;0;2
;;30;Kanters, M.;4;0;0;0;2;0;1;1;0;0
;;31;Thijssen, P.M.H.;11;1;0;0;0;10;0;0;0;0
;;32;Heunks-van Uden, A.A.M.;19;3;1;0;3;1;2;1;3;5
4;VVD;;;464;126;4;36;54;40;79;49;27;49
;;1;Buijsse, M.R.G.;305;75;3;24;40;30;54;32;14;33
;;2;Dijcks, F.H.L.;10;3;0;0;2;0;1;2;1;1
;;3;Koolen, F.H.A.;27;13;1;1;2;0;3;2;2;3
;;4;Tielemans-Ewalts, S.G.;33;9;0;4;2;4;7;1;3;3
;;5;Bouman, M.J.;20;9;0;0;1;0;2;3;2;3
;;6;van Sleeuwen, D.J.P.;13;4;0;2;0;2;0;2;0;3
;;7;Rovers, T.M.M.;28;7;0;4;4;3;6;2;0;2
;;8;Tielemans, T.G.G.;3;1;0;0;0;0;0;1;1;0
;;9;Hartevelt, E.;5;1;0;0;0;0;0;2;2;0
;;10;van Goor, R.P.M.J.;5;0;0;0;1;0;3;1;0;0
;;11;Demuyt, F.R.G.;6;2;0;0;1;0;1;0;2;0
;;12;Dijcks-Mijland, N.;9;2;0;1;1;1;2;1;0;1
