Verkiezing;;Gemeenteraad Breda 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Breda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0758;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadhuis;Stembureau Zero-Point;Stembureau De Rooi Pannen;Stembureau Kerk van de Nazarener;Stembureau Basisschool De Singel;Stembureau Stadskantoor Gemeente Breda;Stembureau De Stilte;Stembureau Mezz;Stembureau Gymzaal Archimedesstraat;Stembureau Rudolf Steiner School;Stembureau Wijkcentrum Balieweide;Stembureau Leger des Heils;Stembureau Vrijwillig&Co;Stembureau Gymzaal BS Het Noorderlicht;Stembureau Curio Prinsentuin College;Stembureau Kindcentrum de Wisselaar;Stembureau Gemeenschapshuis De Biesdonk;Stembureau Curio Terheijdenseweg;Stembureau Belcrumhuis;Stembureau Podium Bloos;Stembureau NS Station Breda;Stembureau Gymzaal Elandstraat;Stembureau Michaëlkerk;Stembureau Poelewei;Stembureau Breda University of Applied Sciences;Stembureau Wijkcentrum 't Houwke;Stembureau Voormalig ABN AMRO gebouw;Stembureau OBS De Tweesprong;Stembureau Avans Hogeschool;Stembureau Sacramentskerk;Stembureau Buurthuis Toma;Stembureau Amphia Ziekenhuis Molengracht;Stembureau Gemeenschapshuis Mariëndal;Stembureau Dr. de Visserschool;Stembureau Clubhuis de Toss;Stembureau Careflex Zorgcampus;Stembureau Nieuwe Veste Bibliotheek Zuid;Stembureau Gymzaal Stoutenburgstraat;Stembureau Basisschool Laurentius;Stembureau Tennisvereniging De IJpelaar;Stembureau Scouting De Mokkenboom;Stembureau KBS Petrus en Paulus - gymzaal;Stembureau De Lichtboei;Stembureau Mencia de Mendoza Lyceum;Stembureau Hotel Mastbosch Breda;Stembureau Gymzaal Jan Nieuwenhuyzenstraat;Stembureau De Nieuwe Meidoorn;Stembureau Maczek Memorial Breda;Stembureau ANNAstede;Stembureau Incubator Breda;Stembureau Dansschool Salsa in Breda;Stembureau De Ruimte;Stembureau Huis van de Heuvel kerkgebouw;Stembureau Gemeenschapshuis Kievitslaar;Stembureau De Dobbelsteen;Stembureau SCC De Koe;Stembureau Café-Zalencentrum Het Witte Schaap;Stembureau Gemeenschapshuis Liesbosch;Stembureau Basisschool De Eerste Rith;Stembureau Drive-thru P5 NAC Stadion;Stembureau Buurthuis Gageldonk;Stembureau Tennis Vereniging Haagse Beemden;Stembureau Scouting Haagse Beemden;Stembureau Sportzaal Raaimoeren;Stembureau De Sleutel;Stembureau Sporthal Haagse Beemden;Stembureau Basisschool Burgst;Stembureau Wijkcentrum Heksenwiel;Stembureau SCC 't Kraaienest;Stembureau Gymzaal De Kroeten;Stembureau Gymzaal Twaalfbunder;Stembureau De Verbinding;Stembureau Willibrorduskerk;Stembureau Dorpshuis 't Web;Stembureau Park Zuiderhout;Stembureau Curio scala;Stembureau RKVV DIA;Stembureau Basisschool de Klokkebei;Stembureau SCC De Pekhoeve;Stembureau Dorpshuis 't Klooster;Stembureau Talentencentrum Bavel;Stembureau Sporthal De Huif;Stembureau Korenmolen De Hoop;Stembureau Stembureau parkeerterrein Kamvaren;Stembureau RK Kerk;Stembureau Het Kruispunt Prinsenbeek;Stembureau Café-Zaal 't Veehandelshuis;Stembureau Sportpark De Heikant;Stembureau De Drie Linden;Stembureau Scouting Thomas-More;Stembureau Mezz;Stembureau Gymzaal Archimedesstraat;Stembureau Gemeenschapshuis De Biesdonk;Stembureau Stadskantoor Gemeente Breda;Stembureau Breda University of Applied Sciences;Stembureau OBS De Tweesprong;Stembureau Sacramentskerk;Stembureau Gemeenschapshuis Mariëndal;Stembureau Gymzaal Stoutenburgstraat;Stembureau Scouting De Mokkenboom;Stembureau Hotel Mastbosch Breda;Stembureau De Nieuwe Meidoorn;Stembureau Huis van de Heuvel kerkgebouw;Stembureau SCC De Koe;Stembureau Sportzaal Raaimoeren;Stembureau Gymzaal Twaalfbunder;Stembureau RKVV DIA;Stembureau SCC De Pekhoeve;Stembureau Dorpshuis 't Klooster;Stembureau De Drie Linden;Stembureau Leger des Heils;Stembureau Mezz;Stembureau Gymzaal Archimedesstraat;Stembureau Gemeenschapshuis De Biesdonk;Stembureau Stadskantoor Gemeente Breda;Stembureau Breda University of Applied Sciences;Stembureau OBS De Tweesprong;Stembureau Sacramentskerk;Stembureau Gemeenschapshuis Mariëndal;Stembureau Gymzaal Stoutenburgstraat;Stembureau Scouting De Mokkenboom;Stembureau Hotel Mastbosch Breda;Stembureau De Nieuwe Meidoorn;Stembureau Huis van de Heuvel kerkgebouw;Stembureau SCC De Koe;Stembureau Sportzaal Raaimoeren;Stembureau Gymzaal Twaalfbunder;Stembureau RKVV DIA;Stembureau SCC De Pekhoeve;Stembureau Dorpshuis 't Klooster;Stembureau De Drie Linden;Stembureau Leger des Heils
Gebiednummer;;;;;1;2;3;4;5;6;7;8;51;52;53;54;55;56;57;58;59;60;61;62;63;102;103;104;105;106;107;108;110;111;112;140;150;151;152;153;154;155;156;157;201;202;203;204;205;206;252;253;254;255;256;257;258;259;260;261;263;264;265;266;301;302;303;304;305;306;307;308;309;310;311;312;351;352;354;355;356;401;402;451;452;453;454;455;501;502;503;504;505;506;601;602;603;604;605;606;607;608;609;610;611;612;613;614;615;616;617;618;619;620;621;701;702;703;704;705;706;707;708;709;710;711;712;713;714;715;716;717;718;719;720;721
Postcode;;;;;4811 XS;4811 CA;4811 TH;4811 LA;4811 SZ;4811 DJ;4811 KB;4811 HL;4816 BB;4816 AD;4816 GH;4827 GA;4827 KG;4827 CN;4816 KA;4826 AH;4826 KT;4826 AA;4815 BC;4815 CD;4811 BN;4817 DP;4817 EA;4817 JP;4817 JT;4817 RE;4817 ST;4817 NX;4818 CR;4818 GL;4817 AP;4818 CK;4835 JD;4835 LH;4834 CG;4834 AA;4834 TM;4834 LP;4835 EG;4834 KR;4819 BB;4819 HK;4819 EA;4837 CV;4837 BM;4818 RH;4814 KB;4812 XA;4814 GA;4812 EM;4814 GH;4813 GB;4812 JC;4838 EG;4813 GR;4813 HA;4814 TZ;4838 GT;4813 GM;4815 NC;4824 PP;4824 NB;4824 EW;4824 KA;4822 XM;4822 RK;4822 RS;4823 HA;4822 AT;4823 MH;4823 BJ;4822 ST;4847 AA;4847 KS;4847 DK;4847 EJ;4847 EJ;4851 BD;4851 CN;4854 CB;4854 CP;4854 AB;4854 AV;4854 GD;4841 AC;4841 VL;4841 BG;4841 EG;4841 NA;4841 LP;4811 HL;4816 BB;4826 KT;4811 DJ;4817 JT;4817 NX;4818 GL;4835 JD;4834 LP;4819 BB;4837 BM;4814 KB;4812 JC;4813 HA;4824 KA;4823 BJ;4847 EJ;4851 CN;4854 CB;4841 NA;4827 GA;4811 HL;4816 BB;4826 KT;4811 DJ;4817 JT;4817 NX;4818 GL;4835 JD;4834 LP;4819 BB;4837 BM;4814 KB;4812 JC;4813 HA;4824 KA;4823 BJ;4847 EJ;4851 CN;4854 CB;4841 NA;4827 GA
;opgeroepenen;;;148421;2051;1911;1103;1612;3182;2099;1875;1648;1352;650;1719;1342;1403;3081;408;3197;2804;1124;1878;339;1903;1410;1609;1154;2509;1623;1569;1116;2172;2796;869;0;864;2872;1574;1467;1626;1898;955;2447;2566;1391;1615;695;661;2249;2100;811;2101;3009;2250;1983;2731;578;1245;1475;3395;750;1590;0;1256;1507;2241;2175;1836;1019;1407;1197;1119;1697;2414;2433;1988;1143;1394;767;1433;2615;2008;1607;1440;989;816;1762;1730;1480;1945;1777;1352;1468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;63527;988;596;218;236;628;904;416;683;268;182;398;315;158;469;72;569;651;72;650;363;1068;171;504;595;799;754;241;502;221;1527;259;260;381;615;369;665;1062;762;805;908;573;787;331;231;407;468;535;381;582;464;147;309;887;397;510;885;818;248;452;397;727;303;674;298;429;442;497;696;885;575;341;282;1100;871;313;243;200;376;1019;752;483;223;426;600;778;267;893;653;597;464;489;180;261;335;306;261;416;346;459;291;216;220;291;430;268;251;319;387;400;576;170;624;190;309;489;406;352;683;403;547;354;280;395;429;518;339;360;396;529;569;749;214
;geldig volmachtbewijs;;;6906;59;43;13;16;46;81;29;55;19;20;38;35;11;75;11;78;102;6;63;30;56;15;33;72;66;62;33;63;16;203;34;43;49;99;38;68;130;95;118;101;62;94;20;35;45;58;64;40;53;46;8;23;87;36;57;107;114;33;40;32;67;41;63;42;39;60;51;106;105;68;35;26;121;97;36;36;24;62;142;94;65;24;53;72;94;20;111;84;85;70;39;22;31;29;16;22;45;37;27;18;26;27;46;40;30;28;33;46;49;59;23;45;17;37;43;32;39;72;53;60;23;30;36;54;52;31;39;40;67;62;73;37
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;70433;1047;639;231;252;674;985;445;738;287;202;436;350;169;544;83;647;753;78;713;393;1124;186;537;667;865;816;274;565;237;1730;293;303;430;714;407;733;1192;857;923;1009;635;881;351;266;452;526;599;421;635;510;155;332;974;433;567;992;932;281;492;429;794;344;737;340;468;502;548;802;990;643;376;308;1221;968;349;279;224;438;1161;846;548;247;479;672;872;287;1004;737;682;534;528;202;292;364;322;283;461;383;486;309;242;247;337;470;298;279;352;433;449;635;193;669;207;346;532;438;391;755;456;607;377;310;431;483;570;370;399;436;596;631;822;251
;geldige stembiljetten;;;70095;1031;637;227;250;669;977;445;735;277;201;429;349;168;539;83;643;747;78;709;393;1120;185;535;659;856;809;274;562;235;1722;293;303;429;709;406;732;1191;850;920;1003;635;877;349;266;452;525;594;419;630;509;154;331;968;433;567;987;929;282;490;429;793;343;733;338;465;499;545;794;983;639;374;308;1216;965;349;279;222;437;1150;840;546;245;477;670;869;287;1001;735;679;535;526;202;291;362;319;281;458;383;486;309;241;245;336;468;298;277;351;428;448;635;192;668;206;345;524;437;391;753;455;604;376;307;429;483;565;369;396;436;594;632;818;249
;blanco stembiljetten;;;198;10;3;0;2;5;5;0;2;6;0;5;1;1;2;0;2;0;0;1;0;4;0;3;3;6;3;0;3;2;3;0;0;1;2;1;1;2;5;2;7;0;4;1;0;0;1;1;1;5;1;0;1;4;0;0;1;1;0;2;1;1;0;3;1;1;1;3;4;5;2;1;0;3;3;0;0;1;1;4;5;1;1;2;1;3;0;3;1;3;0;1;0;0;0;1;0;0;0;0;0;1;0;1;2;0;0;0;3;0;0;0;0;0;0;5;0;0;0;0;2;1;0;1;0;2;1;3;0;1;0;0;2
;ongeldige stembiljetten;;;132;6;0;4;0;0;2;0;0;2;1;2;0;0;3;0;2;6;0;3;0;0;1;0;5;3;5;0;0;0;3;0;0;0;1;0;0;1;2;1;0;0;0;1;0;0;0;3;1;0;0;1;0;2;0;0;4;2;0;0;0;0;1;1;1;2;2;0;4;2;2;1;0;0;0;1;0;1;0;5;1;1;1;0;1;1;0;0;1;0;0;1;0;1;2;2;2;0;0;0;0;0;2;0;0;0;1;0;2;1;0;1;1;1;1;3;1;0;2;0;2;0;3;1;0;3;0;0;0;1;1;1;0
