Verkiezing;;Gemeenteraad Cranendonck 2022;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Cranendonck;;;;;;;;;;;;;;;;;;;
Nummer;;1706;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeenschapshuis De Borgh;Mobiel stembureau;Gemeenschapshuis Den Donck;Gemeenschapshuis De Reinder;Gemeenschapshuis De Schakel;De Smeltkroes;Gemeenschapshuis De Schaapskooi;Gemeentehuis Cranendonck;Ontmoetingscentrum Onze School;de Zuiderpoort;Stemstraat;Gemeentehuis Cranendonck;Gemeentehuis Cranendonck;Ontmoetingscentrum Onze School;Ontmoetingscentrum Onze School;de Zuiderpoort;de Zuiderpoort
Gebiednummer;;;;;1;2;5;6;7;8;10;11;12;13;14;1114;1115;1214;1215;1314;1315
Postcode;;;;;6021 CK;6021 XL;6027 PL;6023 AR;6024 AR;6026 ER;6028 SG;6021 CA;6026 CW;6021 KA;6024 AB;6021 CA;6021 CA;6026 CW;6026 CW;6021 KA;6021 KA
;opgeroepenen;;;16841;2108;0;1509;1787;1203;2066;882;3115;2147;2024;0;0;0;0;0;0;0
;geldige stempas;;;8099;954;28;842;681;391;644;381;895;661;553;140;258;490;337;432;160;252
;geldig volmachtbewijs;;;1112;117;2;114;95;67;105;72;102;85;98;16;34;62;31;44;25;43
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;9211;1071;30;956;776;458;749;453;997;746;651;156;292;552;368;476;185;295
;geldige stembiljetten;;;9166;1065;29;952;772;456;747;451;993;739;649;155;290;550;367;472;184;295
;blanco stembiljetten;;;27;4;0;2;1;1;0;2;3;7;1;0;2;1;0;3;0;0
;ongeldige stembiljetten;;;19;3;1;0;3;1;2;0;0;0;3;1;0;1;1;1;1;1
;aangetroffen stembiljetten;;;9212;1072;30;954;776;458;749;453;996;746;653;156;292;552;368;476;185;296
;meer stembiljetten dan toegelaten kiezers;;;4;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1
;minder stembiljetten dan toegelaten kiezers;;;3;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;6;1;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;1
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;CDA;;;2084;264;5;261;184;96;168;101;250;164;130;32;56;129;52;106;31;55
;;1;Kuppens, F.M.;686;120;5;74;46;18;37;32;120;22;46;5;29;64;17;14;10;27
;;2;Peeters, M.J.W.;62;3;0;1;44;0;0;0;6;0;3;2;2;1;0;0;0;0
;;3;Gimblett - van Weert, J.C.F.;195;4;0;3;1;3;53;0;4;52;4;0;4;2;16;49;0;0
;;4;Coenegracht, P.E.H.J.;118;5;0;2;8;69;0;0;5;2;6;9;0;8;0;2;0;2
;;5;Boelens, W.;71;9;0;2;0;0;16;0;5;12;6;2;1;4;1;11;0;2
;;6;Beelen, P.B.;59;18;0;0;0;0;0;0;13;0;4;2;5;6;0;0;5;6
;;7;van Lent - Peperkamp, S.R.;56;5;0;8;6;0;9;0;5;10;3;0;1;2;2;3;0;2
;;8;van Asten, D.P.H.;119;4;0;1;0;1;33;0;4;47;1;0;0;0;10;16;2;0
;;9;Piron, L.P.A.;94;15;0;2;28;3;3;2;8;0;11;6;4;1;1;1;4;5
;;10;van Happen, J.E.;124;6;0;76;3;1;3;5;8;7;2;2;1;2;0;3;3;2
;;11;Beerten, F.P.J.;182;37;0;28;21;1;9;10;30;2;18;2;2;14;1;0;3;4
;;12;Bakx - van Weert, F.G.W.;86;4;0;18;0;0;1;42;8;2;4;0;0;5;0;1;0;1
;;13;Hanash, W.;22;1;0;3;4;0;0;1;3;0;2;0;2;5;0;0;1;0
;;14;Kuppens, S.K.J.;79;12;0;11;10;0;1;3;12;0;10;2;3;8;3;2;1;1
;;15;Gerlings, H.P.;8;3;0;0;0;0;0;0;3;1;0;0;0;0;0;1;0;0
;;16;van der Heijden, A.G.W.M.;18;5;0;5;1;0;1;0;4;0;2;0;0;0;0;0;0;0
;;17;Teklenburg, J.J.M.;7;1;0;0;0;0;0;0;1;0;2;0;2;0;0;0;0;1
;;18;de Werdt, J.M.;33;3;0;18;0;0;0;3;3;0;2;0;0;1;0;1;2;0
;;19;Lenders, A.P.;6;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;2
;;20;Janssen, M.W.P.H.;12;1;0;0;10;0;0;0;0;0;1;0;0;0;0;0;0;0
;;21;Arts - van der Laan, P.K.;6;0;0;1;0;0;0;0;1;3;0;0;0;0;1;0;0;0
;;22;Quist, A.J.;4;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0
;;23;Roost, M.H.A.G.;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Swinkels - van Hoof, F.G.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Tummers, H.J.H.N.;5;0;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0
;;26;Duis, J.H.;4;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;27;van Meijl, A.A.H.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;28;Vorst, H.H.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;29;van der Weiden, A.;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;30;van Cranenbroek, P.M.E.;22;2;0;7;1;0;2;3;4;0;0;0;0;3;0;0;0;0
2;Pro6;;;1240;107;5;88;78;68;113;21;130;127;87;23;44;80;81;119;25;44
;;1;Kraaijvanger, B.H.P.;466;34;3;26;8;23;56;10;42;58;28;2;20;36;36;53;13;18
;;2;van de Burgt-Briels, A.M.W.;147;21;0;16;10;22;8;2;13;7;12;5;3;3;7;8;4;6
;;3;Kuppens, K.J.W.;58;6;1;0;32;4;0;0;3;3;1;1;1;3;0;0;0;3
;;4;Aarts, W.P.M.;130;13;1;11;0;4;1;2;43;2;8;0;8;23;1;6;4;3
;;5;Arboleda, J.M.;60;6;0;1;3;2;4;4;7;4;9;4;4;3;3;1;0;5
;;6;van Buul, Y.;65;13;0;4;7;1;2;1;6;3;18;1;0;2;0;0;1;6
;;7;van de Burgt, S.;28;4;0;20;3;0;1;0;0;0;0;0;0;0;0;0;0;0
;;8;Houthuijzen-de Boone, W.H.;22;0;0;3;0;2;2;0;3;1;1;5;4;1;0;0;0;0
;;9;van der Wiel, F.F.M.;33;5;0;1;3;0;0;0;4;1;3;0;3;9;2;2;0;0
;;10;van Velzen, B.;30;1;0;0;2;9;5;0;2;2;0;5;0;0;2;2;0;0
;;11;Rijnbeek, A.G.;51;0;0;1;0;0;15;0;1;9;0;0;0;0;8;17;0;0
;;12;van Lint, H.G.M.;2;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
;;13;Bracke, P.F.W.;11;0;0;0;7;0;0;1;0;1;0;0;0;0;0;0;2;0
;;14;Kraaijvanger, A.H.M.;14;0;0;0;0;1;4;0;0;5;0;0;0;0;2;1;0;1
;;15;Snel, R.;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;16;Durand, J.A.;15;0;0;0;0;0;1;0;1;6;0;0;0;0;4;2;1;0
;;17;van Gijzel, W.;7;0;0;0;0;0;1;1;0;2;1;0;0;0;1;1;0;0
;;18;van der Meulen, J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;19;van Gijzel-van Keulen, G.;13;0;0;1;0;0;2;0;0;4;1;0;0;0;2;3;0;0
;;20;Beenackers-van Poppel, M.C.G.;85;4;0;3;3;0;10;0;5;18;5;0;0;0;12;23;0;2
3;ELAN;;;3236;415;5;424;370;165;170;265;317;156;240;52;102;191;83;93;68;120
;;1;van Rooij, C.M.P.M.;1019;123;1;32;161;79;53;16;136;50;93;22;47;81;17;25;35;48
;;2;Thijssen, I.M.D.;338;44;2;12;25;4;43;5;34;40;28;2;12;18;23;32;2;12
;;3;Rijkers, G.F.;162;41;0;5;3;6;14;5;21;11;17;5;6;19;1;2;1;5
;;4;Beliën, M.F.;238;24;0;49;4;1;10;91;18;2;7;6;3;7;2;4;3;7
;;5;Umans, J.L.J.;322;25;0;215;13;0;8;9;15;5;12;1;5;4;5;1;1;3
;;6;Langers - Jansen, M.P.C.;146;14;0;12;16;2;2;66;8;4;7;0;3;6;2;0;0;4
;;7;Kees, V.J.;18;2;0;1;8;0;2;0;2;0;0;0;1;0;0;0;1;1
;;8;Bruggink-van der Steen, L.;121;12;0;0;66;8;0;1;5;4;10;2;2;3;1;0;5;2
;;9;Beerten, P.J.;261;45;0;33;16;9;3;40;23;1;28;2;13;15;5;1;8;19
;;10;Strik, F.W.P.;157;19;0;49;10;2;9;0;14;4;15;0;1;16;7;0;6;5
;;11;Derks, J.P.;27;9;0;3;4;0;1;3;1;0;1;0;1;2;0;2;0;0
;;12;Michiels, J.M.G.;23;9;0;0;1;0;0;0;5;0;5;0;1;2;0;0;0;0
;;13;Rademaekers, J.S.;58;2;0;0;3;35;0;0;1;0;2;9;1;3;0;0;1;1
;;14;Verbakel, J.M.L.;65;0;0;0;0;0;14;0;0;18;0;0;0;0;17;16;0;0
;;15;Slenders, B.G.P.;63;16;0;5;2;2;0;14;4;6;3;0;4;4;0;1;0;2
;;16;Jansen, B.E.F.P.;31;6;0;1;4;1;0;1;7;0;1;2;0;1;0;0;2;5
;;17;van Rooij, D.J.J.;30;4;0;1;8;1;0;3;7;0;1;0;1;2;0;2;0;0
;;18;van der Kampen, C.J.J.M.;23;10;0;0;3;0;2;0;3;0;2;0;0;2;0;0;0;1
;;19;Kuppens, A.H.M.M.;24;1;0;0;12;1;1;0;2;0;1;0;0;2;0;0;2;2
;;20;Daems, M.M.;12;3;0;0;0;3;1;0;4;0;0;0;0;0;0;0;0;1
;;21;Dirks, C.J.;14;0;0;2;0;8;0;0;0;0;1;1;0;1;0;1;0;0
;;22;Kissen, G.A.J.;12;0;0;0;9;2;0;0;0;0;0;0;0;1;0;0;0;0
;;23;Saanen, J.L.R.M.;20;4;1;1;0;1;1;0;3;0;4;0;1;2;0;0;0;2
;;24;Claes, F.J.;22;2;0;1;0;0;1;11;4;0;2;0;0;0;0;1;0;0
;;25;van Hees, G.P.;30;0;1;2;2;0;5;0;0;11;0;0;0;0;3;5;1;0
4;Cranendonck Actief!;;;1465;137;9;130;74;54;173;38;123;181;89;24;53;89;111;108;31;41
;;1;van Laarhoven, K.B.E.;425;64;4;26;28;13;20;18;65;18;42;9;24;38;13;11;15;17
;;2;Morgan, D.;141;11;0;58;5;1;6;3;13;4;13;2;5;11;1;1;4;3
;;3;Boonen, K.J.P.A.;198;9;0;3;0;2;69;1;0;44;3;0;1;0;35;29;2;0
;;4;van der Heijden - Boelens, E.M.J.;139;26;0;12;5;2;2;5;18;10;15;0;6;19;4;1;7;7
;;5;Oud, A.A.H.;208;6;1;6;6;1;39;2;6;58;2;0;2;6;26;40;1;6
;;6;Tchornobay, H.J.J.;49;5;1;3;5;19;0;0;1;0;4;5;0;5;0;0;0;1
;;7;de Graaf-van Alphen, E.M.L.;23;1;0;1;3;7;1;1;1;0;1;6;0;0;0;0;1;0
;;8;Corporaal-Jonker, J.B.C.;17;4;2;0;0;0;0;0;5;0;2;0;3;1;0;0;0;0
;;9;Raats-Verhoeven, C.M.M.P.;13;0;0;7;0;0;2;0;0;2;0;0;0;1;0;1;0;0
;;10;Jochems, A.;12;1;0;0;10;0;0;0;0;1;0;0;0;0;0;0;0;0
;;11;Stienen, C.L.M.;73;0;0;2;0;0;20;1;0;20;2;0;1;0;10;17;0;0
;;12;van Velthoven, J.J.J.;51;1;0;0;0;0;13;1;3;9;0;0;0;0;19;5;0;0
;;13;van Tulden, P.J.;28;2;1;0;5;0;0;3;4;1;0;0;7;4;0;0;0;1
;;14;Heijmans, J.;27;0;0;0;2;0;1;2;0;13;2;0;0;0;3;2;0;2
;;15;de Sterke-Zevenhek, A.M.;3;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0
;;16;Saanen, J.G.M.;14;3;0;1;3;0;0;1;2;0;1;0;0;3;0;0;0;0
;;17;Pieters-Holla, J.M.J.E.;6;1;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;2
;;18;Schreuders, W.;4;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;19;Cremers, W.J.T.E.;13;0;0;0;1;8;0;0;0;0;0;2;0;0;0;0;1;1
;;20;Respen-van Tulden, Y.E.P.;5;0;0;1;1;0;0;0;1;0;0;0;1;1;0;0;0;0
;;21;Balk-Lampe, A.C.P.;16;1;0;10;0;0;0;0;0;1;0;0;2;0;0;1;0;1
5;VVD;;;1038;135;5;46;58;18;116;26;169;111;103;13;33;59;40;46;25;35
;;1;Drieman, J.J.M.;485;75;2;24;17;4;50;8;102;39;46;7;16;34;9;23;9;20
;;2;Swinkels, W.A.J.;170;28;2;7;6;2;6;13;29;9;24;2;8;14;2;1;12;5
;;3;Liebregts, M.C.H.W.;41;2;0;4;5;10;2;3;6;2;2;1;2;0;0;0;0;2
;;4;Kisters, B.W.A.M.;77;0;1;1;0;0;28;1;3;17;1;1;1;0;12;11;0;0
;;5;Lemmen, M.;46;1;0;1;2;0;5;0;8;6;14;1;2;0;1;3;0;2
;;6;Hogenboom, R.J.R.M.;40;7;0;0;7;0;1;0;7;1;5;0;0;3;0;0;4;5
;;7;Borg, H.J.M.;41;0;0;0;0;0;11;0;0;22;0;0;0;0;6;2;0;0
;;8;van Haren, M.W.A.M.;9;0;0;7;0;0;0;0;0;1;0;0;0;0;0;1;0;0
;;9;van Deurzen, M.B.M.;52;12;0;2;18;1;1;1;6;2;3;0;2;1;2;0;0;1
;;10;Meuwissen, C.C.R.M.;19;1;0;0;0;0;6;0;1;6;1;0;0;1;2;1;0;0
;;11;Keizer, F.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;12;van den Boogaard, H.M.T.;6;0;0;0;0;0;1;0;0;1;0;1;0;0;2;1;0;0
;;13;de Jong, H.M.M.W.;23;3;0;0;2;1;1;0;6;0;7;0;1;2;0;0;0;0
;;14;Veldhuis, B.V.;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;15;Walkate, F.J.P.;11;6;0;0;1;0;0;0;1;0;0;0;1;2;0;0;0;0
;;16;den Breejen, I.T.;7;0;0;0;0;0;1;0;0;2;0;0;0;0;2;2;0;0
;;17;van Beek, W.I.I.;8;0;0;0;0;0;3;0;0;3;0;0;0;0;2;0;0;0
6;Blanco (Waterschoot, W.P.J.M.);;;103;7;0;3;8;55;7;0;4;0;0;11;2;2;0;0;4;0
;;1;Waterschoot, W.P.J.M.;103;7;0;3;8;55;7;0;4;0;0;11;2;2;0;0;4;0
