Verkiezing;;Gemeenteraad Dongen 2022;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;
Gebied;;Gemeente Dongen;;;;;;;;;;;;;;;;
Nummer;;0766;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Basisschool De Vlinderboom;Basisschool St. Jan;Kelly van Zon Gymzaal;Clubgebouw V.V.Dongen;Gymzaal Otterdonk;Sportzaal De Gaasjes;Dorpshuis De Geubel;Europlus;Sporthal De Salamander;Gemeentehuis - 14 maart;Gemeentehuis - 15 maart;V.V. Dongen - 14 maart;V.V. Dongen - 15 maart
Gebiednummer;;;;;1;2;4;5;6;7;8;9;10;20;21;22;23;24
Postcode;;;;;5104 JJ;5102 XS;5104 CL;5104 EG;;5103 GN;5106 NC;5109 AC;5101 TJ;5101 ZG;5104 JJ;5104 JJ;;
;opgeroepenen;;;21600;4223;2708;1775;1387;2261;2452;895;1891;2724;1284;0;0;0;0
;geldige stempas;;;8703;1091;708;675;445;778;772;416;791;600;407;480;669;395;476
;geldig volmachtbewijs;;;993;157;83;74;69;112;1;46;92;68;49;51;79;61;51
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;9696;1248;791;749;514;890;773;462;883;668;456;531;748;456;527
;geldige stembiljetten;;;9584;1221;782;742;506;875;767;457;879;664;448;527;740;452;524
;blanco stembiljetten;;;80;20;5;4;6;13;6;2;1;1;7;2;7;3;3
;ongeldige stembiljetten;;;32;7;4;3;2;2;0;3;3;3;1;2;1;1;0
;aangetroffen stembiljetten;;;9696;1248;791;749;514;890;773;462;883;668;456;531;748;456;527
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Volkspartij Dongen;;;3060;376;256;261;172;253;284;199;201;229;111;169;242;161;146
;;1;Jansen, I.C.H.;1273;172;126;102;62;113;109;39;44;112;50;84;114;82;64
;;2;Kunst-van Suijlekom, G.P.;219;21;16;14;5;6;10;7;88;15;7;9;6;6;9
;;3;Jansen, I.A.A.;310;48;26;15;27;42;22;4;7;27;8;15;34;17;18
;;4;Bosters, J.N.;91;9;3;16;9;5;21;1;0;4;3;4;8;5;3
;;5;van Broekhoven, G.J.F.;90;12;11;7;3;2;11;1;5;12;2;3;11;6;4
;;6;Kimenai, C.M.C.;91;12;11;11;7;7;9;3;1;5;5;5;7;1;7
;;7;Zwaal, C.J.;22;4;6;2;2;0;0;0;1;2;0;2;2;0;1
;;8;Lodewijks, S.R.;36;2;0;2;2;2;2;20;0;0;0;0;2;1;3
;;9;Hoevenaars, C.E.W.M.;56;2;3;13;3;5;11;4;0;3;2;2;4;3;1
;;10;Klijs, F.J.L.;116;7;3;5;1;8;9;64;4;1;0;6;4;1;3
;;11;Çitak-Türkyilmaz, E.;143;20;7;18;12;21;23;2;2;9;4;7;5;8;5
;;12;Verduijn-Martens, J.L.M.;47;0;3;3;3;1;3;18;1;3;0;3;4;3;2
;;13;Blous, V.C.M.;79;8;7;9;5;6;14;0;1;6;0;5;2;7;9
;;14;van Baal, S.C.M.;22;3;1;2;2;1;2;0;0;4;1;1;2;2;1
;;15;Trommelen, T.J.;73;7;15;7;5;6;6;5;2;3;5;3;4;1;4
;;16;van Riel, K.A.W.;36;0;0;1;0;1;0;0;30;0;0;3;1;0;0
;;17;de Brouwer, W.J.M.;12;0;2;0;0;0;2;0;0;1;1;2;3;0;1
;;18;Hultermans, R.J.W.;54;6;0;4;3;2;4;21;3;0;9;2;0;0;0
;;19;Tesink, F.A.;11;0;0;0;0;1;0;0;0;2;2;0;1;4;1
;;20;van der Veeken, P.C.F.;13;1;0;3;2;2;0;3;0;0;0;1;0;0;1
;;21;Biesheuvel, R.J.;14;1;0;2;3;1;2;0;0;0;1;1;3;0;0
;;22;den Boer, J.M.A.;17;7;1;2;0;0;0;2;0;0;0;0;4;0;1
;;23;Nijman, A.A.M.;17;5;3;1;1;1;3;0;1;0;0;0;2;0;0
;;24;Vermeulen, T.P.G.J.M.;25;5;0;3;3;1;2;0;0;4;3;1;3;0;0
;;25;van Delft, W.C.M.;8;0;0;0;2;1;2;1;0;0;0;1;1;0;0
;;26;van Suijlekom, A.K.;7;1;0;0;0;0;0;0;5;0;1;0;0;0;0
;;27;de Jong, A.H.N.;9;0;0;3;0;0;2;0;0;1;0;2;1;0;0
;;28;de Roon, A.T.;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0
;;29;Snijders, H.G.H.M.;14;3;0;0;1;2;0;0;2;2;0;0;1;2;1
;;30;van Weesenbeek, A.C.M.;29;3;4;4;4;3;1;0;0;2;0;0;3;1;4
;;31;Kunst, D.J.M.;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0
