Verkiezing;;Gemeenteraad Gemert-Bakel 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Gemert-Bakel;;;;;;;;;;;;;;;;;;;;;
Nummer;;1652;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Gemeentehuis Gemert woensdag;Stembureau Het Kunstlokaal;Stembureau Kindcentrum de Samenstroom;Stembureau Basisschool 't Einder;Stembureau Kindcentrum Berglaren;Stembureau Commanderij College Doregraaf;Stembureau Cultuurhuis De Eendracht;"Stembureau Dorpshuis ""De Bron""";"Stembureau MFA ""de Sprank""";"Stembureau Kindcentrum ""De Dompelaar""";Stembureau Het Parochiehuis Woensdag;"Stembureau Verenigingsgebouw ""Musis Sacrum""";Stembureau Stichting Jeugdcentrum Bakel;"Stembureau Gemeenschapshuis ""De Schans""";"Stembureau Partycentrum ""D'n Eik""";Stembureau Gemeentehuis Gemert Maandag;Stembureau Het Parochiehuis Maandag;Stembureau Gemeentehuis Gemert Dinsdag;Stembureau Het Parochiehuis Dinsdag
Gebiednummer;;;;;1;3;5;7;9;11;13;101;201;301;401;403;405;501;601;701;703;801;803
Postcode;;;;;5421 CV;5421 PN;5421 VA;5422 AN;5421 JH;5421 CR;5421 KC;5423 SL;5425 VR;5424 TS;5761 CB;5761 RN;5761 BJ;5763 BG;5764 PR;5421 CV;5761 CB;5421 CV;5761 CB
;opgeroepenen;;;24984;2155;2010;2324;1882;2199;1366;1546;1526;1370;880;1787;1996;1204;1805;934;0;0;0;0
;geldige stempas;;;10740;1270;820;656;750;592;62;543;691;638;363;684;575;198;775;444;451;207;687;334
;geldig volmachtbewijs;;;1555;165;101;123;115;69;11;73;95;102;47;119;89;34;116;68;62;36;79;51
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;12295;1435;921;779;865;661;73;616;786;740;410;803;664;232;891;512;513;243;766;385
;geldige stembiljetten;;;12208;1416;914;774;862;658;72;604;783;737;401;795;661;230;887;511;513;244;763;383
;blanco stembiljetten;;;68;15;4;4;3;2;0;9;2;3;8;6;3;1;3;1;0;0;3;1
;ongeldige stembiljetten;;;20;4;3;1;0;1;1;3;1;0;1;2;0;1;1;0;0;0;0;1
;aangetroffen stembiljetten;;;12296;1435;921;779;865;661;73;616;786;740;410;803;664;232;891;512;513;244;766;385
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;CDA;;;3877;340;184;176;200;118;7;118;317;268;226;281;237;104;476;349;116;75;178;107
;;1;Janszen, S.;994;119;73;73;89;52;2;52;97;67;44;53;36;12;59;11;52;16;70;17
;;2;van Zeeland, W.S.A.;819;62;31;24;29;13;2;16;52;50;37;32;21;10;72;291;20;6;41;10
;;3;van Loon, J.J.W.M.;358;2;0;0;2;7;0;1;0;2;2;115;110;39;7;0;0;32;2;37
;;4;Schoone, H.W.;99;27;14;21;11;0;0;5;4;5;1;1;0;0;1;0;2;0;6;1
;;5;Coppens, J.M.;108;17;12;16;7;12;2;9;10;2;2;3;1;0;1;0;7;0;7;0
;;6;van den Berkmortel, T.P.M.;126;1;0;1;0;0;0;0;0;1;0;1;2;3;114;0;3;0;0;0
;;7;Meulenmeesters, W.M.;148;10;2;3;5;2;0;2;8;5;91;2;0;1;3;6;0;0;4;4
;;8;van den Elsen, T.J.J.;30;3;2;2;8;5;0;2;1;1;0;0;0;0;2;1;2;0;1;0
;;9;van Kessel, H.A.J.;18;2;0;2;6;2;0;0;0;2;2;0;0;0;0;0;0;0;2;0
;;10;Smits-Overbeek, J.H.H.M.;202;2;0;1;0;1;0;2;11;6;3;12;10;6;126;4;0;5;3;10
;;11;Custers, H.P.M.;6;0;0;1;3;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
;;12;Strauven, S.;35;0;0;0;0;0;0;0;0;0;0;1;0;0;29;1;0;0;0;4
;;13;Bezemer, J.;89;28;15;7;5;12;1;4;0;1;0;0;0;0;0;0;3;0;13;0
;;14;van Hout, H.P.;42;0;0;0;0;0;0;2;0;0;0;17;11;4;0;0;1;2;0;5
;;15;van Katwijk, A.A.J.M.;72;11;2;0;1;1;0;3;44;2;1;1;0;1;0;0;2;1;2;0
;;16;Sanders-Leenders, D.T.A.;36;2;0;1;1;0;0;0;0;3;0;12;8;4;0;0;0;0;1;4
;;17;Ypma, Y.E.S.;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;1;0;0
;;18;van Bommel, H.A.;28;2;3;3;1;0;0;5;4;1;3;0;0;0;2;0;0;0;4;0
;;19;van Dijk, M.M.A.J.;76;1;1;1;1;0;0;1;67;1;0;0;0;0;1;0;2;0;0;0
;;20;Adriaans-de Koning, I.M.A.M.;84;3;1;2;3;2;0;1;0;68;2;0;0;0;1;0;1;0;0;0
;;21;van den Boomen, M.H.M.;44;7;2;5;7;1;0;5;0;7;1;0;0;0;0;1;4;0;4;0
;;22;Bergmans-Vriens, F.C.M.;27;0;0;0;1;0;0;0;0;0;0;4;9;2;1;0;0;5;0;5
;;23;Meulendijks, J.J.M.;50;0;0;0;0;0;0;0;0;2;0;0;6;1;40;0;0;1;0;0
;;24;Donkers, W.M.M.;20;0;0;0;1;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0
;;25;van den Boom, J.G.M.;20;5;0;0;1;0;0;0;0;0;1;3;0;7;0;0;0;1;0;2
;;26;van der Vliet, R.P.;3;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;27;van den Heuvel, M.T.F.;16;2;1;0;1;0;0;0;0;9;1;0;0;1;1;0;0;0;0;0
;;28;van Schijndel, J.C.W.G.;16;4;3;1;1;0;0;3;0;2;0;0;0;0;0;0;0;0;2;0
;;29;van der Heijden, E.H.G.;13;0;1;0;0;0;0;0;0;0;0;1;0;0;0;11;0;0;0;0
;;30;Janssen, H.G.A.;3;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0
;;31;Peters-Konings, H.P.;5;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;32;Martens, R.A.P.;7;0;2;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
