Verkiezing;;Gemeenteraad Gilze en Rijen 2022;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Gilze en Rijen;;;;;;;;;;;;;;;;;;;
Nummer;;0784;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Gilze en Rijen;De Boodschap;Burg. van Mierloschool;Gymzaal school De Brakken;Sint Jozefschool;Hal NS-station;Woonstichting Leystromen;De Schakel;Sporthal Achter de Tuintjes;Heemkring Molenheide;De Molenwiek;The Chump;Gemeentehuis Gilze en Rijen 14-03-2022;Gemeentehuis Gilze en Rijen 15-03-2022;Sporthal Achter de Tuintjes 14-03-2022;Sporthal Achter de Tuintjes 15-03-2022;Gemeentehuis Gilze en Rijen
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;22;23;24;25;26
Postcode;;;;;5121 JX;5121 BC;5121 HT;5121 EM;5121 EG;5121 EA;5121 LN;5126 GD;5126 HA;5126 CE;5124 RM;5125 NL;5121 JX;5121 JX;5126 HA;5126 HA;5121 JX
;opgeroepenen;;;20972;2114;1757;1596;2366;2207;2296;1046;1927;2002;2243;1048;370;0;0;0;0;0
;geldige stempas;;;9579;499;525;448;939;847;1088;373;737;755;665;492;167;511;690;313;530;0
;geldig volmachtbewijs;;;1116;65;67;60;120;62;127;46;84;92;73;67;25;61;88;26;53;0
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;10695;564;592;508;1059;909;1215;419;821;847;738;559;192;572;778;339;583;0
;geldige stembiljetten;;;10637;564;590;505;1049;901;1209;415;819;843;736;554;192;565;774;339;582;0
;blanco stembiljetten;;;32;0;1;2;7;3;2;3;0;2;1;3;0;5;2;0;1;0
;ongeldige stembiljetten;;;25;0;1;1;2;5;4;1;2;2;1;2;0;2;2;0;0;0
;aangetroffen stembiljetten;;;10694;564;592;508;1058;909;1215;419;821;847;738;559;192;572;778;339;583;0
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Kern '75;;;2726;48;54;55;84;104;119;47;438;435;376;327;59;35;75;173;297;0
;;1;Machielsen, C.W.Q.M.;952;11;13;11;16;15;22;16;209;176;161;50;15;10;12;85;130;0
;;2;van Iersel, R.A.J.;207;11;17;21;21;32;45;10;8;5;6;1;3;9;18;0;0;0
;;3;van Laerhoven, P.J.M.C.;282;4;3;2;4;8;7;7;8;6;5;217;0;1;4;2;4;0
;;4;van Trier, W.J.M.;223;2;0;0;1;0;4;2;46;61;24;0;1;0;3;23;56;0
;;5;Aarts, G.A.C.;42;0;0;1;0;1;0;0;10;5;6;0;2;1;0;7;9;0
;;6;Broeders, W.L.M.;66;8;7;4;8;11;6;0;2;5;1;0;0;6;8;0;0;0
;;7;Sarton, F.A.;63;0;1;0;1;0;0;0;17;13;12;0;0;0;1;12;6;0
;;8;Geerts-Weststrate, M.;254;3;2;5;8;2;6;5;56;62;50;2;5;1;5;17;25;0
;;9;IJtsma, K.;59;2;8;4;5;13;9;1;0;2;1;1;2;1;9;1;0;0
;;10;Multem-van de Rest, G.;37;0;0;0;1;0;2;0;0;2;0;32;0;0;0;0;0;0
;;11;De Jong, A.S.A.;64;0;0;0;0;0;1;1;9;9;29;1;0;1;0;1;12;0
;;12;Ballemans, A.F.M.;9;2;0;1;4;1;1;0;0;0;0;0;0;0;0;0;0;0
;;13;Cornelissen, M.H.M.;35;0;0;0;0;0;0;0;6;9;13;0;0;0;0;4;3;0
;;14;Gillis-van Enschot, C.W.M.;33;0;0;0;1;2;0;2;2;1;1;0;22;0;0;1;1;0
;;15;Quirijnen, H.C.M.;130;1;1;0;6;0;3;0;26;22;31;1;1;0;2;9;27;0
;;16;van den Akker, R.R.M.;13;0;0;1;1;1;2;2;0;2;1;0;0;2;1;0;0;0
;;17;Wirken, P.C.A.G.M.;10;1;0;0;0;0;2;0;0;0;0;0;0;0;6;1;0;0
;;18;olde Scheper, E.B.M.M.;23;0;0;0;0;0;0;0;3;8;9;0;0;0;0;0;3;0
;;19;Cornelissen, J.H.M.;13;0;0;0;0;0;0;0;0;1;1;10;0;1;0;0;0;0
;;20;van Puijenbroek-van der Heijden, A.A.M.;20;0;0;0;0;0;0;0;1;8;3;2;2;0;0;0;4;0
;;21;van Riel, N.A.W.;20;0;0;0;0;0;0;0;9;6;2;0;0;0;0;1;2;0
;;22;van Iersel-Beljaars, B.T.F.;9;1;1;0;1;1;0;0;0;2;0;0;0;1;2;0;0;0
;;23;Doorakkers, A.M.P.M.;5;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0
;;24;Smits, R.W.A.L.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;van der Star, E.C.A.;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0
;;26;Stoopen-Jacobs, E.J.C.M.;13;1;0;0;0;0;0;0;3;4;1;0;0;0;0;1;3;0
;;27;Timmermans, A.G.;5;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;2;0
;;28;Teunen, E.M.;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
;;29;de Vet-Roozen, M.A.C.;12;0;0;0;0;0;0;0;4;4;2;0;0;0;0;1;1;0
;;30;Ermens, R.P.H.;8;0;0;0;0;0;0;0;0;3;3;0;0;0;0;1;1;0
;;31;Klaassen, A.J.M.;8;0;1;0;1;4;2;0;0;0;0;0;0;0;0;0;0;0
;;32;Konings, H.J.A.;9;0;0;0;1;0;0;0;1;1;0;5;0;0;0;1;0;0
;;33;Faes, P.W.C.M.;11;0;0;0;0;0;0;0;5;1;3;1;0;0;0;1;0;0
;;34;van der Veen, A.;5;0;0;0;0;0;1;0;0;0;0;3;0;0;0;1;0;0
;;35;Graauwmans, A.J.M.;3;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Bekkers, W.M.M.;8;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;3;0
;;37;de Bruijn, P.J.A.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;38;Brouwer, R.;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0
;;39;van Hoek, R.P.D.M.;17;0;0;0;0;3;0;0;1;7;3;0;0;0;0;0;3;0
;;40;van Baardwijk, G.F.C.P.;19;1;0;5;1;5;3;0;0;0;0;0;2;0;2;0;0;0
;;41;de Vet, W.J.J.;8;0;0;0;0;0;1;1;1;1;1;0;0;0;1;1;1;0
;;42;Gerrits, H.C.;5;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0
;;43;Severijns, J.F.;4;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0
;;44;van Gool, J.J.;12;0;0;0;0;2;1;0;1;5;2;0;0;0;0;0;1;0
2;Gemeentebelang;;;1259;120;96;74;198;150;224;60;9;10;11;16;38;104;143;3;3;0
