Verkiezing;;Gemeenteraad Goirle 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Goirle;;;;;;;;;;;;;;;;;;;;
Nummer;;0785;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Gemeentehuis;Gemeentehuis;Ontmoetingscentrum De Leybron;Ontmoetingscentrum De Leybron;Ontmoetingscentrum De Leybron;Sporthal De Haspel;Sporthal De Wissel;Sporthal Frankenhal;Bibliotheek Goirle;Mill-Hill College;Basisschool 't Schrijverke;Basisschool De Vonder;Wijkcentrum De Deel;Wijkcentrum De Wildacker;Basisschool de Kleine Akkers;Zorgcentrum Elizabeth/Guldenakker;Mainframe
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Postcode;;;;;5051 LT;5051 LT;5051 LT;5133 AM;5133 AM;5133 AM;5051 KR;5051 NZ;5052 BL;5051 RD;5051 BP;5051 ML;5133 BC;5052 BL;5051 ST;5051 CR;5051 HC;5051 RG
;opgeroepenen;;;19099;0;0;1856;0;0;1077;1968;1218;1685;1264;1284;1673;1282;1510;1606;1745;0;931
;geldige stempas;;;9016;565;962;968;140;249;558;689;501;890;490;335;899;351;340;414;481;60;124
;geldig volmachtbewijs;;;926;70;2;132;10;26;63;78;71;103;51;56;88;41;46;35;36;5;13
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;9942;635;964;1100;150;275;621;767;572;993;541;391;987;392;386;449;517;65;137
;geldige stembiljetten;;;9898;632;961;1096;149;274;618;761;569;988;540;390;984;389;385;448;516;64;134
;blanco stembiljetten;;;24;2;1;2;0;1;2;3;3;1;1;1;3;0;1;0;1;0;2
;ongeldige stembiljetten;;;20;1;1;2;1;0;1;3;0;4;0;0;1;3;0;1;0;1;1
;aangetroffen stembiljetten;;;9942;635;963;1100;150;275;621;767;572;993;541;391;988;392;386;449;517;65;137
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Lijst Riel Goirle (LRG);;;2209;82;134;183;60;129;252;166;116;233;112;80;185;148;94;89;115;11;20
;;1;Verhoeven, M.;942;39;54;93;18;48;65;83;54;113;54;26;91;30;40;54;63;7;10
;;2;Franssen-du Maine, E.C.M.;519;11;40;34;17;32;73;38;27;57;25;23;34;45;25;17;18;2;1
;;3;Visser-Seijkens, E.M.G.;183;12;13;17;6;5;22;13;5;21;13;10;9;17;4;7;7;0;2
;;4;Brouwers, P.J.A.M.;38;0;2;2;1;0;13;1;0;2;3;2;0;6;2;1;2;0;1
;;5;Schellekens, E.L.M.;47;5;1;0;1;11;10;1;2;3;0;0;3;8;1;1;0;0;0
;;6;van Iersel, J.P.C.M.;117;0;7;19;0;1;1;17;9;13;8;5;15;1;4;5;8;2;2
;;7;Pelkmans, C.H.M.M.;102;1;5;2;9;20;26;1;3;3;1;2;2;22;1;3;0;0;1
;;8;van Gorkom, R.;36;0;0;0;3;6;11;0;2;0;2;0;0;12;0;0;0;0;0
;;9;Kleijnen, M.C.L.;38;2;1;3;1;1;4;2;4;2;1;1;7;4;4;0;1;0;0
;;10;Smeets, L.M.;19;0;2;5;0;0;0;1;2;0;3;0;4;0;0;0;2;0;0
;;11;Theys, F.J.;5;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Luttikholt, K.J.W.;43;6;2;3;0;0;0;2;1;1;1;3;14;0;0;1;7;0;2
;;13;Franssen, J.M.;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
;;14;Janssen, O.M.;7;0;0;1;0;1;1;0;1;1;0;1;0;0;1;0;0;0;0
;;15;van Rijn, M.J.C.;15;2;0;1;1;1;3;2;0;0;0;2;2;1;0;0;0;0;0
;;16;Jacobs, P.A.G.;3;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;17;van de Kamp, B.C.;51;0;0;3;3;3;23;2;1;3;1;2;1;2;5;0;1;0;1
;;18;van de Ven, H.A.G.M.;42;2;3;0;0;0;0;3;5;13;0;2;1;0;7;0;6;0;0
2;CDA;;;644;51;86;99;6;15;9;54;36;47;38;26;38;9;25;39;41;10;15
;;1;van de Wiel, T.H.M.;353;21;45;43;2;11;3;31;29;31;22;14;20;7;11;20;27;6;10
;;2;Wolswijk-van de Pol, C.J.M.;86;9;12;19;2;2;1;4;0;7;1;1;3;0;3;11;7;3;1
;;3;van Daal, E.S.A.M.;34;1;3;4;0;0;1;4;5;0;3;0;4;2;4;1;1;1;0
;;4;Smits, A.F.L.;44;6;9;15;0;0;1;6;1;0;2;0;1;0;2;0;0;0;1
;;5;Brouwer, M.M.;15;2;0;1;0;0;0;2;0;0;1;0;6;0;0;2;0;0;1
;;6;de Jong, J.;11;0;1;0;1;2;2;1;0;0;0;1;0;0;1;1;0;0;1
;;7;Simons, P.A.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Poos, P.J.M.;12;2;1;1;0;0;0;0;1;1;1;0;1;0;3;0;1;0;0
;;9;van Haaften-Harkema, S.C.;10;2;1;0;0;0;0;0;0;1;1;3;0;0;1;0;1;0;0
;;10;Strijbis, A.N.J.;13;1;3;3;1;0;0;0;0;3;1;1;0;0;0;0;0;0;0
;;11;Blommaert, S.F.E.;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
;;12;de Brouwer, F.A.H.;12;2;2;2;0;0;0;2;0;0;0;0;1;0;0;1;1;0;1
;;13;de Groot, S.A.;9;2;0;5;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
;;14;van Olphen, W.;12;0;1;2;0;0;0;0;0;2;1;3;0;0;0;0;3;0;0
