Verkiezing;;Gemeenteraad Heeze-Leende 2022;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;
Gebied;;Gemeente Heeze-Leende;;;;;;;;;;;;;;;;
Nummer;;1658;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Dorpshuis 't Perron;Handboogsportvereniging Rozen van Oranje;Gemeentehuis;Gymzaal Engelse Tuin;Heemkundekring de Heerlijkheid HLZ;Basisschool De Trumakkers;Dorpshuis de Schammert;Basisschool Sint Jan;'t Brouwershuis;Dorpshuis Valentijn;Gemeentehuis Maandag;Gemeentehuis Dinsdag;Dorpshuis de Schammert Maandag;Dorpshuis de Schammert Dinsdag
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;314;315;714;715
Postcode;;;;;5591 HM;5591 GH;5591 HS;5591 BP;5591 NE;5591 NG;5595 CD;5595 GN;5595 XC;6029 RJ;5591 HS;5591 HS;5595 CD;5595 CD
;opgeroepenen;;;13591;1287;1369;1598;1428;1301;1330;1291;1174;1237;1576;0;0;0;0
;geldige stempas;;;6777;513;383;591;681;571;541;734;258;260;630;459;545;279;332
;geldig volmachtbewijs;;;860;61;56;100;1;65;75;118;34;42;100;58;69;41;40
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;7637;574;439;691;682;636;616;852;292;302;730;517;614;320;372
;geldige stembiljetten;;;7600;568;436;687;681;634;614;847;292;300;728;517;606;321;369
;blanco stembiljetten;;;17;5;2;2;0;1;2;1;0;1;0;0;3;0;0
;ongeldige stembiljetten;;;23;1;1;2;1;2;0;4;0;1;2;0;5;0;4
;aangetroffen stembiljetten;;;7640;574;439;691;682;637;616;852;292;302;730;517;614;321;373
;meer stembiljetten dan toegelaten kiezers;;;3;0;0;0;0;1;0;0;0;0;0;0;0;1;1
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Lokaal Heeze-Leende;;;1605;135;83;134;140;179;161;133;57;47;147;130;125;62;72
;;1;Snoeijen, A.J.H.M.;449;41;21;36;40;57;50;37;9;12;35;35;40;16;20
;;2;Veldkamp, T.C.;208;19;18;22;23;31;17;10;3;2;15;18;20;1;9
;;3;de Turck, J.M.M.;100;0;1;0;1;1;3;33;26;10;2;0;2;10;11
;;4;Keuten, D.L.;62;9;4;8;11;5;3;2;0;0;2;15;2;1;0
;;5;de Bruijn, J.W.M.;219;16;9;20;29;17;27;3;1;5;14;33;26;13;6
;;6;Bosch, T.W.;28;3;1;0;6;6;2;0;0;0;2;6;1;1;0
;;7;Jacobs, M.W.;36;1;2;13;4;8;1;0;0;0;2;1;3;0;1
;;8;Marques Pontes, J.M.C.;49;1;0;3;1;4;0;2;2;1;29;1;4;1;0
;;9;Verhoeven, A.E.W.;38;0;0;3;0;1;0;12;2;5;0;0;0;7;8
;;10;Janssen, R.A.C.P.;68;9;6;3;1;12;8;5;0;2;5;6;8;0;3
;;11;van Middelaar, J.G.;47;4;6;0;0;0;0;5;1;2;26;0;3;0;0
;;12;van den Broek, M.G.M.;27;5;1;1;4;1;3;0;1;0;2;4;2;2;1
;;13;van der Kruis, P.J.;33;2;0;0;1;2;0;11;9;1;1;0;1;2;3
;;14;de Vette, J.W.A.;8;3;1;0;0;0;0;0;0;0;3;0;1;0;0
;;15;van Montfoort - van de Moosdijk, N.A.H.;55;3;9;4;5;10;13;3;0;0;0;2;4;2;0
;;16;Roeters, P.J.A.M.;7;0;0;1;0;2;3;0;0;0;0;1;0;0;0
;;17;Walschot, S.J.J.C.;45;6;1;6;9;7;10;1;0;0;1;2;1;0;1
;;18;Verberne, J.T.F.;18;2;1;3;1;1;6;0;0;2;0;0;2;0;0
;;19;van Berlo, H.J.;24;2;0;1;0;7;9;0;0;0;0;0;3;0;2
;;20;Hendriks, J.P.;5;0;0;0;0;0;0;0;0;1;4;0;0;0;0
;;21;Snoeijen - van den Akker, P.C.F.;4;1;0;0;0;1;0;0;0;1;0;0;1;0;0
;;22;Boerenkamp, A.J.;3;2;0;0;0;1;0;0;0;0;0;0;0;0;0
;;23;de Turck - Lanen, M.J.C.E.;16;4;1;3;0;3;1;2;0;0;1;0;0;1;0
;;24;Bax - van der Kruis, H.J.M.;24;0;0;1;0;0;1;7;1;2;0;0;0;5;7
;;25;van der Palen, N.J.C.M.;32;2;1;6;4;2;4;0;2;1;3;6;1;0;0
2;CDA;;;1114;70;45;118;72;61;64;139;62;54;182;51;68;56;72
;;1;Maas, I.C.J.A.T.;453;47;31;77;35;43;35;24;17;10;16;38;37;21;22
;;2;de Win, F.J.J.;256;4;4;12;0;2;2;93;17;29;6;1;9;34;43
;;3;Vos, J.P.T.J.N.;211;6;4;7;5;1;2;16;26;12;123;3;4;0;2
;;4;Mordang, M.;18;0;0;6;2;2;6;0;0;1;0;0;1;0;0
;;5;Vertogen, P.J.N.M.;40;2;2;5;12;0;6;0;0;0;2;3;7;0;1
;;6;van de Wetering e/v Ikink, M.G.A.;14;3;0;0;4;0;3;0;0;0;1;0;3;0;0
;;7;Rutjens, W.J.M.;20;2;1;2;6;3;2;0;0;0;2;0;2;0;0
;;8;van Asten, M.M.F.H.;21;0;1;1;0;0;0;3;1;0;14;0;0;0;1
;;9;Maas, H.A.T.M.;15;2;1;2;3;2;2;0;0;0;0;0;1;1;1
;;10;Broekman, E.J.A.J.;25;0;0;1;0;1;4;0;0;0;17;1;1;0;0
;;11;Sweegers, J.F.J.M.;22;2;1;1;5;5;2;0;0;0;0;3;3;0;0
;;12;Dekkers, T.J.G.;6;2;0;2;0;1;0;0;0;0;0;1;0;0;0
;;13;Dietvorst, A.J.M.;13;0;0;2;0;1;0;3;1;2;1;1;0;0;2
3;VVD;;;989;68;86;123;115;60;83;85;36;34;66;95;95;23;20
;;1;Cuijten, J.H.M;602;41;56;90;72;32;44;48;19;22;36;54;63;11;14
