Verkiezing;;Gemeenteraad Hilvarenbeek 2022;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;
Gebied;;Gemeente Hilvarenbeek;;;;;;;;;;;;;;;;
Nummer;;0798;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Hilvarenbeek;The Box;Herberg Den Hemel;Cafe-zaal 'Schuttershof';Dorpsgebouw 't Gebint;Basisschool Starrebos;Basisschool De Doelakkers;Partycentrum 'Hercules';Zaal 'Den Horst';Mobiele stembureau Safaripark Beeksebergen;Gemeentehuis Hilvarenbeek;Partycentrum 'Hercules';Gemeentehuis Hilvarenbeek;Partycentrum 'Hercules'
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;21;28;31;38
Postcode;;;;;5081 CA;5081 CT;5081 HG;5085 EG;5084 HG;5081 VH;5081 XM;5087 BJ;5089 NK;5081 NJ;5081 CA;5087 BJ;5081 CA;5087 BJ
;opgeroepenen;;;12935;12935;0;0;0;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;6799;1088;292;236;530;394;643;511;960;439;229;361;546;257;313
;geldig volmachtbewijs;;;799;140;40;37;41;55;78;69;140;51;16;34;45;17;36
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;7598;1228;332;273;571;449;721;580;1100;490;245;395;591;274;349
;geldige stembiljetten;;;7535;1206;326;269;566;445;717;575;1092;490;244;395;590;273;347
;blanco stembiljetten;;;57;19;6;4;5;3;4;5;6;0;1;0;1;1;2
;ongeldige stembiljetten;;;6;3;0;0;0;1;0;0;2;0;0;0;0;0;0
;aangetroffen stembiljetten;;;7598;1228;332;273;571;449;721;580;1100;490;245;395;591;274;349
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;HOI Werkt;;;3879;712;167;113;256;209;439;403;422;164;131;262;350;114;137
;;1;Hamelink, K.M.G.;1056;215;46;32;60;28;130;119;109;29;38;87;90;27;46
;;2;Boers, A.G.C.M.;579;110;28;22;31;30;58;59;55;13;25;46;73;15;14
;;3;van den Corput, J.H.F.;194;11;3;4;6;4;12;4;18;87;7;25;3;2;8
;;4;van de Schoot, M.J.H.;269;46;15;7;9;7;36;31;44;1;7;9;29;18;10
;;5;van der Maas, J.J.M.;124;28;9;4;4;5;17;26;5;1;8;0;12;3;2
;;6;Elbers, H.F.L.;149;35;16;5;5;4;17;23;7;0;6;10;17;3;1
;;7;Hermans, W.J.C.;63;20;3;1;1;2;5;0;4;1;4;9;13;0;0
;;8;Fouchier, A.C.M.;42;10;2;0;2;0;4;3;6;1;0;6;5;1;2
;;9;Tolboom, F.W.L.;87;4;0;0;2;72;2;0;0;0;2;0;1;4;0
;;10;Schoenmakers, I.A.C.;158;40;10;6;3;5;16;27;12;5;7;10;15;1;1
;;11;Wijnhoven-Constancia, Z.G.;118;22;5;6;9;5;12;14;8;2;4;10;16;1;4
;;12;Wiercx-Verschuren, M.J.P.C.;88;19;0;4;3;3;25;11;2;0;4;6;8;1;2
;;13;van Gestel, C.J.M.;114;2;0;1;0;1;5;2;59;1;3;0;3;12;25
;;14;Meutermans-de Groof, E.E.;37;12;2;1;0;0;8;4;1;3;0;2;3;0;1
;;15;van Mol, B.;24;4;2;2;0;1;5;4;1;0;0;0;5;0;0
;;16;Haans, C.C.C.;48;9;2;1;1;3;2;9;6;0;1;3;6;3;2
;;17;Driesser, M.H.B.;46;10;0;4;0;0;9;13;0;1;1;3;3;2;0
;;18;Jacobs, M.J.G.;16;0;0;0;0;15;1;0;0;0;0;0;0;0;0
;;19;Hendriks, G.C.M.;10;0;0;0;0;0;0;1;2;1;1;1;1;2;1
;;20;van Beers, P.W.J.;21;2;0;0;11;0;2;1;1;0;0;1;3;0;0
;;21;van Mol, M.A.G.;44;4;1;0;0;0;2;1;23;2;0;4;0;6;1
;;22;van Laarhoven, C.J.;80;5;0;0;58;0;2;3;5;0;3;1;1;1;1
;;23;Busink, P.J.;28;1;2;0;2;9;0;3;4;3;0;1;0;0;3
;;24;Hafkemeijer, F.J.A.M.;11;1;0;0;7;0;0;0;2;0;0;1;0;0;0
;;25;Vriens-Snels, M.P.;36;2;1;0;15;0;3;5;1;1;1;4;3;0;0
;;26;van Gansewinkel, H.P.L.;12;1;0;2;0;0;4;4;0;0;1;0;0;0;0
;;27;van Laarhoven, G.W.N.M.;40;12;0;2;0;2;7;6;5;0;0;2;4;0;0
;;28;Hatahet, M.S.;27;6;0;0;0;0;11;0;1;0;0;4;5;0;0
;;29;Aerts, K.C.;37;14;3;2;5;0;6;2;0;0;1;0;4;0;0
;;30;Huisman, M.L.;5;0;0;0;0;0;0;2;0;0;0;1;2;0;0
;;31;Metz-de Bruin, C.E.;7;6;0;0;0;0;1;0;0;0;0;0;0;0;0
;;32;Hülsenbeck, E.M.T.;21;9;3;0;0;1;0;2;0;0;0;5;0;0;1
;;33;Naaijkens, C.A.L.J.;27;8;2;0;2;0;3;4;0;0;0;2;6;0;0
;;34;van de Wouw-van Hoof, E.T.;30;7;1;1;1;1;6;0;2;0;3;2;5;0;1
;;35;Elbers-Pallandt, S.M.C.H.;20;7;0;1;1;0;4;3;1;0;0;2;1;0;0
;;36;van den Biggelaar, W.F.M.;16;7;0;1;1;0;2;0;3;0;0;1;0;1;0
;;37;Vermeer-de Bok, C.H.D.;30;3;2;1;4;0;1;0;7;8;0;0;0;0;4
;;38;van den Biggelaar, M.E.;11;1;2;0;3;0;2;0;1;0;0;1;1;0;0
