Verkiezing;;Gemeenteraad Meierijstad 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Meierijstad;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1948;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Meierijstad;Wijnu gebouw;Wijkgebouw De Bloemfontein;Stichting Turkse Eenheid Veghel;Wijkgebouw De Lapvoet;Loods familie Verbeek;Rode kruis gebouw;Gymzaal Zuid, Basisschool De Vijfmaster;BS de Uilenbrink;Natuurtuin 't Bundertje;Wijkgebouw De Spil;Basisschool  de Ieme;ROC de Leijgraaf;M.F.C. De Hintel;Gymzaal naast D'n Brak;Dorpshuis Zijtaart;Gemeenschapshuis De Brink;Basisschool De Empel;Ter Aa Sport en Ontmoetingscentrum;Raadhuis Erp;Gemeenschapshuis 't Span;Gemeenschapshuis Den Hazenpot;Sportzaal 't Ven;Drive-in gemeentewerf Veghel;RAADhuis Schijndel;Gymzaal EBC Oost, bij bs de Beemd;Sportcomplex De Dioscuren;Basisschool de Regenboog;Sociaal Cultureel Centrum de Vink;Gymzaal bij de Schakel;'t Spectrum;Sociaal Cultureel Centrum de Kajuit;Gymzaal EBC Noord, bij bs De Vossenberg;Het Gasthuis;Café Zaal De HeerenMeester;Museum Jan Heestershuis;Café-Zaal 't Zuid;Drive-in gemeentewerf Schijndel;Kasteel-Raadhuis Dommelrode;De Beurs zalencentrum;Basisschool Dommelrode;Touringcarbedrijf Van Hoof Reizen;Basisschool Eerschot;Gymzaal Armenhoef, bij de Odaschool;Sportzaal De Kienehoef;De Meidoorn;MFA De Loop'r;Zalencentrum De Beckart;Drive-in manege De Pijnhorst;Mobiel stembureau 1: OBB;Mobiel stembureau 2: WAS;Gemeentehuis Meierijstad;Raadhuis Erp;Sportzaal 't Ven;Drive-in gemeentewerf Veghel;'t Spectrum;Drive-in gemeentewerf Schijndel;Kasteel-Raadhuis Dommelrode;Drive-in manege De Pijnhorst;Gemeentehuis Meierijstad;Raadhuis Erp;Sportzaal 't Ven;Drive-in Gemeentewerf Veghel;'t Spectrum;Drive-in gemeentewerf Schijndel;Kasteel-Raadhuis Dommelrode;Drive-in Manege de Pijnhorst
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;30;101;102;103;104;105;106;107;108;109;110;111;112;113;130;201;202;203;204;205;206;207;208;209;210;230;500;501;14001;14020;14023;14030;14107;14130;14201;14230;15001;15020;15023;15030;15107;15130;15201;15230
Postcode;;;;;5461 KN;5461 EA;5462 AE;5461 AA;5463 JA;5463 PC;5463 HM;5463 ET;5467 BM;5467 AC;5467 JZ;5467 KR;5467 HA;5464 PN;5464 VR;5465 RJ;5466 PE;5469 SL;5469 CG;5469 BK;5469 EX;5469 PS;5464 PG;5465 TA;5482 NG;5482 KE;5481 KD;5482 BJ;5482 BD;5482 DA;5482 WN;5482 MA;5481 HD;5481 HL;5481 EJ;5481 BL;5481 AR;5482 WL;5492 GD;5492 AD;5492 BJ;5491 EG;5491 AB;5491 GC;5491 JT;5492 EC;5491 XP;5492 HT;5491 LR;5461 KN;5461 KN;5461 KN;5469 BK;5464 PG;5465 TA;5482 WN;5482 WL;5492 GD;5491 LR;5461 KN;5469 BK;5464 PG;5465 TA;5482 WN;5482 WL;5492 GD;5491 LR
;opgeroepenen;;;66965;1460;1716;1485;1990;1540;1335;2230;1425;1300;1102;1060;1241;1261;1635;1510;1525;1219;1282;1307;1456;890;642;1681;0;1075;1748;1834;1613;1503;1435;1879;1876;988;1426;1420;1213;1340;0;1134;1139;1227;1512;1767;1741;1995;1335;896;2055;0;284;238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;28510;887;686;378;540;584;228;530;415;551;432;454;410;427;593;624;709;554;463;359;628;408;360;378;44;392;469;807;406;590;607;693;552;275;503;427;413;396;109;430;464;458;572;669;664;828;531;416;835;120;73;55;397;189;126;66;376;74;274;56;626;299;198;62;673;138;443;117
;geldig volmachtbewijs;;;3740;88;75;79;59;84;31;50;68;65;45;55;31;62;82;97;108;67;65;72;105;57;53;51;3;45;51;120;53;101;82;94;86;17;51;57;47;54;27;56;46;62;59;100;87;97;88;43;139;29;3;3;31;29;16;3;47;7;34;6;86;30;29;6;79;16;51;21
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;32250;975;761;457;599;668;259;580;483;616;477;509;441;489;675;721;817;621;528;431;733;465;413;429;47;437;520;927;459;691;689;787;638;292;554;484;460;450;136;486;510;520;631;769;751;925;619;459;974;149;76;58;428;218;142;69;423;81;308;62;712;329;227;68;752;154;494;138
;geldige stembiljetten;;;32135;963;759;454;600;664;259;580;482;614;473;506;438;488;673;721;813;619;527;429;732;465;412;429;47;437;517;925;458;689;681;783;638;292;549;479;459;450;133;484;505;519;630;768;746;921;617;458;970;148;76;58;428;218;142;69;423;81;308;62;711;329;227;68;751;153;492;136
;blanco stembiljetten;;;60;1;1;3;0;1;0;0;1;0;3;1;3;1;0;0;3;1;1;1;0;0;1;0;0;0;2;1;1;1;7;3;0;0;4;2;1;0;1;0;2;0;0;1;4;3;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;ongeldige stembiljetten;;;58;11;2;0;0;3;0;1;0;2;1;2;0;0;2;0;1;1;0;1;1;0;0;0;0;0;1;1;0;1;1;1;0;0;1;3;0;0;2;2;3;1;1;0;1;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;2
