Verkiezing;;Gemeenteraad Moerdijk 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Moerdijk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1709;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Theater de Schuur;Theaterzaal De Borgh;Pluspunt Serena;Het Anker;Gymzaal Droge Mark;Trefpunt;Vier Hoog Zevenbergen;Ons Stedeke;De Zevensprong;Gymzaal Klundert Spido;De Niervaert;De Stad Klundert;De Ankerkuil;D' Ouwe School;De Standaert;Buurthuis Irene;De Blokhut;De Parel;Het Trefpunt;De Graanbeurs;Pestalozzihuis;Drive-in gemeentewerf Klundert;Theaterzaal De Borgh;De Stad Klundert;De Standaert;Buurthuis Irene;De Parel;Theaterzaal De Borgh;De  Stad Klundert;De Standaert;Buurthuis Irene;De Parel
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;102;112;115;116;118;202;212;215;216;218
Postcode;;;;;4761 CA;4761 BE;4761 TW;4761 CD;4761 JB;4761 ZC;4762 AL;4772 RA;4765 CP;4791 JN;4791 GB;4791 HL;4781 AR;4759 BD;4758 AJ;4797 AJ;4797 HT;4793 CB;4793 EP;4793 GB;4794 AA;4791 PA;4761 BE;4791 HL;4758 AJ;4797 AJ;4793 CB;4761 BE;4791 HL;4758 AJ;4797 AJ;4793 CB
;opgeroepenen;;;30560;1750;1720;1723;1599;1700;1713;1693;733;1387;1541;1611;1666;903;906;1835;1875;1057;1445;1307;1544;852;0;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;12741;544;736;775;180;471;931;195;327;512;544;347;637;330;410;495;690;348;562;483;335;293;28;408;217;53;185;156;650;352;105;201;241
;geldig volmachtbewijs;;;1562;50;95;94;30;51;112;24;40;75;52;47;85;47;51;61;98;45;87;48;52;41;5;39;21;9;18;9;61;44;14;23;34
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;14303;594;831;869;210;522;1043;219;367;587;596;394;722;377;461;556;788;393;649;531;387;334;33;447;238;62;203;165;711;396;119;224;275
;geldige stembiljetten;;;14248;587;829;869;209;520;1038;219;365;585;596;389;719;374;457;557;784;392;646;529;387;331;33;445;237;62;202;165;710;394;119;224;275
;blanco stembiljetten;;;31;2;1;0;1;1;4;0;1;2;1;2;2;1;3;0;3;1;0;1;0;2;0;0;0;0;0;0;1;2;0;0;0
;ongeldige stembiljetten;;;30;5;2;0;0;0;1;0;1;0;0;3;0;2;2;1;3;0;3;1;0;1;0;2;1;0;1;0;0;1;0;0;0
;aangetroffen stembiljetten;;;14309;594;832;869;210;521;1043;219;367;587;597;394;721;377;462;558;790;393;649;531;387;334;33;447;238;62;203;165;711;397;119;224;275
;meer stembiljetten dan toegelaten kiezers;;;8;0;1;0;0;0;0;0;0;0;1;0;0;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
