Verkiezing;;Gemeenteraad Sint-Michielsgestel 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Sint-Michielsgestel;;;;;;;;;;;;;;;;;;;;;
Nummer;;0845;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Brandweerkazerne Sint-Michielsgestel;Protestantse Kerk;Party's & Meetings Absoluut;De Meander (Gemeentehuis);Voetbalclub SCG'18;Sporthal Theereheide;Café Zaal de Schuif;Boer Goossens;Sportclub Den Dungen;Litserborg;Brandweerkazerne Berlicum;Basisschool Theresia;Den Durpsherd;De Moerkoal;Mobiel stembureau voor zorginstellingen;De Meander (Gemeentehuis);De Moerkoal;De Meander (Gemeentehuis);Litserborg
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
Postcode;;;;;5271 SB;5271 BK;5271 AL;5271 GC;5271 NB;5271 RR;5293 AN;5275 BM;5275 HV;5275 BV;5258 BK;5258 AG;5258 KB;5258 LE;5271 BH;5271 GC;5258 LE;5271 GC;5275 BV
;opgeroepenen;;;23757;1734;1398;1568;1156;1116;1349;1816;1807;1785;1790;2399;2375;2004;1460;0;0;0;0;0
;geldige stempas;;;11584;683;277;720;922;135;532;754;420;262;1206;716;917;1460;609;48;429;286;582;626
;geldig volmachtbewijs;;;1348;82;32;79;133;28;60;152;72;36;166;84;132;0;82;2;41;39;60;68
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;12932;765;309;799;1055;163;592;906;492;298;1372;800;1049;1460;691;50;470;325;642;694
;geldige stembiljetten;;;12887;763;309;792;1050;163;590;901;492;298;1370;797;1047;1457;686;48;469;322;641;692
;blanco stembiljetten;;;23;2;0;4;3;0;0;1;0;0;2;1;1;2;3;2;0;1;1;0
;ongeldige stembiljetten;;;21;0;0;3;2;0;2;4;0;0;0;1;1;1;2;0;1;2;0;2
;aangetroffen stembiljetten;;;12931;765;309;799;1055;163;592;906;492;298;1372;799;1049;1460;691;50;470;325;642;694
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;PPA;;;3758;115;39;146;158;48;84;135;162;112;428;397;459;673;278;12;66;128;84;234
;;1;van Druenen, A.A.J.;947;21;8;14;27;2;10;14;8;6;14;148;176;287;121;4;11;55;10;11
;;2;Raaijmakers, P.J.H.;1245;58;11;76;64;13;46;20;133;88;339;33;26;50;27;3;39;13;37;169
;;3;Meijs, J.J.G.;224;2;0;2;0;0;1;0;1;0;1;66;48;72;22;0;0;5;2;2
;;4;Buckx, I.W.J.;185;8;6;17;22;8;7;4;14;8;23;8;9;12;9;0;4;6;7;13
;;5;van den Brand, S.A.T.;54;0;0;0;0;0;1;0;0;0;1;9;11;12;13;0;0;7;0;0
;;6;Verhoeven, A.W.M.;70;3;0;0;5;2;1;54;0;0;0;1;0;1;0;0;3;0;0;0
;;7;Deckers, J.M.C.M.;67;0;0;2;0;0;0;0;0;0;0;3;24;34;1;0;0;3;0;0
;;8;van Helvoirt, G.J.E.;34;0;0;0;0;0;0;1;0;0;0;8;6;13;2;0;0;2;0;2
;;9;van Druenen, A.A.;154;4;0;2;1;1;0;0;1;1;2;21;45;41;22;0;2;7;0;4
;;10;van der Burgt, M.G.J.;63;0;2;2;0;0;4;1;1;5;23;1;4;1;0;0;2;2;2;13
;;11;Groetelaers, H.L.M.;46;3;0;0;8;6;8;0;2;0;7;0;0;2;0;0;0;0;6;4
;;12;van Rooij, L.H.M.;73;9;5;14;13;14;1;0;0;1;6;0;1;0;0;0;2;0;4;3
;;13;Mathijssen, R.T.A.;63;0;1;0;0;0;0;1;0;0;0;11;17;24;6;0;0;2;0;1
;;14;Donders, P.H.M.;27;6;3;2;4;0;3;0;0;0;1;1;0;0;0;0;0;0;3;4
;;15;van Lanen, J.L.M.;26;0;0;0;3;0;0;0;0;1;0;9;2;5;2;0;0;4;0;0
;;16;Sterks, G.W.;16;0;0;2;0;0;0;1;0;0;8;0;0;0;1;0;0;0;1;3
;;17;van de Ven, H.H.M.;8;0;0;0;0;0;0;0;0;0;0;2;0;0;6;0;0;0;0;0
;;18;van der Weert-Westerbeek, A.H.M.;11;0;0;1;0;0;0;0;0;0;0;1;4;4;0;0;0;1;0;0
;;19;Verhoeven, W.P.;47;0;0;0;0;0;0;38;0;0;0;1;0;1;0;0;1;0;6;0
;;20;Smits, V.R.;39;0;0;0;0;0;0;0;0;0;0;3;8;12;14;0;0;0;0;2
;;21;Kuijs, P.P.J.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0
;;22;Vissers, M.J.H.;11;0;0;0;0;0;0;0;0;0;0;1;3;6;1;0;0;0;0;0
;;23;Stokkermans, C.P.M.;64;0;0;0;0;0;0;0;0;0;0;17;12;15;14;0;0;5;0;1
;;24;Sterks, A.H.;5;0;0;0;0;0;0;0;1;1;0;0;1;2;0;0;0;0;0;0
;;25;Meijer, S.;22;0;0;0;0;0;0;0;1;0;0;3;5;10;2;0;0;1;0;0
;;26;Meijer-Deckers, A.M.P.H.;21;0;0;0;0;0;0;0;0;0;0;0;9;11;1;0;0;0;0;0
