Verkiezing;;Gemeenteraad Son en Breugel 2022;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;
Gebied;;Gemeente Son en Breugel;;;;;;;;;;;;;;;
Nummer;;0848;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis, Raadhuisplein 1;De Zwaan, Markt 9;La Sonnerie, Nieuwstraat 45;Braecklant Amerikalaan 2;De Bongerd, Asteroïdelaan 2a;De Boerderij, Leeuwstraat 2;Voetbalver SBC, Afrikalaan 2;HTC Tennis, Rooijseweg 7;Gemeentehuis, Raadhuisplein 1;Braecklant, Amerikalaan 2;Gemeentehuis, Raadhuisplein 1;Braecklant, Amerikalaan 2;Berkenstaete, De Bontstraat 71
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13
Postcode;;;;;5691 AL;5691 AR;5691 AB;5691 KD;5694 WJ;5694 VR;5691 ZH;5691 PA;5691 AL;5691 KD;5691 AL;5691 KD;5691 SV
;opgeroepenen;;;14008;1907;1306;1716;2449;1795;1795;1970;1070;0;0;0;0;0
;geldige stempas;;;6717;1268;296;299;1200;887;503;338;150;462;281;622;392;19
;geldig volmachtbewijs;;;819;188;42;33;125;124;57;64;27;36;23;58;40;2
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;7536;1456;338;332;1325;1011;560;402;177;498;304;680;432;21
;geldige stembiljetten;;;7489;1446;337;327;1317;1005;557;396;175;497;303;677;432;20
;blanco stembiljetten;;;28;9;0;1;4;3;3;5;2;0;0;1;0;0
;ongeldige stembiljetten;;;17;1;1;4;3;3;0;1;0;1;1;1;0;1
;aangetroffen stembiljetten;;;7534;1456;338;332;1324;1011;560;402;177;498;304;679;432;21
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;2;0;0;0;1;0;0;0;0;0;0;1;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;2;0;0;0;1;0;0;0;0;0;0;1;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;DorpsVISIE;;;1560;294;73;80;246;278;132;86;33;95;48;134;58;3
;;1;Heeren, R.S.;609;115;19;29;99;110;56;23;8;48;21;48;31;2
;;2;de Jong, J.D.;50;13;1;4;9;3;3;3;2;4;1;5;2;0
;;3;Horden, W.K.;80;14;11;4;15;8;3;7;0;4;2;9;3;0
;;4;van de Weideven, M.M.J.H.;254;38;9;10;46;55;27;16;10;13;9;16;5;0
;;5;Meulenbroeks, F.P.J.;55;15;2;3;8;6;10;1;0;1;2;6;1;0
;;6;de Bruin, J.L.M.;84;15;5;3;8;16;9;0;5;3;5;9;5;1
;;7;Babin - Warmoeskerken, Y.A.;45;7;2;0;6;7;3;10;3;1;3;3;0;0
;;8;Frenken, J.P.;48;6;2;5;11;11;2;5;0;0;1;3;2;0
;;9;van Boxtel, M.L.J.;47;4;5;4;6;5;2;5;0;6;0;8;2;0
;;10;Meulenbroeks, R.P.M.K.;19;9;1;0;1;6;1;1;0;0;0;0;0;0
;;11;Groenemans, T.A.M.;37;10;3;0;7;3;2;2;3;2;0;5;0;0
;;12;Merks, A.H.G.;14;3;0;0;3;1;0;0;1;0;0;4;2;0
;;13;Vogels, H.J.M.;46;9;4;1;3;10;2;3;0;3;1;7;3;0
;;14;Reuvers, J.G.M.;8;0;0;0;6;1;0;0;0;0;1;0;0;0
;;15;Frenken, F.P.;20;6;1;1;2;3;1;4;0;1;0;1;0;0
;;16;Afsari, K.;3;0;0;0;1;0;1;0;0;0;0;1;0;0
;;17;Jansen, H.P.J.;23;3;0;1;5;6;1;1;0;4;0;2;0;0
;;18;Kat - de Jong, M.P.;6;4;0;0;1;1;0;0;0;0;0;0;0;0
;;19;van Eembergen, B.;3;3;0;0;0;0;0;0;0;0;0;0;0;0
;;20;van der Avoort - Doreleijers, E.W.A.M.;48;7;5;5;4;12;2;0;1;3;2;5;2;0
;;21;van Doleweerd, M.J.J.C.;8;0;0;0;0;5;2;0;0;1;0;0;0;0
;;22;Merks, J.L.A.F.;2;1;0;0;1;0;0;0;0;0;0;0;0;0
;;23;van der Hofstad, P.T.;4;2;1;0;0;0;0;0;0;0;0;1;0;0
;;24;Merks, L.A.G.M.;15;3;0;8;0;1;1;2;0;0;0;0;0;0
;;25;de Jongh, M.J.;2;0;0;1;0;0;0;1;0;0;0;0;0;0
;;26;Broks, W.J.A.H.;14;2;2;1;2;2;1;2;0;1;0;1;0;0
;;27;van Doleweerd, P.M.T.;16;5;0;0;2;6;3;0;0;0;0;0;0;0
2;VVD;;;1096;216;37;43;252;75;42;68;39;90;51;97;86;0
;;1;Merks, M.A.M.;583;100;21;19;133;50;29;32;16;58;24;60;41;0
;;2;Pasanea, J.P.;61;8;1;3;18;0;4;5;2;4;0;9;7;0
;;3;Pulles, M.J.S.;87;16;5;3;29;3;0;2;2;2;15;5;5;0
;;4;Dijkstra, R.H.M.;40;8;2;0;8;1;0;0;7;3;3;5;3;0
;;5;Segers, I.P.M.;169;34;5;11;38;13;5;13;9;15;3;10;13;0
;;6;Rooijakkers, P.L.M.;53;10;1;0;15;1;0;12;1;3;3;2;5;0
;;7;van het Nederend, F.W.;6;1;0;0;1;1;0;1;0;1;0;0;1;0
;;8;Teunissen, M.H.P.M.;36;14;1;5;1;0;2;1;0;1;0;3;8;0
;;9;Dekker, M.;9;1;0;0;1;3;0;2;0;2;0;0;0;0
