Verkiezing;;Gemeenteraad Valkenswaard 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Valkenswaard;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0858;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Zorgcentrum Kempenhof;Buurtgebouw De Horizon;Speeltuin Geenhoven;Ontmoetingscentrum De zoete inval;Gymnastiekzaal 't Gegraaf;Carolus gebouw;Scholengemeenschap Were Di;Gemeentehuis;Theater De Hofnar;Mariakerk;H. Martinuskerk;Dommelsche Bierbrouwerij;Sporthal de Belleman;Ons Dommels Plèkske;Clubgebouw  't Heike V.V. Dommelen;Het Dorpshuis;Ontmoetingskerk;Gymnastiekzaal 't Gegraaf;Gymnastiekzaal 't Gegraaf;Theater De Hofnar;Theater De Hofnar;H. Martinuskerk;H. Martinuskerk;Ons Dommels Plèkske;Ons Dommels Plèkske
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;514;515;914;915;1114;1115;1414;1415
Postcode;;;;;5554 JV;5554 PA;5552 SB;5552 EM;5552 BG;5554 AG;5553 CC;5554 DA;5554 DA;5555 AP;5551 AW;5551 AE;5551 EV;5551 EW;5551 TE;5556 VL;5554 JC;5552 BG;5552 BG;5554 DA;5554 DA;5551 AW;5551 AW;5551 EW;5551 EW
;opgeroepenen;;;25896;66;1600;1740;1312;1707;1972;1771;1819;1811;1746;1410;1571;1524;1491;1475;1080;1801;0;0;0;0;0;0;0;0
;geldige stempas;;;11257;48;545;419;541;350;774;508;771;522;838;515;523;649;414;499;454;579;116;181;417;699;148;274;197;276
;geldig volmachtbewijs;;;1473;4;69;57;65;43;75;67;104;78;122;59;64;68;53;70;81;84;16;25;53;104;16;43;27;26
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;12730;52;614;476;606;393;849;575;875;600;960;574;587;717;467;569;535;663;132;206;470;803;164;317;224;302
;geldige stembiljetten;;;12654;52;611;469;601;390;844;571;869;597;951;568;586;710;462;569;534;662;130;206;470;799;161;317;223;302
;blanco stembiljetten;;;60;0;2;6;4;3;4;3;3;3;8;5;0;6;5;0;1;0;2;0;0;3;1;0;1;0
;ongeldige stembiljetten;;;15;0;1;1;1;0;1;1;2;0;1;1;1;1;0;0;0;1;0;0;0;1;2;0;0;0
;aangetroffen stembiljetten;;;12729;52;614;476;606;393;849;575;874;600;960;574;587;717;467;569;535;663;132;206;470;803;164;317;224;302
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Vwaard Lokaal / Vitaal Vwaard;;;1999;9;99;111;102;83;171;100;130;77;151;81;70;113;57;51;55;83;27;49;80;147;30;39;30;54
;;1;van Steensel, P.C.N.M.;773;4;39;42;52;27;65;32;46;23;85;28;16;55;20;19;23;34;8;15;20;58;11;14;15;22
;;2;Kerkhoff, J.;54;0;4;1;1;1;9;5;5;4;4;4;1;3;1;0;0;1;2;0;0;4;0;0;0;4
;;3;Maas - Jacobs, M.T.C.;286;0;10;11;17;9;30;16;18;15;16;11;11;14;7;3;11;7;3;10;24;21;1;5;6;10
;;4;van Vlerken, S.B.N.E.;125;1;4;8;3;13;9;2;12;4;3;5;6;4;6;7;4;5;2;5;7;9;1;2;1;2
;;5;van Asten - Velter, G.H.M.;222;2;10;8;4;9;19;34;18;8;18;3;7;5;2;2;1;8;5;5;11;25;4;6;5;3
;;6;Boere - Struijk, W.J.C.M.;68;2;2;4;6;4;1;3;2;1;3;6;2;10;4;6;1;2;0;1;2;4;0;1;0;1
;;7;Geldens, F.J.H.;51;0;1;2;2;5;6;2;10;5;0;3;1;0;0;0;0;6;0;0;2;5;0;1;0;0
;;8;Jansen, A.J.M.;42;0;0;4;1;0;1;1;4;2;0;0;6;7;2;2;0;0;0;0;1;3;3;3;0;2
;;9;Mentjox, R.A.M.;29;0;0;0;2;0;0;0;0;0;1;7;2;1;4;0;0;2;0;2;0;3;3;0;0;2
;;10;van Son, P.J.W.G.;75;0;13;5;4;1;2;1;5;4;9;2;1;4;0;0;2;3;1;4;2;4;3;1;1;3
;;11;Wils, H.M.J.;25;0;3;4;3;2;0;0;3;1;2;0;0;0;0;0;1;3;0;2;0;0;0;1;0;0
;;12;Friesen, R.F.H.;21;0;2;1;1;1;0;0;2;1;0;1;5;0;0;0;1;3;0;0;2;1;0;0;0;0
;;13;Bos, A.M.W.;7;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0
;;14;Geldens, H.C.J.G.M.;24;0;0;8;1;3;1;0;0;3;1;1;0;1;0;2;1;0;0;0;0;2;0;0;0;0
;;15;van de Giessen, J.;5;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0
;;16;Trommels, J.F.;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Visser, P.D.;18;0;2;1;1;0;7;0;0;0;0;0;0;2;0;0;0;1;0;2;1;0;0;0;0;1
;;18;Claassen, M.H.E.;7;0;0;2;0;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0
;;19;van Steensel, M.P.A.;6;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;;20;Heijnemans, J.M.;4;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0
;;21;Follon, J.B.G.M.;8;0;1;0;0;1;1;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;1
;;22;Feijen, F.L.;30;0;0;4;1;0;5;1;0;3;4;1;0;1;2;0;0;1;1;0;0;3;1;1;0;1
;;23;van Baren, R.C.J.M.;15;0;0;0;0;0;2;0;0;2;0;1;2;1;0;3;0;2;0;0;1;0;0;1;0;0
;;24;van Gorkum, R.;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;25;van Steensel, C.A.J.;5;0;0;0;0;0;0;0;0;0;1;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0
;;26;Smolders, A.;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Wolterink, C.M.;13;0;4;0;0;1;0;1;2;0;0;0;0;0;0;1;0;0;0;0;3;1;0;0;0;0
;;28;van den Dungen, R.J.J.;15;0;0;0;0;2;0;0;0;0;0;1;5;0;2;0;0;0;0;0;0;0;2;3;0;0
;;29;Sweere, H.P.R.;17;0;0;1;0;1;3;2;1;0;1;2;1;1;0;1;0;0;0;1;0;2;0;0;0;0
;;30;van Son, G.;14;0;0;0;0;0;4;0;1;0;0;0;0;0;1;0;2;3;0;1;1;1;0;0;0;0
;;31;van Lieshout, L.P.H.;8;0;0;0;0;1;2;0;0;0;2;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0
;;32;van Vonderen, F.J.M.;26;0;0;1;0;1;1;0;1;1;1;3;1;1;0;0;8;0;4;0;2;0;0;0;1;0
2;H&G;;;3085;16;184;96;138;91;180;121;189;132;223;134;166;156;128;155;151;166;38;38;116;185;47;88;61;86
;;1;Geldens, T.P.T.H.;1009;4;82;42;44;26;66;40;77;47;64;41;60;46;36;45;42;48;13;8;29;62;14;19;19;35
;;2;Bots, B.F.B.J.;345;0;27;7;20;12;21;10;18;16;28;18;19;11;15;12;21;23;3;1;16;21;4;11;4;7
;;3;van den Berg, S.D.M.;340;1;14;6;15;9;23;12;13;11;12;18;30;40;21;28;5;7;3;7;10;15;3;17;11;9
;;4;van Daal, A.W.C.B.;169;1;6;2;7;5;9;9;14;15;5;7;8;6;3;11;2;18;2;0;15;11;1;7;2;3
;;5;Plompen, P.H.A.M.;338;8;29;11;18;12;16;10;19;9;22;8;6;9;12;7;38;19;5;8;19;23;11;10;4;5
;;6;Peters, J.B.W.M.;129;0;1;3;6;2;5;2;5;4;46;1;2;5;7;2;0;4;2;3;4;14;1;5;2;3
;;7;Verhoeven, W.A.;80;0;2;3;2;3;9;3;8;6;6;2;2;3;1;1;1;6;2;2;5;9;0;1;2;1
;;8;Hemels, B.M.J.C.;56;1;2;1;0;2;3;6;3;2;3;2;3;2;4;7;3;5;1;0;2;0;0;1;0;3
;;9;Jansen, R.C.A.;23;0;1;0;0;0;2;6;2;1;6;0;0;3;0;1;0;0;0;1;0;0;0;0;0;0
