Verkiezing;;Gemeenteraad Beesel 2022;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;
Gebied;;Gemeente Beesel;;;;;;;;;;;;;
Nummer;;0889;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Sporthal De Schans;Nester;Zalencentrum De Schakel;De Paersstjal (zaal);Eetcafé De Troubadour;Basisschool De Triolier;Grescollege;De Schakel;De Schakel;Eetcafé De Troubadour;Eetcafé De Troubadour
Gebiednummer;;;;;1;2;3;4;5;6;8;31;32;51;52
Postcode;;;;;5953 BW;5953 CP;5953 NB;5953 HG;5954 BH;5953 LR;5953 HL;5953 NB;5953 NB;5954 BH;5954 BH
;opgeroepenen;;;11054;1626;1541;1281;1562;2045;1858;1141;0;0;0;0
;geldige stempas;;;4636;557;415;502;681;679;312;197;327;570;157;239
;geldig volmachtbewijs;;;585;68;52;62;96;95;45;15;36;75;19;22
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;5221;625;467;564;777;774;357;212;363;645;176;261
;geldige stembiljetten;;;5185;624;466;561;767;764;354;210;362;644;175;258
;blanco stembiljetten;;;26;0;0;3;6;9;3;0;0;1;1;3
;ongeldige stembiljetten;;;8;1;1;0;3;1;0;2;0;0;0;0
;aangetroffen stembiljetten;;;5219;625;467;564;776;774;357;212;362;645;176;261
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;2;0;0;0;1;0;0;0;1;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;1;0;0;0;1;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;1;0;0;0;0;0;0;0;1;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0
1;CDA;;;1855;249;211;199;267;214;129;57;151;280;36;62
;;1;Huijs, A.J.G.;632;82;59;79;99;80;40;19;47;89;17;21
;;2;Cremers, L.A.P.;45;7;8;3;8;3;2;0;4;5;1;4
;;3;Killaars Schoolmeesters, W.M.;69;14;6;6;11;0;2;2;10;16;2;0
;;4;Pansters, K.;22;0;7;1;2;3;0;0;4;4;0;1
;;5;van der Avoort, M.J.G.A.;63;16;11;10;4;3;4;1;4;9;0;1
;;6;Teeuwen, B.;37;5;2;2;11;0;1;1;6;8;1;0
;;7;Timmermans, E.;33;10;6;3;4;2;5;0;2;1;0;0
;;8;Coumans, S.J.R.;90;11;10;9;12;23;8;7;2;7;0;1
;;9;Çelik, Y;38;4;3;7;5;1;10;2;0;6;0;0
;;10;Selen, J.P.A.;150;15;10;21;37;5;11;6;13;30;0;2
;;11;Vulders, C.L.M.;43;0;2;2;1;22;0;1;0;1;5;9
;;12;Rovers, T.L.J.M.;19;2;1;6;0;2;0;0;2;6;0;0
;;13;Roelofs Janssen, A.J.M.;20;1;0;3;6;3;2;1;2;2;0;0
;;14;Niessen, W.A.H.;54;2;2;2;8;12;6;0;9;10;0;3
;;15;Wanten, P.J.;2;0;1;1;0;0;0;0;0;0;0;0
;;16;Laumen van Geenen, E.J.D.;49;2;6;0;4;17;1;1;1;3;8;6
;;17;Killaars, P.B.G.;23;7;3;2;1;0;0;0;4;6;0;0
;;18;Rutten, W.J.J.;12;3;1;0;2;0;2;0;0;3;0;1
;;19;Linssen, E.G.J.;3;0;0;0;1;0;0;0;2;0;0;0
;;20;Simons, G.W.M.;7;0;1;1;3;0;1;0;0;1;0;0
;;21;Cremers, W.T.M.;14;0;6;4;0;0;0;0;0;4;0;0
;;22;Pubben, J.L.M.H.;8;3;1;0;0;0;2;0;2;0;0;0
;;23;Cuijpers, N.M.G.;7;0;1;1;3;0;0;1;0;1;0;0
;;24;Franssen, G.H.P.;4;2;0;0;0;0;0;0;0;0;0;2
;;25;Ligthart, G.W.M.;4;0;2;1;0;0;0;0;0;0;0;1
;;26;Heldens, F.T.M.;24;2;1;3;1;12;0;0;1;1;1;2
;;27;Jacobs, B.M.J.;383;61;61;32;44;26;32;15;36;67;1;8
2;V.L.P.;;;1338;204;115;173;264;59;127;91;95;168;23;19
;;1;Hendriks, J.J.A.G.;332;39;27;44;75;14;33;14;32;49;5;0
;;2;Franssen - Levels, E.A.M.;180;32;22;17;35;4;9;10;14;30;3;4
;;3;Smeets, L.M.A.;59;15;3;7;9;1;8;4;1;7;3;1
