Verkiezing;;Gemeenteraad Bergen (L) 2022;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;
Gebied;;Gemeente Bergen (L);;;;;;;;;;;;;;
Nummer;;0893;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Recreatiecentrum Den  Asseldonk;Stembureau Ontmoetingscentrum Bergen;Stembureau Voorportaal Sint Petruskerk;Stembureau Kerk Cosmas en Damianus;Stembureau MFC De Klaproos;Stembureau MFC De Buun;Stembureau Gemeenschapshuis 't Luukske;Stembureau Ontmoetingscentrum Bergen (maandag);Stembureau MFC De Buun (maandag);Stembureau Ontmoetingscentrum Bergen (dinsdag);Stembureau MFC De Buun (dinsdag);Stembureau Servicecomplex Maasduinen Staete
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;13
Postcode;;;;;5854 CC;5854 CW;5854 AK;5851 AM;5853 AX;5855 AD;5856 AS;5854 CW;5855 AD;5854 CW;5855 AD;5854 DA
;opgeroepenen;;;10981;1892;1853;583;1827;1703;2040;1000;0;0;0;0;83
;geldige stempas;;;4699;692;426;247;838;561;487;444;266;147;368;197;26
;geldig volmachtbewijs;;;678;94;63;39;115;105;89;66;29;18;38;21;1
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;5377;786;489;286;953;666;576;510;295;165;406;218;27
;geldige stembiljetten;;;5338;782;484;284;946;663;572;506;293;165;398;218;27
;blanco stembiljetten;;;20;1;1;1;4;1;2;4;1;0;5;0;0
;ongeldige stembiljetten;;;18;2;4;1;3;2;2;0;1;0;3;0;0
;aangetroffen stembiljetten;;;5376;785;489;286;953;666;576;510;295;165;406;218;27
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;1;1;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;1;1;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0
1;CDA;;;1488;201;102;59;335;256;126;124;73;42;98;55;17
;;1;Knoops, J.J.M.;492;62;52;16;55;144;14;31;30;7;52;16;13
;;2;Splinter, A.;200;13;10;13;4;11;77;10;7;25;7;23;0
;;3;Jacobs, K.J.W.;132;1;0;1;120;2;1;2;0;0;3;2;0
;;4;Cornelissen, J.W.C.P.;166;71;21;10;14;0;4;1;20;1;19;3;2
