Verkiezing;;Gemeenteraad Brunssum 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Brunssum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0899;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Brikke Oave;Gymzaal voormalige BS Rumpenerhof;Kantine BSV Limburgia;Gymzaal BMV Bronsheim 1;Gymzaal BMV Bronsheim 2;Sporthal Rumpen 1;Sporthal Rumpen 2;Brede School Langeberg;Verenigingsgebouw De Burcht;Sporthal Brede School Treebeek 1;Sporthal Brede School Treebeek 2;Sporthal Brede School Treebeek 3;BS De Caleidoscoop;Kantine RKVV de Leeuw;Noorderhuis;Microhal 1;Microhal 2;Drive through stemstraat 1 Woensdag;Drive through stemstraat 2 Woensdag;Mobiel besloten stembureaus;Brikke Oave maandag;Sporthal Brede School Treebeek Maandag;Drive through stemstraat 1 Maandag;Drive through stemstraat 2 Maandag;Brikke Oave Dinsdag;Sporthal Brede School Treebeek Dinsdag;Drive through stemstraat 1 Dinsdag;Drive through stemstraat 2 Dinsdag;De Stembus
Gebiednummer;;;;;001;002;003;004;005;006;007;008;009;010;011;012;013;014;015;016;017;113;114;115;120;121;122;123;125;126;127;128;129
Postcode;;;;;6444 AT;6443 AE;6441 SW;6442 AJ;6442 AJ;6443 BS;6443 BS;6445 EM;6445 CE;6446 AK;6446 AK;6446 AK;6444 CL;6444 KL;6441 JJ;6441 HW;6441 HW;;;;6444 AT;6444 AK;;;6444 AT;6446 AK;;;
;opgeroepenen;;;23359;1636;1603;923;1160;1564;1365;1198;1124;1232;1412;1537;1135;2051;1632;1037;1919;831;0;0;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;8878;1024;202;288;199;209;219;161;440;421;403;290;347;578;243;335;384;379;111;95;19;568;357;62;68;734;426;82;80;154
;geldig volmachtbewijs;;;1421;184;28;63;42;29;32;30;73;83;79;46;45;90;49;70;65;43;16;13;0;80;39;13;15;103;62;18;11;0
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;10299;1208;230;351;241;238;251;191;513;504;482;336;392;668;292;405;449;422;127;108;19;648;396;75;83;837;488;100;91;154
;geldige stembiljetten;;;10218;1193;228;351;239;237;251;189;513;503;476;332;385;661;288;403;446;416;126;107;19;646;393;75;82;830;487;99;90;153
;blanco stembiljetten;;;51;10;2;0;2;1;0;2;0;0;3;3;3;6;4;1;4;1;0;1;0;0;0;0;0;5;1;1;1;0
;ongeldige stembiljetten;;;30;4;0;0;0;0;0;0;0;1;3;1;4;1;0;1;2;2;1;0;0;2;3;0;1;3;0;0;0;1
;aangetroffen stembiljetten;;;10299;1207;230;351;241;238;251;191;513;504;482;336;392;668;292;405;452;419;127;108;19;648;396;75;83;838;488;100;91;154
;meer stembiljetten dan toegelaten kiezers;;;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;andere verklaring;;;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
1;Burger Belangen Brunssum Lijst Palmen;;;1651;180;32;93;54;45;37;31;61;76;74;45;58;82;31;48;111;108;27;10;4;96;52;11;6;148;72;18;12;29
;;1;Nelissen, B.;418;38;6;32;12;12;12;7;24;12;21;9;16;20;8;10;33;27;6;1;2;15;11;3;2;32;18;6;7;16
;;2;Snackers, L.J.H.;215;24;10;8;6;4;6;2;4;6;10;8;6;9;6;9;9;6;6;2;0;25;5;0;0;31;9;1;1;2
;;3;Mertens, J.M.V.L.;318;46;2;12;11;11;14;11;16;20;5;5;9;17;7;11;21;18;4;1;0;23;11;1;3;29;5;3;2;0
;;4;Claessen, R.J.A.;39;2;1;1;0;3;0;1;1;0;3;5;1;2;0;1;3;2;0;0;0;2;1;0;0;7;1;1;0;1
;;5;Klement, R.M.;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
;;6;Dieteren, G.F.Y.;30;2;0;0;1;1;0;1;0;0;0;0;0;1;0;0;5;9;1;1;0;1;0;0;0;7;0;0;0;0
;;7;Raadschelders, J.C.M.;40;3;1;2;3;0;2;0;2;0;3;3;0;0;1;1;1;9;0;1;0;0;1;0;0;1;5;0;0;1
;;8;Houkes, R.;62;2;2;0;4;1;2;1;0;4;11;3;3;2;0;0;1;4;0;0;0;1;5;1;1;3;5;2;0;4
;;9;Bloemen, A.P.J.;25;1;0;2;0;0;0;0;1;5;0;0;3;0;4;2;0;1;0;0;0;2;0;1;0;2;1;0;0;0
;;10;Podbregar, F.W.;5;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;11;Hellenbrand, J.H.;13;1;0;3;0;0;0;0;0;0;0;0;1;0;0;1;1;3;0;2;0;0;0;0;0;1;0;0;0;0
;;12;Cierniak-Jessa, J.;29;1;0;1;1;0;0;0;0;4;2;3;2;3;1;0;1;3;2;0;0;0;0;0;0;3;1;0;1;0
;;13;van Loorbeek-Godding, G.E.;47;1;0;32;2;0;0;2;0;4;1;0;2;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;14;Palmen, J.M.H.;406;58;9;0;14;13;1;4;13;21;18;9;15;26;4;13;36;26;8;2;2;21;18;5;0;32;27;5;1;5
2;Pak (Progressief Akkoord Brunssum);;;2429;234;57;92;69;69;56;38;80;86;115;85;92;122;76;146;99;118;26;29;4;163;118;24;28;196;131;17;37;22
;;1;L' Espoir, S.J.H.;1013;99;28;43;31;32;18;17;29;49;38;29;31;48;25;42;53;63;8;14;0;82;36;14;10;85;50;8;22;9
;;2;Luit, G.G.;369;22;9;8;5;6;8;3;12;9;30;24;15;27;25;12;9;13;0;3;1;22;41;1;2;14;38;4;3;3
;;3;Janssen, J.H.J.;140;13;1;7;4;1;1;2;7;2;4;0;3;4;8;28;3;7;4;4;0;6;1;0;6;19;5;0;0;0
;;4;Hermans, V.;150;17;3;6;1;2;5;2;2;5;7;3;11;6;9;19;7;12;1;0;0;4;6;1;0;9;9;0;2;1
;;5;Houben, P.M.J.;89;12;5;3;7;0;4;5;1;1;3;3;5;5;0;3;2;1;4;0;0;5;1;1;1;13;2;1;1;0
;;6;Offermans, S.;129;17;1;4;1;4;1;0;2;4;8;6;5;8;4;8;5;12;1;0;0;13;6;0;0;10;5;2;1;1
;;7;Kusters, J.G.;53;1;0;5;0;0;0;0;2;0;10;8;7;1;2;0;0;0;2;0;0;1;1;3;0;5;5;0;0;0
;;8;Renkens, N.P.;29;3;0;1;1;0;0;0;0;1;2;0;0;3;1;2;2;2;0;2;0;0;2;0;0;2;4;1;0;0
;;9;Kessels, M.G.H.;40;1;0;1;0;0;3;4;3;1;0;2;2;4;0;1;3;0;1;0;0;0;3;0;0;5;3;0;0;3
;;10;Ebbinge, G.;77;3;0;2;4;0;2;0;1;1;8;4;2;4;0;2;2;3;0;0;3;6;9;1;1;9;4;1;0;5
;;11;van Nunen, J.J.W.F.;8;0;0;0;0;0;0;1;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;12;Raithel, V.E.G.;30;12;2;1;0;0;3;0;2;0;2;2;1;1;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0
;;13;Jaeqx, H.J.B.G.;14;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;4;0;0;0;0;0;2;3;0;1;0;0;0;0
;;14;Drenth, P.K.;177;27;8;9;14;23;11;4;5;3;3;2;2;5;0;4;7;1;1;6;0;10;4;0;4;19;1;0;4;0
;;15;Teunen, F.W.;24;0;0;1;0;0;0;0;2;0;0;1;1;1;0;9;0;0;0;0;0;4;0;0;3;1;0;0;1;0
;;16;Byrnes, H.E.;19;0;0;0;0;0;0;0;0;4;0;0;0;1;0;8;0;0;2;0;0;0;0;0;0;2;0;0;2;0
;;17;van der Linden, P.A.M.;18;0;0;1;0;0;0;0;0;4;0;0;0;2;0;5;0;1;0;0;0;2;1;0;0;0;2;0;0;0
;;18;Daemen, M.E.G.A.;28;3;0;0;0;0;0;0;8;1;0;0;2;0;0;2;1;1;2;0;0;4;1;0;1;1;0;0;1;0
;;19;van der Linden, A.;22;4;0;0;1;0;0;0;0;1;0;0;2;2;2;0;1;2;0;0;0;3;3;0;0;1;0;0;0;0
3;VVD;;;1715;291;28;55;17;20;45;27;111;73;83;53;72;140;54;57;43;43;34;19;0;115;51;17;12;133;75;18;9;20
;;1;van Dijk, J.L.W.;519;75;5;9;3;4;14;14;53;32;30;13;19;29;22;24;15;10;15;8;0;28;17;5;2;45;21;5;0;2
