Verkiezing;;Gemeenteraad Eijsden-Margraten 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Eijsden-Margraten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1903;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeenschapshuis Bemelen;Harmoniezaal Banholt;Harmoniezaal Mheer;Paviljoen Berggalm;Fanfarezaal;Harmoniezaal Eckelrade;Gemeenschapshuis Scheulder;Zaal-café Riékelt;Feesthoeve De Laethof;Gemeentehuis;'t Keerhoes (nummer 1);Restaurant de Grenedeer;Kantine S.V.M.E.;Buitengoed de Moosjtum;Cultureel Centrum;Zaal K.O.H.;Café 't Flaterke;'t Keerhoes (nummer 2);Gemeentehuis;'t Keerhoes (nummer 1);Restaurant de Grenedeer;Zaal K.O.H.;Harmoniezaal Mheer;Gemeentehuis;'t Keerhoes (nummer 1);Restaurant de Grenedeer;Zaal K.O.H.;Harmoniezaal Mheer
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;23;24;60;61;62;63;64;70;71;72;73;74
Postcode;;;;;6268 NE;6262 NX;6261 NH;6255 AH;6265 AK;6251 NB;6307 PC;6247 AN;6245 KK;6269 DA;6267 CG;6247 AA;6245 SK;6245 LB;6245 EG;6245 BH;6269 AN;6267 CG;6269 DA;6267 CG;6247 AA;6245 BH;6261 NH;6269 DA;6267 CG;6247 AA;6245 BH;6261 NH
;opgeroepenen;;;21211;484;824;743;923;1154;580;272;547;351;1698;1596;1870;2278;760;1887;2451;1461;1332;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;11212;290;489;296;499;604;303;163;285;212;821;470;548;530;367;900;739;313;436;287;244;141;434;95;428;361;222;585;150
;geldig volmachtbewijs;;;1715;47;68;40;79;103;51;18;41;32;139;59;78;110;97;151;106;67;57;28;33;10;46;10;59;33;27;103;23
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;12927;337;557;336;578;707;354;181;326;244;960;529;626;640;464;1051;845;380;493;315;277;151;480;105;487;394;249;688;173
;geldige stembiljetten;;;12845;335;555;332;578;704;350;181;326;242;957;522;619;638;460;1039;841;378;491;308;276;151;476;105;483;391;248;687;172
;blanco stembiljetten;;;43;0;2;2;0;3;0;0;0;0;1;4;4;1;3;7;1;0;1;2;0;0;2;0;4;3;1;1;1
;ongeldige stembiljetten;;;39;2;0;2;0;0;4;0;0;2;2;3;3;1;1;5;3;2;1;5;1;0;2;0;0;0;0;0;0
;aangetroffen stembiljetten;;;12927;337;557;336;578;707;354;181;326;244;960;529;626;640;464;1051;845;380;493;315;277;151;480;105;487;394;249;688;173
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;CDA;;;3663;87;309;151;258;318;58;93;69;84;292;142;36;84;250;181;133;138;123;108;92;11;76;48;186;118;23;109;86
;;1;Steijns - Huids, N.H.G.M.;526;2;236;6;7;26;8;43;9;1;17;12;9;8;5;25;13;13;7;9;14;1;8;7;12;8;4;7;9
;;2;Custers, J.E.M.;398;4;6;5;5;246;16;0;4;3;20;2;4;4;2;13;4;8;7;6;0;3;2;3;13;2;3;4;9
;;3;Jacobs, G.J.M.;534;1;2;0;2;13;1;1;35;27;5;0;6;32;150;95;57;1;5;1;1;2;36;1;4;2;3;51;0
