Verkiezing;;Gemeenteraad Gennep 2022;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;
Gebied;;Gemeente Gennep;;;;;;;;;;;;;;
Nummer;;0907;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;De Goede Herder (maandag);Buurthuis VanOns (maandag);De Goede Herder (dinsdag);Buurthuis VanOns (dinsdag);De Goede Herder;Buurthuis VanOns;Zaal Buurman;Trefpunt;'t Hökske;Zaal Pica Mare;D'n Toomp, Heijen;De Uitkomst
Gebiednummer;;;;;1;2;3;4;7;8;9;10;11;13;14;15
Postcode;;;;;6591 AV;6591 XA;6591 AV;6591 XA;6591 AV;6591 XA;6595 AD;6596 AK;6591 GD;6591 JE;6598 AW;6599 AA
;opgeroepenen;;;14238;512;615;819;922;717;2049;1741;1946;1434;1229;1639;615
;geldige stempas;;;6410;408;207;486;286;508;613;904;1147;489;221;781;360
;geldig volmachtbewijs;;;830;47;19;49;32;68;81;128;193;63;34;83;33
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;7240;455;226;535;318;576;694;1032;1340;552;255;864;393
;geldige stembiljetten;;;7182;453;222;528;316;572;683;1026;1337;544;254;855;392
;blanco stembiljetten;;;36;1;4;7;2;2;4;4;1;3;1;6;1
;ongeldige stembiljetten;;;22;1;0;0;0;2;7;2;2;5;0;3;0
;aangetroffen stembiljetten;;;7240;455;226;535;318;576;694;1032;1340;552;255;864;393
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0
1;CDA;;;2025;135;74;137;63;123;130;375;450;161;46;131;200
;;1;van Bergen, J.W.G.;756;66;30;56;18;52;50;240;96;24;17;63;44
;;2;Reintjes, A.G.H.;336;25;22;30;16;20;29;42;7;87;21;19;18
;;3;Rutten, R.J.M.;233;2;3;1;1;2;5;1;214;0;1;3;0
;;4;van Dijck, D.A.J.;60;1;0;4;0;2;0;1;50;1;0;1;0
;;5;Cillessen, Y.H.J.M.;99;9;2;9;7;8;17;32;3;3;1;4;4
;;6;Sutmuller, J.J.M.;21;1;0;0;0;1;0;0;3;2;1;13;0
;;7;Nabuurs, M.J.P.M.;100;0;0;5;1;0;2;5;0;0;0;4;83
;;8;van de Ven-Snellen, F.P.M.;63;7;6;5;5;7;7;7;6;4;1;6;2
;;9;Weijers, T.;67;6;4;4;8;7;10;16;1;7;2;0;2
;;10;Peperzak, R.T.M.;83;5;1;7;2;6;2;5;45;2;1;2;5
;;11;Reinten, R.A.;18;0;0;1;0;0;1;0;2;13;0;1;0
;;12;Peeters Weem, R.J.M.;12;0;0;0;0;0;0;7;0;5;0;0;0
;;13;Haasen, A.P.J.M.;45;1;0;0;0;1;2;1;1;0;0;0;39
;;14;Cloin, G.A.A.M.;9;8;0;1;0;0;0;0;0;0;0;0;0
;;15;Sahertian, C.;14;0;2;0;0;3;2;0;1;6;0;0;0
;;16;Hopman, G.J.M.;3;0;0;0;0;0;0;2;0;0;0;0;1
;;17;Emons-Smits, H.A.M.;6;0;0;1;0;1;0;0;2;0;0;1;1
;;18;de Bruin, A.;11;0;0;1;1;0;0;0;0;0;0;9;0
;;19;Felling, A.J.A.;13;0;2;3;1;3;2;1;1;0;0;0;0
;;20;den Boer, L.J.M.;31;3;1;6;2;6;0;6;3;2;1;1;0
;;21;Arts, A.M.F.;6;1;0;2;0;2;0;0;0;1;0;0;0
;;22;Cobussen, E.J.M.;17;0;0;0;0;0;1;2;14;0;0;0;0
;;23;Lamers-Willems, G.M.M.;5;0;0;0;0;0;0;1;0;0;0;4;0
;;24;De Roij, C.J.M.;3;0;0;0;0;0;0;0;0;3;0;0;0
