Verkiezing;;Gemeenteraad Gulpen-Wittem 2022;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Gulpen-Wittem;;;;;;;;;;;;;;;;;
Nummer;;1729;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeenschapshuis 't Gulper Hoes;Gemeenschapshuis Reijmerstok;Gemeenschapshuis Wielderhoes;Gemeenschapshuis A gen Sjoeel;Gemeenschapshuis 't Patronaat;Voormalig Sophiarum;Gemeenschapshuis A ge Wienhoes;Gymzaal basisschool Klavertje Vier;Gemeenschapshuis Wilder Tref;Fanfarezaal Berg en Dl;Gemeentehuis Gulpen-Wittem;Gemeenschapshuis 't Gulper Hoes (maandag);Gemeenschapshuis 't Patronaat (maandag);Gemeenschapshuis 't Gulper Hoes (dinsdag);Gemeenschapshuis 't Patronaat (dinsdag)
Gebiednummer;;;;;1;3;4;6;7;8;9;10;11;12;13;26;27;28;29
;opgeroepenen;;;12119;1598;682;2062;1519;882;598;598;1427;456;541;1756;0;0;0;0
;geldige stempas;;;6478;783;295;986;796;367;291;343;827;235;286;241;365;68;454;141
;geldig volmachtbewijs;;;1153;150;51;149;151;84;47;61;122;38;51;54;76;19;75;25
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;7631;933;346;1135;947;451;338;404;949;273;337;295;441;87;529;166
;geldige stembiljetten;;;7570;925;345;1130;940;442;335;402;936;273;334;295;441;87;522;163
;blanco stembiljetten;;;38;4;1;2;5;8;0;1;9;0;2;2;0;0;2;2
;ongeldige stembiljetten;;;24;4;0;3;2;0;3;1;4;0;1;0;0;0;5;1
;aangetroffen stembiljetten;;;7632;933;346;1135;947;450;338;404;949;273;337;297;441;87;529;166
;meer stembiljetten dan toegelaten kiezers;;;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;PRO Gulpen-Wittem;;;2127;220;86;345;298;89;54;153;290;56;104;71;129;32;157;43
;;1;van der Kleij, A.M.;799;73;16;86;206;51;23;34;64;17;52;21;47;26;64;19
;;2;Cremers, J.I.A.A.;185;6;0;14;8;2;1;5;134;1;1;2;7;0;3;1
;;3;Vos, S.A.M.M.;199;61;2;7;12;2;2;7;7;9;4;32;23;1;27;3
;;4;Duyvendak, M.L.;100;3;0;68;1;2;0;14;0;0;4;0;3;0;5;0
;;5;Ubaghs, W.J.;31;9;2;2;5;0;0;0;1;1;0;4;0;0;5;2
;;6;Nijssen, R.M.W.;27;6;1;3;1;0;1;0;0;3;3;4;1;0;3;1
;;7;van Houtem, E.A.M.;113;6;39;4;4;20;0;7;3;0;12;2;1;4;3;8
;;8;Willems, I.C.R.;134;7;0;6;10;2;10;47;12;19;4;0;6;0;7;4
;;9;Hupperichs, L.L.E.;59;3;0;33;3;5;0;4;3;1;2;0;1;1;3;0
;;10;Van Proemeren, C.N.M.;61;0;1;46;5;1;0;2;1;0;1;2;2;0;0;0
;;11;Kockelkoren, J.J.J.;33;1;0;21;2;0;0;5;0;0;1;0;0;0;3;0
;;12;Moeke, R.J.;13;2;0;7;0;0;0;1;0;0;1;0;1;0;1;0
