Verkiezing;;Gemeenteraad Horst aan de Maas 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Horst aan de Maas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1507;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Voormalige locatie Bibliotheek (Horst);Voormalige locatie Action;'t Gasthoes (Horst);De Lèste Geulde (Horst);Kantine Sporthal Dendron (Horst);Gemeenschapshuis Aan de Brug (America);Gemeenschapshuis de Zaal (Griendtsveen);Zaal Debije (Hegelsom);MFC de Zwingel (Melderslo);"MFC ""De Meulewiek"" (Meterik)";"BMV ""De Schakel"" (Broekhuizenvorst)";Het Brouwershuis (Broekhuizen);De Smetenhof (Lottum);MFC 't Haeren (Grubbenvorst);Beej Toën (Grubbenvorst);Sporthal De Kruisweide (Sevenum);Zalencentrum De Wingerd (Sevenum);De Torrekoel (Kronenberg);'t Brugeind (Meerlo);Café-Zaal Wilhelmina (Swolgen);Dienstencentrum Zonnehof (Tienray);"Kapel ""de Schuilplaats"" (Horst)";De Gaper (Sevenum);Voormalige locatie Bibliotheek (Horst);Voormalige locatie Bibliotheek (Horst);Kantine Sporthal Dendron (Horst);Kantine Sporthal Dendron (Horst);MFC 't Haeren (Grubbenvorst);MFC 't Haeren (Grubbenvorst);Zalencentrum De Wingerd (Sevenum);Zalencentrum De Wingerd (Sevenum)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
Postcode;;;;;5961 VG;5961 EZ;5961 GA;5961 XW;5961 BE;5966 NM;5766 PP;5963 AG;5962 AT;5964 AC;5871 AW;5872 AE;5973 PL;5971 BS;5971 CG;5975 AN;5975 BN;5976 NS;5864 BZ;5866 BH;5865 BL;5961 JX;5975 AM;5961 VG;5961 VG;5961 BE;5961 BE;5971 BS;5971 BS;5975 BN;5975 BN
;opgeroepenen;;;35519;2154;1957;2257;1600;1145;1705;430;1795;1810;1381;935;633;1649;2023;1972;1701;1853;1287;1532;1059;1001;1735;1905;0;0;0;0;0;0;0;0
;geldige stempas;;;16924;759;261;1230;753;384;725;228;781;834;629;466;362;770;702;425;763;773;637;726;535;396;445;433;396;617;137;201;290;395;289;582
;geldig volmachtbewijs;;;2396;118;34;155;91;56;116;27;119;123;115;62;56;121;82;58;112;122;97;92;95;47;61;81;43;89;22;26;31;38;34;73
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;19320;877;295;1385;844;440;841;255;900;957;744;528;418;891;784;483;875;895;734;818;630;443;506;514;439;706;159;227;321;433;323;655
;geldige stembiljetten;;;19228;874;295;1379;839;439;839;255;893;950;742;526;418;889;775;481;868;890;730;813;627;441;501;511;438;708;159;225;318;429;321;655
;blanco stembiljetten;;;57;0;0;6;2;1;1;0;5;4;2;0;0;2;2;1;3;4;2;5;3;1;5;3;1;0;0;0;2;2;0;0
;ongeldige stembiljetten;;;37;3;0;0;3;0;1;0;2;3;0;2;0;0;7;1;4;1;2;0;0;1;0;0;0;0;0;2;1;2;2;0
