Verkiezing;;Gemeenteraad Mook en Middelaar 2022;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;
Gebied;;Gemeente Mook en Middelaar;;;;;;;;;
Nummer;;0944;;;;;;;;;
;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeenschapshuis Mook district 1;MFC De Koppel Middelaar;Gemeenschapshuis M'hoek district 3;Gemeenschapshuis Mook district 4;Gemeenschapshuis M'hoek district 5;Gemeenschapshuis Mook district 4;Gemeenschapshuis M'hoek district 3
Gebiednummer;;;;;1;2;3;4;5;6;7
Postcode;;;;;6585 KE;6587 AV;6584 BD;6585 KE;6584 BD;6585 KE;6584 BD
;opgeroepenen;;;6706;1359;1030;1499;1278;1540;0;0
;geldige stempas;;;3764;549;521;648;488;596;353;609
;geldig volmachtbewijs;;;470;95;60;69;62;78;44;62
;geldige kiezerspas;;;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;4234;644;581;717;550;674;397;671
;geldige stembiljetten;;;4212;638;579;713;547;672;393;670
;blanco stembiljetten;;;18;4;1;4;4;2;2;1
;ongeldige stembiljetten;;;5;1;2;0;0;0;2;0
;aangetroffen stembiljetten;;;4235;643;582;717;551;674;397;671
;meer stembiljetten dan toegelaten kiezers;;;2;0;1;0;1;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;1;1;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0
;andere verklaring;;;2;1;0;0;1;0;0;0
1;Dorpsgroepering Pouwels (DGP);;;1194;173;254;174;146;189;80;178
;;1;Herings, A.F.;369;68;65;57;44;49;31;55
;;2;van der Linden, L.G.;99;3;2;30;3;37;0;24
;;3;Mulders, J.E.M.;154;28;16;17;41;17;22;13
;;4;Baars, F.;20;6;0;1;3;7;3;0
;;5;Janssen Groesbeek-Cremers, Y.P.M.;157;8;5;28;8;42;7;59
;;6;Smits - Janssen, H.A.W.;158;2;149;2;1;1;1;2
;;7;Eeren, R.T.P.;112;36;1;17;29;11;9;9
;;8;Megens, B.H.W.;29;10;0;4;6;6;0;3
;;9;de Bruin, A.J.P.;13;0;0;5;0;4;4;0
