Verkiezing;;Gemeenteraad Simpelveld 2022;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;
Gebied;;Gemeente Simpelveld;;;;;;;;;;;;
Nummer;;0965;;;;;;;;;;;;
;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Markt (maandag);Markt (dinsdag);Sporthal Bocholtz (maandag);Sporthal Bocholtz (dinsdag);Markt;Café / Partycentrum Oud-Zumpelveld A;Café / Partycentrum Oud-Zumpelveld B;Sporthal Bocholtz A;Café Oud Bocholtz;Kantine Sportclub 25 Bocholtz
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10
Postcode;;;;;6369 AH;6369 AH;6351 HJ;6351 HJ;6369 AH;6369 VL;6369 VL;6351 HJ;6351 GK;6351 JN
;opgeroepenen;;;8782;0;0;0;0;2150;1250;1400;1900;1900;182
;geldige stempas;;;4282;416;602;317;405;1034;109;122;798;290;189
;geldig volmachtbewijs;;;680;54;100;51;68;178;18;15;125;41;30
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;4962;470;702;368;473;1212;127;137;923;331;219
;geldige stembiljetten;;;4912;463;698;363;468;1199;122;136;914;330;219
;blanco stembiljetten;;;31;5;3;2;2;9;4;1;5;0;0
;ongeldige stembiljetten;;;16;1;1;0;3;4;1;0;5;1;0
;aangetroffen stembiljetten;;;4959;469;702;365;473;1212;127;137;924;331;219
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;1;0;0
;minder stembiljetten dan toegelaten kiezers;;;4;1;0;3;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;5;1;0;3;0;0;0;0;1;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0
1;BurgerBelangen;;;1251;52;74;150;218;140;15;18;348;141;95
;;1;Spirk, P.H.;262;5;17;35;56;9;0;0;74;42;24
;;2;Schleijpen, W.J.H.;123;6;10;17;14;15;6;1;35;13;6
;;3;Clignet, H.A.J.;75;1;2;13;20;9;0;1;19;6;4
;;4;Dreesens, L.A.H.;60;3;3;2;16;5;0;0;10;11;10
;;5;Deswijzen, L.G.M.;102;0;2;8;41;5;0;0;21;13;12
;;6;Clignet, F.M.C.;42;3;5;4;5;6;0;0;9;8;2
;;7;Loo, E.M.V.;130;4;5;17;17;10;0;0;47;22;8
;;8;Meijers, J.H.;17;8;6;0;0;2;1;0;0;0;0
;;9;Schreuders, N.M.M.;38;7;4;0;3;16;3;4;1;0;0
;;10;Weeren, D.T.J.;21;2;2;0;0;14;0;2;1;0;0
;;11;Heuts, H.H.J.;11;0;0;2;5;2;0;0;2;0;0
;;12;Meessen, H.J.;18;3;3;0;0;4;1;7;0;0;0
;;13;Vaessen, D.G.M.H.;25;0;1;1;4;2;0;0;13;1;3
;;14;Beenen, H.J.P.;29;3;0;9;3;4;2;0;4;0;4
;;15;Hassert, J.E.;13;0;2;1;0;1;1;0;6;0;2
;;16;van Wersch-Hendriks, L.W.J.;10;0;0;3;2;0;0;1;4;0;0
;;17;Schokker, R.C.;60;0;1;8;12;2;0;2;21;10;4
;;18;Jaegers, R.N.A.;7;0;0;3;1;0;0;0;3;0;0
;;19;Winthagen, S.A.M.;16;1;3;0;0;9;1;0;2;0;0
;;20;Schaap, H.J.;14;0;0;4;1;1;0;0;5;1;2
;;21;Honings, T.A.;17;0;0;0;5;5;0;0;7;0;0
;;22;van Maanen, N;14;0;1;4;0;2;0;0;6;1;0
;;23;Clignet, A.P.M.;0;0;0;0;0;0;0;0;0;0;0
;;24;Possen, Y.R.R.G.;23;3;0;6;4;0;0;0;9;1;0
;;25;Sijstermans, M.E.M.W.;10;0;0;0;0;0;0;0;3;7;0
;;26;Hodiamont, B.J.J.M.;12;0;1;3;0;2;0;0;4;2;0
;;27;Donners, H.G.A.;12;0;0;0;0;0;0;0;12;0;0
;;28;Franssen, H.F.A.;19;2;3;0;0;0;0;0;10;0;4
;;29;Claus, R.A.K.J.;3;0;0;0;2;0;0;0;1;0;0
;;30;Habets, R.F.B.W.;5;0;0;0;0;1;0;0;2;2;0
;;31;Kicken, J.J.;4;0;0;0;0;3;0;0;0;0;1
;;32;Hanssen, J.H.H.;15;0;0;4;2;2;0;0;7;0;0
;;33;Haagen, P.J.;14;1;3;3;0;2;0;0;2;0;3
;;34;Franken, A.;6;0;0;1;1;0;0;0;4;0;0
;;35;van Can, D.;14;0;0;0;3;6;0;0;2;0;3
;;36;Beckers, G.H.J.;10;0;0;2;1;1;0;0;2;1;3
2;CDA;;;696;65;92;49;62;194;11;18;149;35;21
;;1;van Kerkvoort, J.H.M.;173;24;23;12;15;57;7;5;14;13;3
;;2;Ernes, A.A.H.;141;5;20;10;10;42;2;7;36;4;5
;;3;Vanhommerig-Dullens, K.L.M.;116;17;22;3;5;40;0;4;17;6;2
;;4;Ortmans, J.H.;39;0;0;4;8;2;1;0;19;5;0
;;5;Körver, T.;32;1;0;3;2;4;0;0;20;0;2
;;6;Jorissen, J.;9;0;4;0;0;4;0;0;0;0;1
;;7;Ortmans, M.S.S.;8;3;0;0;1;1;0;0;2;1;0
;;8;Wijckmans-Jongen, J.C.C.;15;0;0;0;1;3;0;0;11;0;0
;;9;Lentzen, R.L.J.;3;0;0;0;0;1;0;0;2;0;0
;;10;Hartzheim-Prumpeler, S.A.;8;1;1;0;0;6;0;0;0;0;0
;;11;Biermans, M.J.C.;4;0;0;0;4;0;0;0;0;0;0
;;12;Hoeppener-Schlenter, C.H.J.;12;1;2;2;0;0;0;0;3;0;4
;;13;Philippens, J.C.G.;14;3;1;1;0;7;1;0;1;0;0
;;14;Cornelissen, R.W.A.;17;2;4;2;0;9;0;0;0;0;0
;;15;Schrijen, J.L.M.;5;0;0;0;0;1;0;0;4;0;0
;;16;Philippens, J.H.W.;6;0;1;0;0;2;0;0;2;1;0
;;17;Franken, P.P.J.G.;9;1;1;3;1;0;0;1;2;0;0
;;18;Dejalle, M.B.G.;9;0;1;1;3;0;0;0;1;1;2
;;19;Bardoul-Franken, E.J.M.;28;7;8;0;0;10;0;0;2;1;0
;;20;Brouns-Vaessen, M.G.E.;38;0;0;8;10;4;0;1;10;3;2
;;21;Ernes, J.J.H.;10;0;4;0;2;1;0;0;3;0;0
3;Leefbaar Simpelveld;;;888;112;170;38;64;266;20;34;125;33;26
;;1;Gulpen, M.J.J.M.;425;68;115;12;12;149;14;22;26;4;3
;;2;Ortmans, F.J.;43;12;5;0;5;7;0;1;10;1;2
;;3;Schoonen, L.A.A.M.;60;0;6;5;11;6;1;5;17;9;0
;;4;Kisters, R.H.M.;84;5;2;10;8;19;1;3;17;17;2
;;5;Amkreutz, S.;17;3;5;0;0;7;0;0;2;0;0
;;6;Ortmans, T.H.H.;28;0;2;1;12;1;0;0;9;0;3
;;7;Quaden, E.J.R.;52;2;5;4;5;7;0;1;26;1;1
;;8;Koll-Jongen, I.J.;55;3;11;0;1;36;0;2;0;0;2
;;9;Leclaire-Bost, N.;15;4;3;0;0;5;1;0;1;0;1
;;10;Andriolo, P.W.;43;3;5;3;8;4;0;0;9;0;11
;;11;Boltong, H.P.E.;11;4;1;0;0;4;1;0;1;0;0
;;12;Starmans, P.G.M.M.;12;5;1;0;0;6;0;0;0;0;0
;;13;Grootheest, A.F.G.;18;0;4;2;1;2;0;0;7;1;1
;;14;Scholl-Vlieks, H.J.G.;11;1;1;0;0;8;1;0;0;0;0
;;15;Gigase, J.E.;14;2;4;1;1;5;1;0;0;0;0
4;Lokaal Actief;;;468;73;101;18;9;136;28;24;43;12;24
;;1;Hodinius, JWH;138;21;31;5;1;36;14;16;10;4;0
;;2;de la Haije, RHJ;87;18;21;3;1;34;2;4;2;0;2
;;3;Seroo, GJ;21;3;8;3;0;3;0;0;2;1;1
;;4;Boltong, JHP;47;6;19;0;0;16;2;1;2;1;0
;;5;Frijns, RJH;67;14;10;2;3;11;4;2;11;1;9
;;6;Schoonbrood, MJ;11;0;0;1;0;7;1;0;1;1;0
;;7;Bost, AAPL;6;2;2;2;0;0;0;0;0;0;0
;;8;Mens, SM;3;0;0;0;0;3;0;0;0;0;0
;;9;Frijns-Boltong, CBA;18;0;3;0;1;3;1;0;4;2;4
;;10;Rasing, EMP;6;0;0;0;0;5;0;0;0;1;0
;;11;Bodelier, FAM;3;2;0;0;0;0;0;0;1;0;0
;;12;Frijns, JRB;15;0;1;2;2;1;0;0;6;0;3
;;13;Schlupp, RJW;7;0;1;0;0;6;0;0;0;0;0
;;14;Bröcheler, RHR;7;0;0;0;1;0;0;0;0;1;5
;;15;Smeets, RPM;10;1;0;0;0;4;2;1;2;0;0
;;16;Didden, RHA;7;3;2;0;0;2;0;0;0;0;0
;;17;Houben, WJ;6;3;1;0;0;0;0;0;2;0;0
;;18;Schoonbrood, TGA;6;0;0;0;0;4;2;0;0;0;0
;;19;Baars, JWM;3;0;2;0;0;1;0;0;0;0;0
5;Samen 1;;;1609;161;261;108;115;463;48;42;249;109;53
;;1;Honings, R.H.A.;295;9;26;38;43;31;5;2;83;39;19
;;2;Weijers, W.P.E;409;59;100;9;17;154;12;21;26;6;5
;;3;Honings, D.G.A.;75;6;6;4;12;9;1;1;17;15;4
;;4;Bremen, K.W.W.;29;3;0;3;0;4;0;0;10;4;5
;;5;Zwanenburg, J.M.;33;2;4;0;0;21;2;1;3;0;0
;;6;Loneus, J.J.;88;8;20;1;0;41;8;3;6;0;1
;;7;Prumpeler, R.M.F.;109;13;20;2;6;51;6;4;2;3;2
;;8;Smeijsters, L.F.J.;27;3;0;8;1;5;0;0;9;1;0
;;9;Lumeij, W.F.J.;84;22;17;0;1;37;1;2;4;0;0
;;10;Dortants, H.P.J.;33;1;0;2;6;5;0;0;6;7;6
;;11;Godschalk, P.M.M.;26;0;0;4;5;3;0;0;12;2;0
;;12;Honings, C.C.J.;10;1;3;0;0;1;0;0;4;1;0
;;13;Vliex, L.H.J.E.;11;3;6;0;0;1;0;0;0;1;0
;;14;Bisschops, J.M.M.;52;12;16;0;1;16;2;2;3;0;0
;;15;Derissen, M.J.A.;6;0;0;0;0;4;0;0;1;1;0
;;16;Janssen, W.H.;13;0;5;0;0;6;0;0;2;0;0
;;17;Spelthaen, J.G.M.J.;24;0;3;1;0;10;0;1;8;1;0
;;18;Counotte, J.M.;16;2;0;10;3;0;0;0;1;0;0
;;19;Knubben, P.R.S.;20;3;2;0;0;7;4;1;1;0;2
;;20;Vanhommerig, F.L.J.;4;0;1;0;0;1;0;0;2;0;0
;;21;Reinders, N.H.J.;4;1;0;0;1;2;0;0;0;0;0
;;22;Zegers, H.N.;14;0;0;3;1;1;0;0;6;3;0
;;23;Sokoll, R.M.E.;10;0;0;0;0;1;0;2;3;4;0
;;24;Ingwersen, C.M.;8;0;0;0;0;1;0;0;1;0;6
;;25;Housen, J.M.J.A.;4;0;0;1;1;0;0;0;2;0;0
;;26;Honings, C.H.W.;15;1;3;0;0;6;1;0;0;3;1
;;27;Dohmen, P.C.J.;7;0;0;0;0;1;0;0;3;3;0
;;28;Slangen, M.H.A.;10;0;0;0;1;0;0;0;7;2;0
;;29;Habets, H.A.H.;7;4;0;0;0;2;0;0;1;0;0
;;30;Kleijnen, R.R.M.A.;12;0;4;2;0;4;1;1;0;0;0
;;31;Pelzer, E.J.M.;3;1;0;0;0;2;0;0;0;0;0
;;32;van Wagenveld, C.W.E.;1;0;0;0;0;0;0;0;0;1;0
;;33;Honnoff, M.M.H.;12;0;3;0;5;0;0;0;2;2;0
;;34;Zegers, C.P.J.;14;0;0;7;1;2;0;0;2;2;0
;;35;Rossen, N.;1;0;0;0;1;0;0;0;0;0;0
;;36;Piskorek, A.S.;9;0;0;2;0;1;0;0;4;0;2
;;37;Belleflamme, P.P.H.;10;1;5;1;0;3;0;0;0;0;0
;;38;Bonnema, L.H.B.;20;0;2;3;1;2;3;1;3;5;0
;;39;Spelthaen, F.J.G.M.;4;0;0;2;0;0;0;0;1;1;0
;;40;Beuken, B.M.L.;1;0;0;0;0;0;0;0;1;0;0
;;41;Basile, N.;6;2;1;0;0;3;0;0;0;0;0
;;42;Voncken, W.J.F.T.;7;0;1;0;0;0;0;0;6;0;0
;;43;van Iperen, R.J.J.;2;0;0;0;0;0;0;0;2;0;0
;;44;Hodiamont, J.M.;6;0;0;0;1;5;0;0;0;0;0
;;45;Clignet, J.P.E.;8;0;2;1;0;1;1;0;2;1;0
;;46;Hupperichs, C.G.P.;9;0;1;3;2;0;0;0;2;1;0
;;47;America, D.D.E.;4;1;0;0;3;0;0;0;0;0;0
;;48;Scheren, N.J.L.;7;0;0;0;2;5;0;0;0;0;0
;;49;Belleflamme, M.C.F.M.;9;2;4;0;0;3;0;0;0;0;0
;;50;Stock, L.H.;21;1;6;1;0;11;1;0;1;0;0
