Verkiezing;;Gemeenteraad Sittard-Geleen 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Sittard-Geleen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1883;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadskantoor Sittard;Stembureau Toon Hermans Theater;Stembureau Multifuntioneel Centrum Sanderbout;Stembureau Gemeenschapshuis de Landjwaer;Stembureau Fanfarezaal St. Jan;Stembureau Voormalig DaCapo College;Stembureau Tafeltennis Vereniging Sittard;Stembureau Gemeenschapshuis Broeksittard;Stembureau Zuyd Hogeschool;Stembureau Xonar;Stembureau Sportzaal De Kemper;Stembureau Zalencentrum De Oase;Stembureau Oos Zittesj Hoes;Stembureau DVO Sportpark Overhoven;Stembureau Gemeenschapshuis Oos Kaar;Stembureau Kleesjhal sportzaal;Stembureau Buurtcentrum Limbrichterveld;Stembureau Theehuis Hof van Onthaasting;Stembureau Gymzaal Limbricht;Stembureau Gemeenschapshuis Limbricht;Stembureau Gemeenschapshuis 't Tuurhoes;Stembureau Gymzaal B.S. de Leeuwerik;Stembureau Jeugdhuis Scouting Munstergeleen;Stembureau Gemeenschapshuis 't Trefpunt;Stembureau Stadswinkel Sittard-Geleen;Stembureau Multifunctioneel Centrum De Reunie;Stembureau Nieuw-Apostolische kerk;Stembureau Zalencentrum Hanenhof;Stembureau Speelgoedbank De Grabbelton;Stembureau Gemeenschapshuis 't Volkshoes;Stembureau RKFC Lindenheuvel-Heidebloem Comb.;Stembureau Pastoor van Arskerk;Stembureau 't Honk Glana;Stembureau Zalencentrum 't Plenkhoes;Stembureau Ollie's Here we Meet;Stembureau Drive-Through Tom Dumoulin Bike Parking;Stembureau Hubertushuis;Stembureau Sportzaal Brouwersstraat;Stembureau Zuyderland Medisch Centrum;Stembureau Gemeenschapshuis Buchten;Stembureau Gemeenschapshuis Holtum;Stembureau Voormalig Gemeentehuis Born;Stembureau Gemeenschapshuis Born;Stembureau Jong Nederland Buchten;Stembureau Harmoniezaal Obbicht;Stembureau Zalencentrum Oos Hoes;Stembureau Zaal Aurora Grevenbicht;Stembureau Fanfarezaal St. Jan;Stembureau Zuyd Hogeschool;Stembureau Zalencentrum De Oase;Stembureau Gemeenschapshuis 't Trefpunt;Stembureau Zalencentrum Hanenhof;Stembureau Zalencentrum 't Plenkhoes;Stembureau Hubertushuis;Stembureau Voormalig Gemeentehuis Born;Stembureau Drive-Through Tom Dumoulin Bike Parking;Stembureau Fanfarezaal St. Jan;Stembureau Zuyd Hogeschool;Stembureau Zalencentrum De Oase;Stembureau Gemeenschapshuis 't Trefpunt;Stembureau Zalencentrum Hanenhof;Stembureau Zalencentrum 't Plenkhoes;Stembureau Hubertushuis;Stembureau Voormalig Gemeentehuis Born;Stembureau Drive-Through Tom Dumoulin Bike Parking
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;141;142;143;144;145;146;147;148;149;151;152;153;154;155;156;157;158;159
Postcode;;;;;6131 LB;6131 AJ;6134 TZ;6133 AJ;6132 CD;6137 AC;6137 PE;6137 SR;6131 MT;6132 EL;6132 GN;6137 RX;6131 GS;6136 XX;6136 AS;6135 CV;6135 BN;6135 ;6141 BL;6141 AG;6143 BC;6142 AD;6151 BX;6151 CD;6161 GE;6161 SX;6162 GA;6162 EB;6163 XW;6163 BW;6163 CP;6164 GL;6164 GH;6164 BZ;6165 EN;6135 LD;6166 AX;6166 CM;6162 BG;6122 CK;6123 AL;6121 XK;6121 JE;6122 AL;6125 BE;6127 BG;6127 BL;6132 CD;6131 MT;6137 RX;6151 CD;6162 EB;6164 BZ;6166 AX;6121 XK;6135 LD;6132 CD;6131 MT;6137 RX;6151 CD;6162 EB;6164 BZ;6166 AX;6121 XK;6135 LD
;opgeroepenen;;;77050;1910;1750;1800;1670;2050;1050;1650;1650;1350;1350;1475;2400;2100;1150;1720;1100;1400;2050;1100;1050;1000;1100;1900;2000;1850;1250;2025;1800;1800;1700;1650;2000;1500;2200;2100;1900;1950;1900;1900;1400;1000;1900;1600;1650;1550;1300;1350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;33159;620;530;412;880;698;284;418;476;572;183;768;899;625;464;811;231;654;822;427;659;524;559;504;812;748;424;291;508;342;1013;277;370;97;704;930;175;589;693;398;582;526;591;971;236;775;714;622;257;368;488;291;395;330;302;308;111;347;504;609;418;530;473;435;459;126
;geldig volmachtbewijs;;;5019;76;67;78;142;123;33;50;97;62;29;119;118;80;81;108;36;84;103;61;76;87;101;78;129;113;81;49;69;67;198;65;43;9;101;152;31;113;118;72;108;74;105;127;30;105;98;87;43;46;53;31;63;43;52;50;21;64;80;95;61;66;72;73;50;23
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;38178;696;597;490;1022;821;317;468;573;634;212;887;1017;705;545;919;267;738;925;488;735;611;660;582;941;861;505;340;577;409;1211;342;413;106;805;1082;206;702;811;470;690;600;696;1098;266;880;812;709;300;414;541;322;458;373;354;358;132;411;584;704;479;596;545;508;509;149
;geldige stembiljetten;;;37959;691;595;488;1014;816;313;466;567;630;210;883;1008;699;543;907;263;734;924;484;731;607;659;582;936;854;505;339;573;406;1205;342;410;105;799;1079;205;695;808;464;684;598;691;1097;264;874;809;707;300;409;533;322;457;371;354;356;132;410;578;701;476;593;544;503;508;149
;blanco stembiljetten;;;136;4;1;2;7;1;3;2;2;3;0;4;3;3;0;7;3;3;0;3;4;3;1;0;3;5;0;1;4;1;4;0;1;0;2;2;1;4;1;5;4;0;3;2;2;4;2;1;0;5;3;0;0;2;0;2;0;1;3;1;2;2;0;4;0;0
;ongeldige stembiljetten;;;85;1;0;0;1;5;1;0;4;1;2;1;5;3;2;4;1;1;1;1;0;1;0;0;2;2;0;0;0;2;2;0;2;1;4;2;0;3;2;1;2;2;2;2;1;2;1;1;0;0;4;0;1;0;0;0;0;0;2;2;1;1;1;1;1;0
