Verkiezing;;Gemeenteraad Valkenburg aan de Geul 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Valkenburg aan de Geul;;;;;;;;;;;;;;;;;;;;
Nummer;;0994;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis Park Dersaborg;Shimano Experience Center;Grand Hotel Voncken;Hockeyvereniging Sjinborn;Gemeenschapshuis De Blokhut;Gemeenschapshuis De Holle Eik;Gemeenschapshuis 't Geboew;Gemeenschapshuis 't Voske;Sporthal De Bosdries;Gemeenschapshuis Cascade;Zorgcentra Sevagram;Mobiele Stembus;Stadhuis Park Dersaborg;Stadhuis Park Dersaborg;Gemeenschapshuis 't Geboew;Gemeenschapshuis 't Geboew;Gemeenschapshuis 't Voske;Gemeenschapshuis 't Voske
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;101;102;701;702;801;802
Postcode;;;;;6301 HC;6301 KZ;6301 DC;6301 XH;6301 AT;6301 JZ;6305 AX;6325 EC;6325 BM;6325 AX;6301 ZZ;6301 EK;6301 HC;6301 HC;6305 AX;6305 AX;6325 EC;6325 EC
;opgeroepenen;;;13855;1786;1598;1819;1415;1077;1255;1359;1819;983;744;0;0;0;0;0;0;0;0
;geldige stempas;;;7111;646;462;712;262;590;544;467;600;327;379;40;249;405;459;121;227;280;341
;geldig volmachtbewijs;;;990;103;53;107;42;81;74;69;81;42;50;3;35;71;69;14;19;35;42
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;8101;749;515;819;304;671;618;536;681;369;429;43;284;476;528;135;246;315;383
;geldige stembiljetten;;;8062;744;514;816;304;665;616;532;680;364;428;42;282;474;524;135;244;315;383
;blanco stembiljetten;;;25;5;0;2;0;5;1;4;1;1;1;1;0;0;3;0;1;0;0
;ongeldige stembiljetten;;;13;0;1;1;0;1;0;0;0;4;0;0;2;2;1;0;1;0;0
;aangetroffen stembiljetten;;;8100;749;515;819;304;671;617;536;681;369;429;43;284;476;528;135;246;315;383
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Algemeen Belang;;;2448;152;102;125;70;189;153;86;445;221;205;13;54;83;72;14;44;181;239
;;1;Dauven, N.J.M.M.;897;45;17;40;19;25;52;5;229;120;59;6;11;18;22;1;6;95;127
;;2;Weerts, W.H.M.E.;117;1;1;5;2;5;2;41;0;0;2;0;6;5;0;8;31;5;3
;;3;Vankan, C.P.J.L.;129;22;16;32;6;6;9;2;1;0;3;0;4;17;7;0;2;1;1
;;4;Hardij, H.W.J.M.;168;8;8;1;2;3;3;2;59;20;20;3;2;8;6;0;0;7;16
;;5;Marx, V.M.E.C.J.;212;28;12;13;9;8;10;6;20;20;32;0;7;15;11;3;0;9;9
;;6;van de Venne, P.J.G.M.;93;2;2;3;0;69;1;3;4;1;2;0;3;0;0;0;0;1;2
;;7;Lamerichs-Coenjaerds, I.N.M.;125;0;0;1;3;2;2;1;14;14;54;2;1;0;2;0;2;13;14
;;8;Ubags, R.M.A.;147;0;0;1;1;2;5;1;51;22;3;2;0;0;0;0;0;32;27
;;9;Dexters-Mijnes, M.A.C.;37;2;3;2;2;0;22;0;1;1;0;0;0;0;0;1;0;1;2
;;10;Hoenjet, C.A.B.;19;1;0;1;0;2;0;0;10;0;0;0;2;0;2;0;0;0;1
;;11;Lemmens, L.P.M.T.;38;2;0;0;0;0;7;1;0;1;5;0;1;0;0;0;0;4;17
;;12;Ghielen, S.J.M.;38;3;8;2;4;6;10;0;0;0;3;0;1;0;1;0;0;0;0
;;13;Colson, E.M.J.;74;2;1;0;0;44;0;0;6;5;9;0;1;0;0;0;0;5;1
;;14;Kleinjans, A.W.P.;31;12;0;1;0;0;2;0;5;0;6;0;0;2;2;0;0;0;1
;;15;Dinant, G.J.;18;2;0;0;0;0;0;0;3;5;0;0;0;0;0;0;0;4;4
;;16;Keulen, R.E.C.;108;11;21;12;15;10;3;0;5;4;2;0;7;7;8;0;0;0;3
;;17;Selten, A.J.A.;64;1;0;9;3;4;18;3;20;0;2;0;1;1;2;0;0;0;0
;;18;Mlodzick, J.M.L.;23;0;2;0;2;0;2;1;0;0;2;0;3;7;4;0;0;0;0
;;19;Bormans, A.W.M.;4;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
;;20;Paulussen-Bosman, K.J.;24;9;5;0;2;1;0;0;0;1;0;0;2;2;2;0;0;0;0
;;21;Cobben, H.M.J.G.;38;1;1;0;0;0;0;0;14;5;1;0;0;1;0;0;0;4;11
;;22;Theunissen, E.R.A.;13;0;2;1;0;0;5;1;0;2;0;0;0;0;2;0;0;0;0
;;23;Bemelmans, H.W.P.;31;0;2;0;0;2;0;19;2;0;0;0;2;0;0;1;3;0;0
2;CDA;;;1141;129;86;158;46;91;142;63;27;48;18;11;37;96;95;14;28;22;30
;;1;Brune, T.J.E.;312;30;47;36;16;10;39;6;9;20;3;2;17;20;35;0;1;8;13
;;2;Blom, J.E.J.;132;7;5;16;3;7;14;37;1;6;1;1;0;9;6;4;11;0;4
;;3;Prevoo, J.M.P.L.;111;21;7;26;9;3;5;5;2;2;1;3;3;10;7;0;5;1;1
;;4;Pluijmen, J.M.M.;131;10;7;24;3;2;10;4;6;6;2;1;4;22;14;4;6;4;2
;;5;Hindriks, G.J.;78;5;2;5;0;49;2;0;1;3;2;0;1;1;1;0;1;1;4
;;6;Geelen, J.M.M.;16;0;9;0;0;1;0;0;0;0;0;0;1;1;3;0;0;0;1
;;7;Limpens, R.P.H.J.M.;66;7;1;3;0;2;45;0;0;1;0;0;0;5;1;0;0;1;0
;;8;Vinckers, R.;55;12;2;12;8;0;3;0;2;1;0;0;2;6;4;2;0;0;1
;;9;Wester, P.W.M.;10;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Heijdra, F.;7;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;11;van den Berg, J.J.C.;5;2;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0
;;12;Hendriks, S.W.J.;57;8;1;17;1;6;1;0;2;5;0;1;4;5;4;0;1;0;1
;;13;Bongarts, L.T.J.M.;28;3;0;4;0;0;3;2;0;0;5;0;0;5;5;0;0;0;1
;;14;Bisschops, C.M.J.;88;14;2;9;2;10;9;5;4;3;3;1;2;4;8;3;1;6;2
